순번,자치구,구역명,위치,공공/민간,일반/재촉지구,사업유형,사업추진단계,기존 가구수(멸실량),최초,변경(최종),추진위원회,조합설립인가(사업시행자 지정일),건축심의,사업시행인가_최초,사업시행인가_변경(최종),관리처분계획인가_최초,관리처분계획인가_변경(최종),이주시작일,이주종료일,착공,세대총합계,분양,임대
206,은평구,갈현1,갈현동 300,민간,일반,주택정비형 재개발,관리처분,"3,328",2011-09-29,2019-11-14,2005-02-04,2015-10-30,2017-09-19,2019-01-31,2020-09-10,2022-05-06,,2022-08-18,2025-03-20,,"4,116","3,496",620
207,은평구,대조1,"대조동 88,89",민간,일반,주택정비형 재개발,착공,"1,342",2009-05-07,2024-11-07,2005-04-27,2011-12-01,2019-06-19,2017-01-26,2020-10-21,2019-05-23,2023-05-11,2019-08-07,2019-11-07,2022-09-21,"2,451","2,083",368
208,은평구,수색8,수색동 16-2,민간,재촉,주택정비형 재개발,관리처분,547,2008-05-22,2017-01-26,2008-08-29,2009-05-25,2018-04-01,2018-07-19,2021-07-29,2023-01-26,2022-05-23,2023-10-20,2024-09-28,,578,479,99
209,은평구,증산5,증산동 195,민간,재촉,주택정비형 재개발,관리처분,"1,559",2010-12-09,2024-04-04,2011-10-07,2012-03-20,2013-02-01,2013-06-13,2023-01-12,2023-09-26,,2024-06-01,2025-12-31,,"1,775","1,472",303
211,은평구,불광8,불광동 600,민간,일반,주택정비형 재개발,구역지정,216,2024-10-17,2024-10-17,,,,,,,,,,,321,260,61
1,종로구,세종로3,세종로동 168,민간,일반,도시정비형 재개발,구역지정,0,1994-04-29,1994-04-29,,,,,,,,,,,0,0,0
2,종로구,수송1-2,수송동 146-12,민간,일반,도시정비형 재개발,구역지정,0,2010-12-30,2021-11-25,,,,,,,,,,,0,0,0
3,종로구,수송1-7,수송동 80,민간,일반,도시정비형 재개발,구역지정,0,2010-12-30,2022-08-04,,,,,,,,,,,0,0,0
4,종로구,신문로2-12,신문로1가 158,공공,일반,도시정비형 재개발,조합설립,0,1983-09-30,2020-09-17,,2021-08-27,,,,,,,,,144,72,72
6,종로구,종로6가,종로6가 117,민간,일반,도시정비형 재개발,구역지정,165,2009-10-01,2012-05-24,,,,,,,,,,,199,0,199
228,서대문구,북가좌6,북가좌동 372-1,민간,일반,단독주택 재건축,조합설립,"1,210",2014-05-29,2024-06-20,2006-11-14,2020-02-13,,,,,,,,,"1,984","1,733",251
7,종로구,사직2,사직동 311-10,민간,일반,도시정비형 재개발,사업시행,0,2009-11-19,2013-10-28,2003-11-21,2010-07-19,2011-11-10,2012-09-21,,,,,,,456,378,78
230,서대문구,홍은5,홍은동 277-45,민간,일반,단독주택 재건축,조합설립,377,2009-05-21,2009-05-21,2008-01-15,2010-06-04,,,,,,,,,602,569,33
231,서대문구,홍제3,홍제동 104-41,민간,일반,단독주택 재건축,관리처분,492,2010-10-14,2024-02-01,2007-07-12,2011-11-13,2022-10-22,2019-02-20,,2022-07-15,,2024-09-25,2025-05-01,,620,552,68
8,종로구,돈의문2,교남동 28,민간,재촉,도시정비형 재개발,사업시행,18,2003-11-18,2006-04-13,2007-12-13,2024-06-21,2023-11-13,2024-06-21,,,,,,,228,150,78
9,종로구,세운2,장사동 67,민간,재촉,도시정비형 재개발,구역지정,48,2006-10-26,2024-06-27,,,,,,,,,,,0,0,0
10,종로구,세운4,예지동 85,민간,재촉,도시정비형 재개발,관리처분,0,2004-02-05,2018-06-07,,,2018-03-13,2018-06-29,2021-12-17,2020-02-28,,2021-11-01,2021-12-31,,0,0,0
11,종로구,"공평15,16",인사동 87,민간,일반,도시정비형 재개발,착공,0,1978-09-26,2021-09-02,,,2019-12-10,2020-05-18,2022-05-04,2020-11-16,2023-02-17,,,2022-11-17,0,0,0
12,종로구,공평소단위공동개발지구,낙원동 283-15,민간,일반,도시정비형 재개발,관리처분,0,1978-09-26,2024-07-26,,,2024-03-22,2020-05-22,2024-08-16,2020-12-11,2025-02-21,,,,0,0,0
13,종로구,관수동 소단위1,종로3가 103-2 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
14,종로구,관수동 소단위2,종로3가 113 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
15,종로구,관수동 소단위3,종로3가 123 일대,공공,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
16,종로구,관수동 일반정비1,관수동 20 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
17,종로구,관수동 일반정비2,관수동 39-4 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
18,종로구,관수동 일반정비3,관수동 59 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,2025-02-06,,,,,,,,,,,0,0,0
19,종로구,관수동 일반정비4,관수동 130-1 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
20,종로구,관수동 일반정비5,관수동 110-1 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
21,종로구,관수동 일반정비6,관수동 102-1 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
246,마포구,공덕1,공덕동 105-84,민간,일반,단독주택 재건축,착공,701,2011-06-30,2020-10-22,2006-08-07,2014-03-28,2015-12-24,2017-02-23,2025-03-11,2018-04-18,2023-07-31,2018-04-19,2021-12-20,2023-10-23,"1,101","1,036",65
247,마포구,성산시영아파트,성산동 446,민간,일반,공동주택 재건축,추진위,"3,710",2023-12-28,2023-12-28,2025-03-14,,,,,,,,,,"4,823","4,307",516
22,종로구,관수동 일반정비7,관수동 73 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
23,종로구,관수동 일반정비8,관수동 129-1 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,2024-02-06,,,,,,,,,,,0,0,0
24,종로구,관수동 일반정비9,관수동 119-1 일대,민간,일반,도시정비형 재개발,구역지정,0,2024-04-11,,,,,,,,,,,,0,0,0
25,종로구,내자필운2-1,내자동 81,민간,일반,도시정비형 재개발,구역지정,0,2011-05-06,,,,,,,,,,,,376,55,321
26,종로구,서린 345지구,서린동 111-1번지 일대,민간,일반,도시정비형 재개발,구역지정,0,1983-09-06,2025-01-02,,,,,,,,,,,0,0,0
27,종로구,수송1-3,수송동 146-2,공공,일반,도시정비형 재개발,사업시행,0,2010-12-30,2011-01-01,,,2024-01-09,2025-02-14,,,,,,,0,0,0
29,종로구,창신1-1,창신동 462-1번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
30,종로구,창신1-10,창신동 427-7번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
31,종로구,창신1-2,창신동 460-13번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
32,종로구,창신1-3,창신동 446-1번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
33,종로구,창신1-4,창신동 436-83번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
34,종로구,창신1-5,창신동 435-10번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
35,종로구,창신1-6,창신동 459-12번지 일원,민간,일반,도시정비형 재개발,조합설립,0,2022-04-28,,,2022-10-07,,,,,,,,,0,0,0
36,종로구,창신1-7,창신동 459-11번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
262,양천구,신정4,양천구 신정동 1200,민간,재촉,공동주택 재건축,사업시행,"1,592",2017-08-17,2022-02-17,2018-06-11,2019-08-27,2022-09-27,2024-07-25,,,,,,,"1,713","1,651",62
263,양천구,목동6단지,양천구 목동 911,민간,일반,공동주택 재건축,구역지정,"1,362",2024-08-16,2024-08-16,,,,,,,,,,,"2,173","1,900",273
264,양천구,수정아파트,신정동 733-31,민간,일반,공동주택 재건축,관리처분,220,2020-04-23,2021-12-30,,2021-01-18,2023-02-28,2023-12-18,2023-12-18,2024-12-31,,,,,276,248,28
37,종로구,창신1-8,창신동 450-1번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
38,종로구,창신1-9,창신동 430-16번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
39,종로구,창신2-1,창신동 525번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
268,강서구,방화6,방화동 608-97,민간,재촉,단독주택 재건축,관리처분,402,2010-03-25,2021-02-04,2010-09-07,2017-04-03,2017-06-29,2018-11-07,2022-05-25,2021-08-04,,2021-09-27,2021-12-27,,557,537,20
269,강서구,방화3,방화동 615-103,민간,재촉,단독주택 재건축,사업시행,"1,619",2012-07-26,2022-08-25,2014-05-29,2019-08-08,2023-06-13,2024-08-07,,,,,,,"1,476","1,420",56
270,강서구,방화5,공항동 18,민간,재촉,단독주택 재건축,관리처분,"1,822",2017-08-17,2021-07-22,2018-04-26,2019-07-17,2020-12-22,2022-04-20,,2024-09-11,,2024-12-24,2025-06-23,,"1,657","1,596",61
271,강서구,신안빌라,마곡동 327-53,민간,일반,공동주택 재건축,조합설립,234,2012-08-09,2024-03-27,2023-02-06,2023-07-05,,,,,,,,,362,354,8
272,강서구,등촌1,등촌동 366-24,민간,일반,단독주택 재건축,착공,441,2008-10-23,2020-11-11,2006-08-03,2009-11-26,2021-03-16,2013-01-09,2024-05-27,2018-05-02,2024-10-02,2020-10-28,2022-11-04,2023-08-25,543,517,26
40,종로구,창신2-2,창신동 373번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
274,구로구,개봉3,고척동 311-14,민간,일반,단독주택 재건축,조합설립,438,2010-05-13,2023-12-28,2006-04-27,2019-08-02,,,,,,,,,"2,177","1,880",297
41,종로구,창신2-3,창신동 352-3번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
276,구로구,"대흥,성원,동진빌라",온수동 45-32,민간,일반,공동주택 재건축,사업시행,741,2014-06-05,2025-01-23,2008-09-10,2016-02-17,2017-08-29,2018-11-15,2018-11-15,,,,,,"1,455","1,373",82
277,구로구,오류동 현대연립,오류동 156-15,민간,일반,공동주택 재건축,관리처분,240,2015-07-30,2019-11-28,2016-05-25,2018-04-11,2020-06-17,2021-05-06,2024-09-12,2023-07-26,,2024-07-01,2024-08-30,,447,408,39
278,구로구,보광아파트,구로동 440,민간,일반,공동주택 재건축,사업시행,340,2016-03-31,2024-06-13,2017-05-02,2020-04-28,2021-08-31,2023-03-10,2023-03-10,,,,,,675,675,0
279,구로구,고척동 산업인아파트,고척동 57-9,민간,일반,공동주택 재건축,사업시행,342,2016-11-10,2022-02-22,2018-11-20,2021-05-12,2023-05-30,2024-06-05,2024-06-13,,,,,,371,371,0
280,구로구,길훈아파트,개봉동 312-38,민간,일반,공동주택 재건축,착공,205,2011-06-30,2011-06-30,2009-11-24,2010-06-21,2015-06-18,2016-05-13,2016-05-13,2017-12-28,2024-10-31,2020-06-29,2021-01-15,2022-12-09,295,295,0
42,종로구,창신2-4,창신동 344번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
43,종로구,창신3,창신동 412-1번지 일원,민간,일반,도시정비형 재개발,구역지정,0,2022-04-28,,,,,,,,,,,,0,0,0
283,구로구,서울가든빌라,오류동 97-4,민간,일반,공동주택 재건축,구역지정,339,2024-03-07,2024-03-07,,,,,,,,,,,653,582,71
44,종로구,창신4-1,창신동330-1번지 일원,민간,일반,도시정비형 재개발,추진위,0,2007-04-30,2022-04-27,2017-07-04,,,,,,,,,,0,0,0
285,구로구,우신빌라,궁동 213-21,민간,일반,공동주택 재건축,구역지정,762,2023-12-28,2023-12-28,,,,,,,,,,,"1,127","1,066",61
286,구로구,한효아파트,고적동 52-332,민간,일반,공동주택 재건축,구역지정,290,2023-01-05,2023-01-05,,,,,,,,,,,440,407,33
287,금천구,시흥무지개아파트,시흥동 109-1 ,민간,일반,공동주택 재건축,사업시행,662,2017-02-16,,,2018-03-15,2020-05-12,2021-06-30,,,,,,,993,865,128
288,금천구,시흥동현대아파트,시흥동 220-2,민간,일반,공동주택 재건축,착공,140,2019-12-31,2020-11-02,,2020-05-04,2020-11-25,2022-02-28,2024-07-23,2023-01-06,2024-04-11,2023-04-10,2023-07-22,2024-09-13,219,219,0
5,종로구,신영1,신영동 158-2,민간,일반,주택정비형 재개발,관리처분,97,2000-06-01,2024-08-16,,2003-07-07,,2018-10-19,2025-02-19,2022-02-26,2022-02-26,2022-11-19,2023-02-01,,199,199,0
28,종로구,숭인동 56일대,숭인동 56-4번지 일원,민간,일반,주택정비형 재개발,구역지정,709,2024-12-19,2024-12-19,,,,,,,,,,,974,804,170
291,영등포구,신길10,신길동 3590,민간,재촉,공동주택 재건축,관리처분,786,2007-11-29,2015-08-27,2008-06-11,2018-01-18,2019-12-10,2021-05-31,,2022-11-10,,2023-03-01,2024-05-30,,812,734,78
292,영등포구,여의도광장아파트 28번지,여의도동 28,민간,일반,아파트지구 재건축,조합설립,576,,2006-01-12,2009-07-27,2019-06-05,,,,,,,,,"1,086",970,116
293,영등포구,여의도광장아파트 38-1번지,여의도동 38-1,민간,일반,아파트지구 재건축,조합설립,168,,2006-01-12,2023-01-19,2024-08-06,,,,,,,,,0,0,0
294,영등포구,여의도대교아파트,여의도동 41,민간,일반,아파트지구 재건축,건축심의,576,2024-09-26,2024-09-26,2023-02-27,2024-01-26,2025-02-27,,,,,,,,912,768,144
295,영등포구,여의도목화아파트,여의도동 30,민간,일반,아파트지구 재건축,조합설립,312,,,2009-03-16,2022-09-29,,,,,,,,,426,348,78
296,영등포구,여의도미성아파트,"여의도동 37,37-1",민간,일반,아파트지구 재건축,추진위,577,,2006-01-12,2009-09-16,,,,,,,,,,0,0,0
297,영등포구,여의도삼부아파트,"여의도동 30-2,3",민간,일반,아파트지구 재건축,추진위,866,,2006-01-12,2020-08-04,,,,,,,,,,"1,792","1,546",246
298,영등포구,여의도삼익아파트,여의도동 51,민간,일반,아파트지구 재건축,조합설립,360,,,,2023-11-02,,,,,,,,,611,550,61
299,영등포구,여의도시범아파트,여의도동 50,민간,일반,아파트지구 재건축,조합설립,"1,584",2025-02-13,2025-02-13,2008-05-14,2017-06-01,,,,,,,,,"2,473","2,130",343
300,영등포구,여의도은하아파트,여의도동 52,민간,일반,아파트지구 재건축,조합설립,360,,,,2023-11-30,,,,,,,,,0,0,0
301,영등포구,여의도한양아파트,여의도동 42,민간,일반,아파트지구 재건축,건축심의,588,2024-03-21,2024-03-21,,2022-08-04,2024-12-23,,,,,,,,992,844,148
45,종로구,창신동 23일대,창신동 23-2번지 일원,민간,일반,주택정비형 재개발,구역지정,426,2024-12-19,2024-12-19,,,,,,,,,,,"1,038",879,159
46,중구,광희동1가 일원,광희동1가 303-1,민간,일반,도시정비형 재개발,구역지정,0,2024-04-18,2024-04-18,,,,,,,,,,,0,0,0
47,중구,남대문-7-1,남창동 9-1,민간,일반,도시정비형 재개발,사업시행,0,1977-06-29,2025-02-27,,2022-06-22,2021-12-15,2022-06-22,2024-02-21,,,,,,299,0,299
48,중구,"마포로5-10,11",중림동 157-2,민간,일반,도시정비형 재개발,관리처분,0,1979-09-21,2023-12-28,,2022-08-24,2024-04-18,2022-08-24,2024-11-15,2023-08-30,2023-08-30,,,,299,205,94
306,영등포구,문래동국화아파트,문래동3가 76-1,민간,일반,공동주택 재건축,조합설립,270,2020-12-03,2020-12-03,2022-01-19,2024-11-28,,,,,,,,,354,324,30
307,영등포구,문래동남성아파트,문래동2가 35,민간,일반,공동주택 재건축,사업시행,390,2013-09-05,2013-09-05,2009-08-26,2017-08-26,2020-10-13,2021-07-23,,,,,,,488,436,52
308,영등포구,문래동진주아파트,문래동5가 22,민간,일반,공동주택 재건축,관리처분,160,2015-11-19,2015-11-19,,2017-12-21,2020-09-15,2021-05-27,,2023-08-17,,2024-08-26,2025-01-27,,324,284,40
309,영등포구,신길동삼성아파트,신길동 4759,민간,일반,공동주택 재건축,건축심의,384,2015-08-13,2015-08-13,2016-06-11,2018-01-26,2020-09-15,,,,,,,,562,464,98
310,영등포구,신길동우성2차·우창아파트,신길동 4501,민간,일반,공동주택 재건축,사업시행,725,2020-07-02,2020-07-02,,2020-09-24,2023-07-25,2024-11-14,,,,,,,"1,212","1,104",108
49,중구,마포로5-9-1,순화동 6-10,민간,일반,도시정비형 재개발,착공,15,1979-09-21,2022-03-03,,2022-07-22,2022-03-16,2022-07-22,2023-11-03,2023-06-20,2023-06-20,2020-07-01,2022-10-01,2024-01-12,102,63,39
312,영등포구,양평동신동아아파트,양평동1가 20,민간,일반,공동주택 재건축,조합설립,495,2011-06-30,2011-06-30,2009-04-24,2020-12-08,,,,,,,,,563,507,56
313,영등포구,여의도공작아파트,여의도동 21-2,민간,일반,공동주택 재건축,조합설립,373,2022-11-17,2022-11-17,,2023-02-23,,,,,,,,,582,497,85
314,영등포구,유원제일1차아파트,당산동4가 91,민간,일반,공동주택 재건축,착공,437,2014-07-10,2014-07-10,2009-09-03,2017-11-24,2019-03-12,2019-12-30,2024-01-15,2022-04-13,,2022-09-05,2023-02-28,2024-08-05,550,479,71
315,영등포구,유원제일2차아파트,당산동5가 7-2,민간,일반,공동주택 재건축,사업시행,410,2015-07-30,2015-07-30,2016-06-10,2018-08-20,2023-08-26,2025-03-13,,,,,,,703,628,75
50,중구,명동-1,을지로2가 185,민간,일반,도시정비형 재개발,관리처분,0,1983-09-30,2023-11-09,,2024-06-03,2024-03-04,2024-06-03,2024-06-03,2025-02-12,2025-02-12,2024-07-01,2024-12-21,,0,0,0
51,중구,명동-2,을지로2가 163-3,민간,일반,도시정비형 재개발,사업시행,1,1983-09-30,2020-11-26,,2023-09-20,2023-01-18,2023-09-20,2023-09-20,,,,,,0,0,0
52,중구,무교다동-16,다동 130,민간,일반,도시정비형 재개발,구역지정,0,1973-09-06,2022-08-25,,,,,,,,,,,0,0,0
53,중구,무교다동-29,을지로1가 16,민간,일반,도시정비형 재개발,사업시행,0,1973-09-06,2024-08-07,,2024-11-20,2024-03-26,2024-11-20,2024-11-20,,,,,,0,0,0
54,중구,무교다동-31,을지로1가 42,민간,일반,도시정비형 재개발,관리처분,0,1973-09-06,2023-09-21,,2024-06-19,2024-01-23,2024-06-19,2024-06-19,2024-11-22,2024-11-22,2024-11-22,2024-12-31,,0,0,0
55,중구,봉래-2,봉래동1가 48-3,민간,일반,도시정비형 재개발,구역지정,0,2017-08-24,2025-03-20,,,,,,,,,,,0,0,0
56,중구,봉래-3,남대문로5가 63-1,민간,일반,도시정비형 재개발,건축심의,0,2017-08-24,2024-08-07,,,2024-09-13,,,,,,,,0,0,0
323,영등포구,신길13,신길동 340-1,공공,재촉,공동주택 재건축,건축심의,167,2007-11-29,2023-12-28,2020-03-19,2021-03-11,2024-10-11,,,,,,,,586,399,187
57,중구,서-서 1·2-1,순화동 7,민간,일반,도시정비형 재개발,관리처분,0,1973-09-06,2024-06-20,,2022-07-27,2024-09-13,2022-07-27,2022-07-27,2022-12-28,2022-12-28,2021-03-01,2022-06-01,,0,0,0
58,중구,서소문-10,서소문 58-7,민간,일반,도시정비형 재개발,착공,0,1973-09-06,2021-12-30,,2022-09-21,2024-08-20,2022-09-21,2024-11-15,2024-03-20,2024-03-20,2020-07-01,2022-04-01,2025-01-15,0,0,0
59,중구,"서소문-11,12",서소문동 58-9,민간,일반,도시정비형 재개발,착공,0,1973-09-06,2023-09-14,,2023-02-08,2024-04-18,2023-02-08,2024-11-15,2025-03-12,2025-03-12,2024-08-01,2024-11-10,2025-03-31,0,0,0
60,중구,"세운3-2,3",입정동 175-1,민간,재촉,도시정비형 재개발,착공,0,2009-03-19,2023-12-07,,2017-04-26,2024-03-26,2017-04-26,2025-02-12,2021-07-07,2024-03-13,2022-06-20,2023-12-31,2025-03-20,0,0,0
61,중구,"세운3-8,9,10",을지로3가 227,민간,재촉,도시정비형 재개발,사업시행,2,2009-03-19,2023-12-07,,2021-11-17,2024-03-26,2021-11-17,2025-03-21,,,,,,0,0,0
62,중구,"세운5-1,3",산림동 190-3,민간,재촉,도시정비형 재개발,관리처분,0,2009-03-19,2023-10-26,,2020-09-16,2024-02-13,2020-09-16,2024-06-19,2024-12-13,2024-12-13,2025-03-01,2025-08-31,,0,0,0
63,중구,세운6-1-3,인현동1가 31,공공,재촉,도시정비형 재개발,구역지정,0,2006-10-26,2006-10-26,,,,,,,,,,,0,0,0
64,중구,세운6-3-3,을지로4가 310-2,민간,재촉,도시정비형 재개발,착공,0,2009-03-19,2023-12-07,,2017-11-17,2024-03-26,2017-11-17,2024-11-19,2020-10-21,2021-05-20,2020-12-01,2021-05-25,2021-07-02,0,0,0
65,중구,"세운6-4-22,23",충무로4가 108-21,민간,재촉,도시정비형 재개발,사업시행,0,2009-03-19,2024-01-25,,2022-09-23,2021-09-15,2022-09-23,2022-09-23,,,,,,0,0,0
66,중구,수표,입정동 237,민간,일반,도시정비형 재개발,착공,0,2010-08-26,2024-06-20,,2022-07-06,2024-10-31,2020-11-18,2022-07-06,2022-06-29,2023-11-01,2022-06-01,2024-06-01,2024-07-05,0,0,0
67,중구,순화-1-2,순화동 5-1,민간,일반,도시정비형 재개발,착공,0,2003-10-10,2019-10-04,,2021-07-26,2020-08-19,2021-07-26,2021-07-26,2022-07-20,2022-07-20,2022-08-01,2022-10-31,2022-11-21,0,0,0
71,중구,"양동-11,12",남대문로5가 580,민간,일반,도시정비형 재개발,사업시행,215,1978-09-26,2024-08-29,,2023-03-22,2025-01-16,2023-03-22,2023-03-22,,,,,,0,0,0
