사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
가락1차현대,정비사업,재건축(공동),송파구,"32,723.2 ㎡",문정동 3,제3종일반,제3종일반,299.2%,31.33%,4/22,69.1,842세대,717,125,14.85%,재건축(공동),동남권,사업시행인가,2025.01.24,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2903
가락극동,정비사업,재건축(공동),송파구,"40,111.5 ㎡",가락동 192,제3종일반,제3종일반,299.81%,22.35%,3/35,102.6,975세대,853,122,12.51%,재건축(공동),동남권,조합설립인가,2020.06.26,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가락미륭,정비사업,재건축(공동),송파구,"20,296.6 ㎡",가락동 138,제3종일반,제3종일반,299.25%,27.3%,3/20,59.95,614세대,529,85,13.84%,재건축(공동),동남권,사업시행인가,2024.06.27,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2903
가락삼익맨숀,정비사업,재건축(공동),송파구,"59,721.7 ㎡",송파동 166,제3종일반,제3종일반,299.98%,18.67%,3/30,91,"1,531세대","1,358",173,11.3%,재건축(공동),동남권,사업시행인가,2023.11.13,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
가락상아1차,정비사업,재건축(공동),송파구,"13,580 ㎡",오금동 166,제3종일반,제3종일반,299.75%,18.16%,2/30,91,405세대,342,63,15.56%,재건축(공동),동남권,관리처분계획인가,2025.01.07,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가락우성1차,정비사업,재건축(공동),송파구,"35,043.7 ㎡",가락동 96-1,제3종일반,제3종일반,281.88%,23.15%,3/34,109,967세대,875,92,9.51%,재건축(공동),동남권,추진위구성,2024.12.24,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
가락우창,정비사업,신속통합기획,송파구,"17,235.6 ㎡",오금동 164 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.10.18,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가락프라자,정비사업,재건축(공동),송파구,"45,808.8 ㎡",가락동 199,제3종일반,제3종일반,299.91%,22.44%,3/34,101.43,"1,068세대",953,115,10.77%,재건축(공동),동남권,관리처분계획인가,2025.03.14,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가리봉1구역,정비사업,신속통합기획,구로구,"83,949.57 ㎡",가리봉동 115 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.01.26,2025.05.31,서울특별시 신속통합기획과,2133-8304,구로구 도시개발과,860-2534
가리봉2구역,정비사업,신속통합기획,구로구,"41,515 ㎡",가리봉동 87-177 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.06.22,2025.05.31,서울특별시 신속통합기획과,2133-8304,구로구 도시개발과,860-2962
가리봉2구역,정비사업,재개발(주택정비형),구로구,"41,515 ㎡",가리봉 87-177,"제2종,제2종(7층)일반","제2종,제2종(7층),제3종일반,준주거",399.87%,50%,39층이하,120,"1,214세대","1,075",139,11.45%,재개발(주택정비형),서남권,구역지정,2025.03.13,2025.05.31,서울특별시 주거정비과,2133-7192,구로구 도시개발과,860-2963
가재울7,정비사업,재개발(주택정비형),서대문구,"80,733 ㎡",북가좌동 73-1,"제1종,제2종(7층),제2종(12층),제3종일반","제2종(7층),제3종일반",265%,50%,36층이하,-,"1,350세대","1,080",270,20%,재개발(주택정비형),서북권,조합설립인가,2022.08.09,2025.05.31,서울특별시 재정비촉진과,2133-7227,서대문구 주거정비과,330-1654
갈현1,정비사업,재개발(주택정비형),은평구,"175,794.9 ㎡",갈현동 300,"제1종,제2종(7층),제2종(12층),제3종일반","제1종,제2종(7층),제2종(12층),제3종일반",230.43%,32.59%,6/22,62.15,"4,116세대","3,496",620,15.06%,재개발(주택정비형),서북권,관리처분계획인가,2022.05.06,2025.05.31,서울특별시 주거정비과,2133-9383,은평구 정비사업신속추진단,351-7464
갈현동 12-248일대,정비사업,신속통합기획,은평구,"39,644 ㎡",갈현동 12-248일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2024.05.10,2025.05.31,서울특별시 신속통합기획과,2133-1691,은평구 정비사업신속추진단,351-7453
강남원효성빌라,정비사업,재건축(공동),서초구,"247,290 ㎡",반포동 591-1 외5,제1종일반,제1종일반,127.11%,60%,2/4,13,103세대,103,-,-,재건축(공동),동남권,조합설립인가,2022.12.19,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7340
강변강서아파트,정비사업,재건축(공동),용산구,"3,775 ㎡","이촌동 193-3,5",제3종일반,제3종일반,-,-,-,-,213세대,213,-,-,재건축(공동),도심권,조합설립인가,1993.04.12,2025.05.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7365
개봉동 120-1,정비사업,신속통합기획,구로구,"76,163 ㎡",개봉동 120-1 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-1688,구로구 도시개발과,860-2964
개봉동 49,정비사업,신속통합기획,구로구,"60,704.5 ㎡",개봉동 49 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.11,2025.05.31,서울특별시 신속통합기획과,2133-8343,구로구 도시개발과,860-2962
개포 경남·우성3·현대1,정비사업,신속통합기획,강남구,"132,571 ㎡",개포동 649 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.08.18,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6117
개포현대2차,정비사업,신속통합기획,강남구,"62,251 ㎡",개포동 654 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.03.12,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6117
거여새마을,정비사업,재개발(주택정비형),송파구,"71,922 ㎡",거여동 551-14,"제1종,제2종(7층),제2종,제3종일반,자연녹지","제1종,제2종(7층),제2종,제3종일반",282%,50%,35층이하,132,"1,678세대","1,207",471,28.07%,재개발(주택정비형),동남권,조합설립인가,2023.02.23,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2897
고덕 현대,정비사업,신속통합기획,강동구,"37,658 ㎡",명일동 56 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.28,2025.05.31,서울특별시 신속통합기획과,2133-1870,강동구 재건축재개발과,3425-5985
고덕주공9,정비사업,신속통합기획,강동구,"76,091 ㎡",명일동 257,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.04.24,2025.05.31,서울특별시 공동주택과,2133-7299,강동구 재건축재개발과,3425-5985
고척4,정비사업,재개발(주택정비형),구로구,"42,207.9 ㎡",고척동 148,"제3종일반,준공업","제3종일반,준공업",269.8%,20.07%,3/25,75.25,983세대,835,148,15.06%,재개발(주택정비형),서남권,관리처분계획인가,2021.06.10,2025.05.31,서울특별시 주거정비과,2133-7192,구로구 도시개발과,860-2963
고척동 산업인아파트,정비사업,재건축(공동),구로구,"17,052 ㎡",고척동 57-9,"제2종(7층)일반,자연녹지","제2종(7층)일반,자연녹지",212.61%,30.36%,3/13,-,367세대,367,-,-,재건축(공동),서남권,사업시행인가,2024.06.13,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2203
고척동253일대,정비사업,신속통합기획,구로구,"63,024.42 ㎡",고척동 253 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.12.21,2025.05.31,서울특별시 신속통합기획과,2133-1688,구로구 도시개발과,860-2964
공덕6,정비사업,재개발(주택정비형),마포구,"10,841 ㎡",공덕동 119,제2종일반,제2종일반,234.45%,24.45%,3/20,61.1,166세대,155,11,6.63%,재개발(주택정비형),서북권,사업시행인가,2024.06.20,2025.05.31,서울특별시 주거정비과,2133-7208,마포구 주택상생과,3153-9333
공덕7,정비사업,재개발(주택정비형),마포구,"29,972 ㎡",공덕동 115-97,"제2종일반,일반상업",제2종일반,234.94%,60%,26층이하,85,703세대,597,106,15.08%,재개발(주택정비형),서북권,구역지정,2024.05.30,2025.05.31,서울특별시 주거정비과,2133-7208,마포구 주택상생과,3153-9333
공덕8,정비사업,재개발(주택정비형),마포구,"84,389 ㎡",공덕동 11-24 일대,"제2종(7층).제2종,제3종일반,일반상업","제2종(7층).제2종,제3종일반",249.89%,60%,30층이하,95,"1,564세대","1,258",306,19.57%,재개발(주택정비형),서북권,구역지정,2024.12.05,2025.05.31,서울특별시 주거정비과,2133-7208,마포구 주택상생과,3153-9333
공덕동 115-97일대,정비사업,신속통합기획,마포구,"29,972 ㎡",공덕동 115-97일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2023.07.18,2025.05.31,서울특별시 신속통합기획과,2133-1691,마포구 주택상생과,3153-9333
공덕동 8,정비사업,신속통합기획,마포구,"82,586 ㎡",공덕동 11-24 일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2023.07.05,2025.05.31,서울특별시 신속통합기획과,2133-1687,마포구 주택상생과,3153-9335
공평15·16지구,정비사업,신속통합기획,종로구,"12,860 ㎡",인사동 87 일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2019.09.03,2025.05.31,서울특별시 신속통합기획과,2133-1688,종로구 도시개발과,2148-2672
광진극동,정비사업,신속통합기획,광진구,"76,364 ㎡",광장동 218-1 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.01.30,2025.05.31,서울특별시 공동주택과,2133-7144,광진구 주거사업과,450-9722
구로동 252일대,정비사업,재개발(주택정비형),구로구,"11,428 ㎡",구로동 252일대,제2종일반,제2종일반,-,-,-,-,-세대,-,-,-,재개발(주택정비형),서남권,입안제안,2022.08.26,2025.05.31,서울특별시 주거정비과,2133-7192,구로구 도시개발과,860-2664
구로동 719,정비사업,신속통합기획,구로구,"44,231 ㎡",구로동 719 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-1688,구로구 도시개발과,860-2964
구로우성,정비사업,신속통합기획,구로구,"16,814 ㎡",구로동 1058 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.03.11,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 도시개발과,860-2963
구로우성아파트,정비사업,재건축(공동),구로구,"17,714.1 ㎡",구로동 23 일대,제3종일반,제3종일반,300%,50%,39층이하,121.5,522세대,453,69,13.22%,재건축(공동),서남권,구역지정,2025.03.06,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2399
구로주공,정비사업,신속통합기획,구로구,"119,243 ㎡",구로동 685-222,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.03.05,2025.05.31,서울특별시 신속통합기획과,2133-1688,구로구 도시개발과,860-2964
궁동 우신빌라,정비사업,신속통합기획,구로구,"51,071 ㎡",궁동 213-21 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2022.08.09,2025.05.31,서울특별시 신속통합기획과,2133-8303,구로구 주택과,860-2399
금강하이츠빌라,정비사업,신속통합기획,종로구,"16,934 ㎡",평창동 64-3 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2023.12.28,2025.05.31,서울특별시 공동주택과,2133-7139,종로구 도시개발과,2148-2683
금호16구역,정비사업,재개발(주택정비형),성동구,"27,485 ㎡",금호동2가 501-31,제2종일반,제2종일반,235.89%,24.07%,8/16,46,595세대,475,120,20.17%,재개발(주택정비형),동북권,관리처분계획인가,2024.04.11,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6565
금호21구역,정비사업,재개발(주택정비형),성동구,"75,447 ㎡",금호동3가 1번지 일대,"제2종(7층),제2종,제3종일반","제2종(7층),제2종,제3종일반",300%,60%,20층이하,60,"1,219세대",999,220,18.05%,재개발(주택정비형),동북권,구역지정,2024.10.18,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6564
금호21구역,정비사업,신속통합기획,성동구,"75,447 ㎡",금호동3가 1 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2020.06.25,2025.05.31,서울특별시 신속통합기획과,2133-1688,성동구 주거정비과,2286-6564
금호23구역,정비사업,재개발(주택정비형),성동구,"30,191 ㎡",금호동4가 1109번지 일대,제2종일반,제2종일반,-,-,-,-,-세대,-,-,-,재개발(주택정비형),동북권,입안제안,2022.08.19,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6577
길음5,정비사업,재개발(주택정비형),성북구,"36,334 ㎡",정릉동 175,제3종일반,제3종일반,290%,50%,30층이하,-,808세대,660,148,18.32%,재개발(주택정비형),동북권,조합설립인가,2019.08.19,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2854
길훈아파트,정비사업,재건축(공동),구로구,"9,176 ㎡",개봉동 312-38,제2종(7층)일반,제2종(7층)일반,249.94%,31.57%,3/15,43.65,295세대,295,-,-,재건축(공동),서남권,착공,2022.12.09,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2203
노량진1,정비사업,재개발(주택정비형),동작구,"132,187 ㎡",노량진동 278-2,"제1종,제2종일반",제3종일반,265.6%,24.66%,4/33,110,"2,992세대","2,461",531,17.75%,재개발(주택정비형),서남권,사업시행인가,2023.03.07,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9813
노량진2,정비사업,재개발(주택정비형),동작구,"16,208 ㎡",노량진동 312-75,제3종일반,준주거,397.94%,43.59%,4/29,104.77,421세대,315,106,25.18%,재개발(주택정비형),서남권,관리처분계획인가,2021.03.08,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9332
노량진3,정비사업,재개발(주택정비형),동작구,"44,201 ㎡",노량진동 232-19,"제1종,제2종일반",제3종일반,241.26%,22.2%,3/30,110,"1,012세대",838,174,17.19%,재개발(주택정비형),서남권,사업시행인가,2021.02.26,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9815
노량진4,정비사업,재개발(주택정비형),동작구,"40,512.5 ㎡",노량진동 227-121,"제1종,제3종일반",제2종일반,247.48%,22.82%,5/30,90,844세대,699,145,17.18%,재개발(주택정비형),서남권,관리처분계획인가,2022.12.19,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9815
노량진5,정비사업,재개발(주택정비형),동작구,"38,017 ㎡",노량진동 270-3,제1종일반,제3종일반,270.63%,18.57%,5/28,90,727세대,597,130,17.88%,재개발(주택정비형),서남권,관리처분계획인가,2023.09.25,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9814
노량진6,정비사업,재개발(주택정비형),동작구,"72,822 ㎡",노량진동 294-220,"제1종,제2종일반",제3종일반,267.94%,18.21%,4/28,87.65,"1,499세대","1,237",262,17.48%,재개발(주택정비형),서남권,관리처분계획인가,2021.01.25,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9332
노량진7,정비사업,재개발(주택정비형),동작구,"33,154 ㎡",대방동 13-31,제1종일반,제2종일반,237.44%,24.33%,3/27,90,576세대,478,98,17.01%,재개발(주택정비형),서남권,관리처분계획인가,2024.05.07,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9814
노량진8,정비사업,재개발(주택정비형),동작구,"55,832 ㎡",대방동 23-61,제2종일반,제2종일반,229.44%,20.08%,3/29,-,"1,007세대",835,172,17.08%,재개발(주택정비형),서남권,관리처분계획인가,2021.12.29,2025.05.31,서울특별시 재정비촉진과,2133-7224,동작구 도시정비1과,820-9813
뉴서울개나리열망연립,정비사업,재건축(공동),관악구,"14,656 ㎡",신림동 739,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",233.16%,24.42%,3/16,47.15,306세대,275,31,10.13%,재건축(공동),서남권,사업시행인가,2023.07.13,2025.05.31,서울특별시 공동주택과,2133-7287,관악구 주택과,879-6324
당산동6가 104,정비사업,신속통합기획,영등포구,"29,742 ㎡",당산동6가 104 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.05.10,2025.05.31,서울특별시 신속통합기획과,2133-1688,영등포구 주거사업과,2670-3531
대림1구역,정비사업,신속통합기획,영등포구,"42,505 ㎡",대림동 855-1 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.01.08,2025.05.31,서울특별시 신속통합기획과,2133-1692,영등포구 주거사업과,2670-3534
대림가락,정비사업,재건축(공동),송파구,"35,241 ㎡",방이동 217,제3종일반,제3종일반,-,-,-,-,925세대,786,139,15.03%,재건축(공동),동남권,조합설립인가,2023.02.09,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
대조1,정비사업,재개발(주택정비형),은평구,"89,808.4 ㎡","대조동 88,89","제2종(7층),제2종(12층)일반","제2종(7층),제2종(12층)일반",243.48%,24.83%,0/25,-,"2,451세대","2,083",368,15.01%,재개발(주택정비형),서북권,착공,2022.09.21,2025.05.31,서울특별시 주거정비과,2133-9383,은평구 정비사업신속추진단,351-7463
대치 미도,정비사업,신속통합기획,강남구,"195,080 ㎡",대치동 511 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2022.11.22,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6092
대치우성1·쌍용2,정비사업,신속통합기획,강남구,"54,358 ㎡","대치동 63, 65 일대",-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.02.24,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6092
대치은마,정비사업,신속통합기획,강남구,"243,553 ㎡",대치동 316 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.02.06,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6092
"대흥,성원,동진빌라",정비사업,재건축(공동),구로구,"55,926 ㎡",온수동 45-32,"제2종(7층),제2종일반","제2종(7층),제2종일반",195.46%,15.13%,2/25,132,"1,455세대","1,373",82,5.64%,재건축(공동),서남권,사업시행인가,2018.11.15,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2399
도림동 26-21 일대,정비사업,재개발(주택정비형),영등포구,"102,366 ㎡",도림동 26-21 일대,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",-,-,-,-,-세대,-,-,-,재개발(주택정비형),서남권,입안제안,2022.08.26,2025.05.31,서울특별시 주거정비과,2133-7239,영등포구 주거사업과,2670-3534
도봉2,정비사업,재개발(주택정비형),도봉구,"12,081.5 ㎡",도봉동 95,제3종일반,제3종일반,262.43%,34.31%,2/18,55,299세대,239,60,20.07%,재개발(주택정비형),동북권,착공,2023.09.01,2025.05.31,서울특별시 주거정비과,2133-7857,도봉구 재건축재개발과,2091-3412
독산2동 380 일대,정비사업,신속통합기획,금천구,"121,830 ㎡",독산2동 380 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 신속통합기획과,2133-1871,금천구 주거정비과,2627-1808
독산동 1036 일대,정비사업,신속통합기획,금천구,"79,036 ㎡",독산동 1036 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.11,2025.05.31,서울특별시 신속통합기획과,2133-1871,금천구 주거정비과,2627-1560
독산동 1072 일대,정비사업,신속통합기획,금천구,"81,663 ㎡",독산동 1072 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.11,2025.05.31,서울특별시 신속통합기획과,2133-1871,금천구 주거정비과,2627-1808
독산시흥구역,정비사업,재개발(주택정비형),금천구,"88,326.3 ㎡",시흥1동 871번지 일대,"제1종,제2종(7층),제3종일반","제2종(7층),제3종일반",300%,50%,45층이하,150,"2,072세대","1,730",342,16.51%,재개발(주택정비형),서남권,구역지정,2025.01.16,2025.05.31,서울특별시 주거정비과,2133-7239,금천구 주거정비과,2627-1562
독산시흥구역,정비사업,신속통합기획,금천구,"88,326 ㎡",시흥동 871 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.12.26,2025.05.31,서울특별시 신속통합기획과,2133-1693,금천구 주거정비과,2627-1562
돈암6,정비사업,재개발(주택정비형),성북구,"32,982 ㎡",돈암동 48-29,"제1종,제3종일반","제1종,제3종일반",275%,24%,-,73,889세대,728,161,18.11%,재개발(주택정비형),동북권,건축심의,2023.12.12,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2875
동선2,정비사업,재개발(주택정비형),성북구,"15,644.8 ㎡",동선동4가 304-2,"제2종(12층)일반,일반상업","제2종(12층)일반,일반상업",233.3%,24.57%,3/19,53.9,334세대,277,57,17.07%,재개발(주택정비형),동북권,관리처분계획인가,2022.05.03,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2872
동소문2,정비사업,재개발(주택정비형),성북구,"15,319.8 ㎡",동소문동2가 33,"준주거,일반상업",준주거,430.7%,38.99%,35층이하,105,608세대,447,161,26.48%,재개발(주택정비형),동북권,조합설립인가,2008.03.17,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2852
마장동 382 일대,정비사업,신속통합기획,성동구,"18,749 ㎡",마장동 382 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.06.30,2025.05.31,서울특별시 신속통합기획과,2133-1694,성동구 주거정비과,2286-6577
마장세림아파트,정비사업,재건축(공동),성동구,"38,866.05 ㎡",마장동 784,"제2종(7층),제2종,제3종일반","제2종(7층),제2종,제3종일반",-,-,2/29,89,996세대,915,81,8.13%,재건축(공동),동북권,조합설립인가,2023.12.22,2025.05.31,서울특별시 공동주택과,2133-7286,성동구 주거정비과,2286-6570
마천1,정비사업,재개발(주택정비형),송파구,"148,498 ㎡",마천동 194-1,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",-,-,-,-,"2,413세대","2,018",395,16.37%,재개발(주택정비형),동남권,조합설립인가,2022.05.01,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2897
마천2,정비사업,재개발(주택정비형),송파구,"91,983 ㎡",마천동 183일대,"제2종(7층),제2종(12층)일반","제2종(12층)일반,준주거",291.7%,60%,35층이하,129,"1,760세대","1,407",353,20.06%,재개발(주택정비형),동남권,구역지정,2012.07.26,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2897
마천2구역,정비사업,신속통합기획,송파구,"74,926 ㎡",마천동 183 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2024.03.22,2025.05.31,서울특별시 신속통합기획과,2133-1693,송파구 주택사업과,2147-2897
마천3,정비사업,재개발(주택정비형),송파구,"134,930 ㎡",마천동 283,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",300%,30%,25층이하,119,"2,364세대","1,969",395,16.71%,재개발(주택정비형),동남권,건축심의,2024.04.30,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2897
마천4,정비사업,재개발(주택정비형),송파구,"60,653 ㎡",마천동 323,"제2종,제3종일반","제1종,제2종(7층),제2종,제3종일반",297.71%,21.17%,3/33,102,"1,372세대","1,065",307,22.38%,재개발(주택정비형),동남권,관리처분계획인가,2024.01.30,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2900
마천5,정비사업,재개발(주택정비형),송파구,"106,514 ㎡",마천동 45 일대,"제1종,제2종(7층),제2종일반,제3종일반","제1종,제2종일반,제3종일반",250%,50%,39층이하,130,"2,041세대","1,633",408,19.99%,재개발(주택정비형),동남권,구역지정,2024.09.12,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2900
마천5구역,정비사업,신속통합기획,송파구,"106,101 ㎡",마천동 93-5 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.04.20,2025.05.31,서울특별시 신속통합기획과,2133-1693,송파구 주택사업과,2147-2897
망우1(염광아파트),정비사업,재건축(공동),중랑구,"25,109.6 ㎡",망우본동 178-1,제2종일반,"제2종일반, 제3종일반",271.35%,31.69%,4/24,80,581세대,539,42,7.23%,재건축(공동),동북권,조합설립인가,2012.05.29,2025.05.31,서울특별시 주거정비과,2133-7234,중랑구 주거개선과,2094-2804
망원동 416-53,정비사업,신속통합기획,마포구,"78,695 ㎡",망원동 416-53 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2023.11.22,2025.05.31,서울특별시 공동주택과,2133-7286,마포구 주택상생과,3153-9315
면목7구역,정비사업,재개발(주택정비형),중랑구,"58,400.9 ㎡",면목동 69-14,"제1종,제2종(7층),제2종일반","제2종(7층),제2종,제3종일반",299.87%,24.15%,35층이하,120,"1,447세대","1,068",379,26.19%,재개발(주택정비형),동북권,조합설립인가,2024.09.11,2025.05.31,서울특별시 주거정비과,2133-7234,중랑구 주택개발추진단,2094-6893
면목7구역,정비사업,신속통합기획,중랑구,"58,400 ㎡",면목동 69-14 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.02.28,2025.05.31,서울특별시 신속통합기획과,2133-8343,중랑구 주택개발추진단,2094-6893
면목8구역,정비사업,신속통합기획,중랑구,"51,258 ㎡",면목동 172-1 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.12.30,2025.05.31,서울특별시 신속통합기획과,2133-8343,중랑구 주택개발추진단,2094-6892
