사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
서초 진흥,정비사업,신속통합기획,서초구,"41,947 ㎡",서초동 1315외 4필지,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.13,2025.05.31,서울특별시 신속통합기획과,2133-8304,서초구 재건축사업과,2155-7364
서초신동아(2023-349),정비사업,재건축(공동),서초구,"45,532.48 ㎡",서초동 1333,제3종일반,제3종일반,288.8%,19.89%,3/35,101,"1,161세대","1,161",-,-,재건축(공동),동남권,착공,2024.12.31,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7395
서초진흥아파트,정비사업,재건축(공동),서초구,"37,874.9 ㎡",서초동 1315,제3종일반,제3종일반,-,-,-,-,615세대,615,-,-,재건축(공동),동남권,조합설립인가,2020.03.12,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7364
석관동 62-1일대,정비사업,신속통합기획,성북구,"61,787 ㎡",석관동 62-1일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.01.26,2025.05.31,서울특별시 신속통합기획과,2133-1693,성북구 도시정비신속추진단,2241-2842
성북1,정비사업,재개발(주택정비형),성북구,"109,639 ㎡",성북동 179-68,"제1종,제2종(7층)","제1종,제2종(7층),제2종일반",240.35%,60%,30층이하,100,"2,086세대","1,668",418,20.04%,재개발(주택정비형),동북권,조합설립인가,2024.10.31,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2872
성북2,정비사업,재개발(주택정비형),성북구,"75,073 ㎡",성북동 226-103,"제1종전용,제1종일반,자연녹지","제1종전용,제1종일반,자연녹지",89.93%,37.38%,3/4,-,191세대,191,-,-,재개발(주택정비형),동북권,사업시행인가,2024.09.05,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2855
성북동 3-38,정비사업,신속통합기획,성북구,"67,308 ㎡",성북동 3-38 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2023.11.22,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 도시정비신속추진단,2241-2784
성산시영아파트,정비사업,재건축(공동),마포구,"160,287.5 ㎡",성산동 446,제3종일반,제3종일반,299.96%,18.56%,3/35,-,"4,823세대","4,307",516,10.7%,재건축(공동),서북권,추진위구성,2025.03.14,2025.05.31,서울특별시 공동주택과,2133-7287,마포구 주택상생과,3153-9323
성수전략1,정비사업,재개발(주택정비형),성동구,"194,398 ㎡",성수동1가 72-10,"제2종(7층),제2종(12층),제3종일반,자연녹지","제2종(7층),제2종(12층),제3종일반,자연녹지",309%,21%,-,50,"2,909세대","2,414",495,17.02%,재개발(주택정비형),동북권,조합설립인가,2017.07.18,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6567
성수전략2,정비사업,재개발(주택정비형),성동구,"131,980 ㎡",성수동2가 506,"제2종(7층),제2종(12층),제3종일반,자연녹지","제2종(7층),제2종(12층),제3종일반,자연녹지",317%,18%,50층이하,150,"2,907세대","2,582",325,11.18%,재개발(주택정비형),동북권,조합설립인가,2020.03.06,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6567
성수전략3,정비사업,재개발(주택정비형),성동구,"114,193 ㎡",성수동2가 572-7,"제2종(7층),제2종(12층),제3종일반,자연녹지","제2종(7층),제2종(12층),제3종일반,자연녹지",317%,18%,-,150,"1,852세대","1,537",315,17.01%,재개발(주택정비형),동북권,조합설립인가,2019.02.27,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6567
성수전략4,정비사업,재개발(주택정비형),성동구,"89,818 ㎡",성수동2가 219-4,"제2종(7층),제2종(12층),제3종일반,자연녹지","제2종(7층),제2종(12층),제3종일반,자연녹지",315%,21%,50층이하,150,"1,579세대","1,310",269,17.04%,재개발(주택정비형),동북권,조합설립인가,2016.07.25,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6567
성수전략정비지구1,정비사업,신속통합기획,성동구,"194,398 ㎡",성수동1가 72-10 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2021.03.31,2025.05.31,서울특별시 신속통합기획과,2133-1691,성동구 주거정비과,2286-6567
성수전략정비지구2,정비사업,신속통합기획,성동구,"131,980 ㎡",성수동2가 506 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2021.03.31,2025.05.31,서울특별시 신속통합기획과,2133-1691,성동구 주거정비과,2286-6567
성수전략정비지구3,정비사업,신속통합기획,성동구,"114,193 ㎡",성수동2가 572-7 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2021.03.31,2025.05.31,서울특별시 신속통합기획과,2133-1691,성동구 주거정비과,2286-6567
성수전략정비지구4,정비사업,신속통합기획,성동구,"89,828 ㎡",성수동2가 219-4 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2021.03.31,2025.05.31,서울특별시 신속통합기획과,2133-1691,성동구 주거정비과,2286-6567
송파 한양2차,정비사업,신속통합기획,송파구,"62,370 ㎡",송파동 151 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.09.13,2025.05.31,서울특별시 신속통합기획과,2133-1687,송파구 주택사업과,2147-2897
송파미성,정비사업,재건축(공동),송파구,"28,959.7 ㎡",송파동 161,제3종일반,제3종일반,-,-,-,-,810세대,686,124,15.31%,재건축(공동),동남권,조합설립인가,2023.05.31,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2906
수색8,정비사업,재개발(주택정비형),은평구,"29,884 ㎡",수색동 16-2,"제1종,제2종(7층),제2종,제3종일반","제1종,제2종(7층),제2종,제3종일반",263.9%,22.4%,2/22,-,578세대,479,99,17.13%,재개발(주택정비형),서북권,관리처분계획인가,2023.01.26,2025.05.31,서울특별시 재정비촉진과,2133-7222,은평구 정비사업신속추진단,351-7482
수정아파트,정비사업,재건축(공동),양천구,"8,404.6 ㎡",신정동 733-31,제3종일반,제3종일반,299.99%,24.96%,3/21,67,276세대,248,28,10.14%,재건축(공동),서남권,관리처분계획인가,2023.12.31,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3450
숭인동 1169번지 일대,정비사업,재개발(주택정비형),종로구,"14,157 ㎡",숭인동 1169번지 일대,준주거,준주거,-,-,-,-,-세대,-,-,-,재개발(주택정비형),도심권,입안제안,2021.03.28,2025.05.31,서울특별시 주거정비과,2133-7208,종로구 도시개발과,2148-2685
숭인동 56일대,정비사업,재개발(주택정비형),종로구,"42,402 ㎡",숭인동 56-4 일대,"제1종,제2종일반","제1종,제2종,제3종일반",259.67%,60%,26층이하,125,974세대,804,170,17.45%,재개발(주택정비형),서북권,구역지정,2024.12.19,2025.05.31,서울특별시 재정비촉진과,2133-7222,종로구 도시개발과,2148-2692
시흥1구역,정비사업,재개발(주택정비형),금천구,"68,201.6 ㎡",시흥4동 810 일대,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",235%,60%,35층이하,110,"1,170세대",945,225,19.23%,재개발(주택정비형),서남권,구역지정,2024.07.11,2025.05.31,서울특별시 주거정비과,2133-7239,금천구 주거정비과,2627-1807
시흥1구역,정비사업,신속통합기획,금천구,"68,202 ㎡",시흥동 810 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.04.11,2025.05.31,서울특별시 신속통합기획과,2133-1692,금천구 주거정비과,2627-1807
시흥4동 4번지 일대,정비사업,재개발(주택정비형),금천구,"67,255 ㎡",시흥4동 4번지 일대,"제1종,제2종(7층)","제1종,제2종(7층)",-,-,-,-,-세대,-,-,-,재개발(주택정비형),서남권,입안제안,2022.08.26,2025.05.31,서울특별시 주거정비과,2133-7239,금천구 주거정비과,2627-1559
시흥동현대아파트,정비사업,재건축(공동),금천구,"8,713.5 ㎡",시흥동 220-2,"제1종,제2종(7층)일반","제1종,제2종(7층)일반",226.76%,33.19%,4/12,39.9,219세대,219,-,-,재건축(공동),서남권,착공,2024.09.13,2025.05.31,서울특별시 공동주택과,2133-7283,금천구 주택과,2627-1613
시흥무지개아파트,정비사업,재건축(공동),금천구,"28,336 ㎡",시흥동 109-1,"제3종일반,준주거","제3종일반,준주거",299.99%,29.13%,4/35,110,993세대,865,128,12.89%,재건축(공동),서남권,사업시행인가,2021.06.30,2025.05.31,서울특별시 공동주택과,2133-7283,금천구 주택과,2627-1612
신길10,정비사업,재건축(공동),영등포구,"32,123 ㎡",신길동 3590 일대,"제2종,제3종일반","제2종,제3종일반",298.55%,28.56%,3/29,-,812세대,733,79,9.73%,재건축(공동),서남권,관리처분계획인가,2022.11.10,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3501
신길13구역(신미아파트),정비사업,재건축(공동),영등포구,"15,120 ㎡",신길동 340-1,제3종일반,"제2종,제2종(7층),준주거",450%,60%,49층이하,-,586세대,399,187,31.91%,재건축(공동),서남권,조합설립인가,2021.03.11,2025.05.31,서울특별시 재정비촉진과,2133-7219,영등포구 주거사업과,2670-3582
신길1구역,정비사업,재개발(주택정비형),영등포구,"60,077 ㎡",신길동 147-80번지 일대,"제2종(7층),제2종,준주거","제2종(7층),제3종일반",299.6%,50%,45층이하,150,"1,483세대","1,042",441,29.74%,재개발(주택정비형),서남권,구역지정,2024.12.26,2025.05.31,서울특별시 재정비촉진과,2133-7219,영등포구 주거사업과,2670-3578
신길동 314-14,정비사업,신속통합기획,영등포구,"34,445 ㎡",신길동 314-14 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.06.27,2025.05.31,서울특별시 신속통합기획과,2133-1692,영등포구 주거사업과,2670-3531
신길동삼성아파트,정비사업,재건축(공동),영등포구,"15,945 ㎡",신길동 4759,제3종일반,제3종일반,-,-,-,-,562세대,468,94,16.73%,재건축(공동),서남권,건축심의,2020.09.15,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3506
신길동우성2차·우창아파트,정비사업,재건축(공동),영등포구,"45,767 ㎡",신길동 4501,제3종일반,제3종일반,-,-,-,-,"1,212세대","1,104",108,8.91%,재건축(공동),서남권,사업시행인가,2024.11.14,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3885
신길우성3차,정비사업,신속통합기획,영등포구,"23,324 ㎡",신길동 4656 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.12.24,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3501
신길제2구역,정비사업,재개발(주택정비형),영등포구,"116,913 ㎡",신길동 190,제2종일반,"제2종,제3종일반",299.82%,50%,49층이하,150,"1,962세대","1,667",295,15.04%,재개발(주택정비형),서남권,건축심의,2024.03.04,2025.05.31,서울특별시 주거정비과,2133-7239,영등포구 주거사업과,2670-3803
신당10,정비사업,재개발(주택정비형),중구,"63,893.4 ㎡",신당동 236-100,"제2종,제2종(7층),제3종일반,일반상업","제2종,제2종(7층),제3종일반,일반상업",299.8%,50%,35층이하,175,"1,423세대","1,107",316,22.21%,재개발(주택정비형),도심권,조합설립인가,2023.12.27,2025.05.31,서울특별시 주거정비과,2133-7188,중구 도시개발과,2148-2683
신당8구역,정비사업,재개발(주택정비형),중구,"58,651 ㎡",신당동 321-18 일대,제2종일반,제2종일반,244.17%,17.68%,0,90,"1,231세대","1,048",183,14.87%,재개발(주택정비형),도심권,관리처분계획인가,2024.05.31,2025.05.31,서울특별시 주거정비과,2133-7188,중구 도심정비과,3396-5723
신당9구역,정비사업,재개발(주택정비형),중구,"18,653 ㎡",신당동 432-702 일대,"제2종(7층),제3종일반","제2종,제3종일반",182%,60%,7층이하,28,315세대,315,-,-,재개발(주택정비형),도심권,건축심의,2020.11.18,2025.05.31,서울특별시 주거정비과,2133-7188,중구 도심정비과,3396-5724
신동아1차,정비사업,신속통합기획,도봉구,"139,037 ㎡",방학동 272 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2023.12.18,2025.05.31,서울특별시 공동주택과,2133-7144,도봉구 재건축재개발과,2091-3405
신림1,정비사업,재개발(주택정비형),관악구,"223,201 ㎡",신림동 808-495,"제1종,제2종(7층),제2종(12층),준주거","제1종,제2종(7층),제2종,제3종일반,자연녹지",259.68%,22.48%,5/29,88,"4,185세대","3,554",631,15.08%,재개발(주택정비형),서남권,사업시행인가,2025.03.11,2025.05.31,서울특별시 재정비촉진과,2133-7228,관악구 도시계획과,879-6382
신림1구역,정비사업,신속통합기획,관악구,"218,783 ㎡",신림동 808 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2021.07.15,2025.05.31,서울특별시 신속통합기획과,2133-1688,관악구 도시계획과,879-6382
신림2,정비사업,재개발(주택정비형),관악구,"95,795 ㎡",신림동 324-25,"제1종,제2종(7층),제2종(12층),제3종일반,자연녹지","제1종,제2종(12층)일반,자연녹지",248.71%,25.16%,4/28,88,"1,487세대","1,262",225,15.13%,재개발(주택정비형),서남권,관리처분계획인가,2021.04.29,2025.05.31,서울특별시 재정비촉진과,2133-7228,관악구 도시계획과,879-6381
신림3,정비사업,재개발(주택정비형),관악구,"35,136 ㎡",신림동 316-55,"제1종일반,자연녹지","제1종일반,제2종(7층)이하,자연녹지",233.7%,23.25%,4/17,73,571세대,473,98,17.16%,재개발(주택정비형),서남권,착공,2022.11.03,2025.05.31,서울특별시 재정비촉진과,2133-7228,관악구 도시계획과,879-6383
신림4구역,정비사업,신속통합기획,관악구,"40,437 ㎡",신림동 306 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-1689,관악구 도시계획과,879-6382
신림5구역,정비사업,신속통합기획,관악구,"162,219.5 ㎡",신림동 412 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.10.16,2025.05.31,서울특별시 신속통합기획과,2133-8343,관악구 주택과,879-6391
신림6구역,정비사업,신속통합기획,관악구,"43,247 ㎡",신림동 419 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.03.28,2025.05.31,서울특별시 신속통합기획과,2133-1689,관악구 주택과,879-6394
신림7구역,정비사업,신속통합기획,관악구,"76,880 ㎡",난향동 675 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.06.14,2025.05.31,서울특별시 신속통합기획과,2133-8343,관악구 주택과,879-6305
신림8구역,정비사업,신속통합기획,관악구,"86,136 ㎡",신림동 650 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.11,2025.05.31,서울특별시 신속통합기획과,2133-1694,관악구 주택과,879-6394
신림동 119-1,정비사업,신속통합기획,관악구,"16,899 ㎡",신림동 119-1 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 신속통합기획과,2133-1689,관악구 주택과,879-6394
신림미성아파트,정비사업,재건축(공동),관악구,"16,706.1 ㎡",조원동 1656,제3종일반,제3종일반,-,-,-,-,516세대,451,65,12.6%,재건축(공동),서남권,사업시행인가,2025.02.27,2025.05.31,서울특별시 공동주택과,2133-7287,관악구 주택과,879-6324
"신반포19차, 25차",정비사업,신속통합기획,서초구,"26,937.2 ㎡",잠원동 61-2 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.11.18,2025.05.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7395
신반포2차,정비사업,신속통합기획,서초구,"116,070.9 ㎡",잠원동 73 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.03.29,2025.05.31,서울특별시 신속통합기획과,2133-8303,서초구 재건축사업과,2155-7364
신반포궁전,정비사업,재건축(공동),서초구,"11,520 ㎡",반포동 65-1,제3종일반,제3종일반,-,-,-,-,249세대,208,41,16.47%,재건축(공동),동남권,추진위구성,2015.05.07,2025.05.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7346
신설1,정비사업,재개발(주택정비형),동대문구,"10,124.8 ㎡",신설동 92-5,제2종일반,제2종일반,298.81%,29.64%,2/24,71.85,299세대,189,110,36.79%,재개발(주택정비형),동북권,사업시행인가,2025.03.20,2025.05.31,서울특별시 주거정비과,2133-7189,동대문구 주거정비과,2127-4294
신영1구역,정비사업,재개발(주택정비형),종로구,"15,589 ㎡",신영동 158-2 일대,제1종일반,제2종(7층)일반,163.63%,37.65%,3/7,23,199세대,199,-,-,재개발(주택정비형),도심권,관리처분계획인가,2022.02.26,2025.05.31,서울특별시 주거정비과,2133-7208,종로구 도시개발과,2148-2683
신월5동 72 일대,정비사업,신속통합기획,양천구,"29,665 ㎡",신월5동 72 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.03.28,2025.05.31,서울특별시 주거정비과,2133-7188,양천구 도시계획과,2620-3513
신월5동 77일대,정비사업,재개발(주택정비형),양천구,"53,820 ㎡",신월5동 77일대,"제1종,제2종(7층),제2종","제1종,제2종(7층),제2종",-,-,-,-,-세대,-,-,-,재개발(주택정비형),서남권,입안제안,2022.08.26,2025.05.31,서울특별시 주거정비과,2133-7188,양천구 도시계획과,2620-3514
신월7동 1구역,정비사업,신속통합기획,양천구,"115,699 ㎡",신월동 913 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.06.01,2025.05.31,서울특별시 신속통합기획과,2133-1692,양천구 도시계획과,2620-3512
신월7동1구역,정비사업,재개발(주택정비형),양천구,"130,483.7 ㎡",신월7동 913번지 일대,"제1종,제2종(7층),제3종일반","제1종,제2종,제3종일반",300%,50%,-,66.49,"2,890세대","2,309",581,20.1%,재개발(주택정비형),동남권,구역지정,2025.01.23,2025.05.31,서울특별시 재정비촉진과,2133-7226,양천구 도시계획과,2620-3512
신월7동2구역,정비사업,재개발(주택정비형),양천구,"98,295.17 ㎡",신월7동 941번지 일대,"제1종,제2종(7층)일반","제1종,제2종(7층)일반",250%,60%,-,66,"2,228세대","1,684",544,24.42%,재개발(주택정비형),서남권,조합설립인가,2024.06.20,2025.05.31,서울특별시 주거정비과,2133-7188,양천구 도시계획과,2620-3516
신월시영,정비사업,신속통합기획,양천구,"146,351 ㎡",신월동 987-1,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.11.08,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3452
신정1-3,정비사업,재개발(주택정비형),양천구,"11,362.9 ㎡",양천구 신정동 606,"제2종,제3종일반","제2종,제3종일반",253.88%,21.6%,2/20,56.5,211세대,175,36,17.06%,재개발(주택정비형),서남권,사업시행인가,2019.12.27,2025.05.31,서울특별시 재정비촉진과,2133-7228,양천구 도시계획과,2620-3511
신정4,정비사업,재건축(공동),양천구,"82,071.7 ㎡",신정동 1200 일대,"제1종,제2종(7층),제2종,제3종일반","제1종,제2종(7층),제2종,제3종일반",249.82%,25.89%,5/23,69.04,"1,713세대","1,651",62,3.62%,재건축(공동),서남권,사업시행인가,2024.07.22,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 도시계획과,2620-3516
신정4동 922 일대,정비사업,신속통합기획,양천구,"84,186 ㎡",신정4동 922 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 주거정비과,2133-7188,양천구 도시계획과,2620-3512
신정동 1152,정비사업,신속통합기획,양천구,"44,082 ㎡",신정동 1-5 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2022.08.09,2025.05.31,서울특별시 신속통합기획과,2133-1687,양천구 도시계획과,2620-3514
신정동 1152번지 일대,정비사업,재개발(주택정비형),양천구,"44,082.76 ㎡",신정동 1152 일대,"제1종,제2종(7층)일반","제1종,제2종(7층)일반",250%,60%,15층이하,84.3,956세대,703,253,26.46%,재개발(주택정비형),서남권,조합설립인가,2024.06.18,2025.05.31,서울특별시 주거정비과,2133-7188,양천구 도시계획과,2620-3514
신풍역 일대,정비사업,신속통합기획,영등포구,"33,897 ㎡",신길동 3922 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3531
신향빌라,정비사업,재건축(공동),광진구,"14,779.4 ㎡",중곡4동 18-24,제2종(7층)일반,제2종(7층)일반,199.63%,37.26%,3/12,40,305세대,290,15,4.92%,재건축(공동),동북권,구역지정,2022.06.02,2025.05.31,서울특별시 공동주택과,2133-7144,광진구 주거사업과,450-9705
신향빌라,정비사업,신속통합기획,광진구,"15,757.8 ㎡",중곡동 18-24 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2020.11.26,2025.05.31,서울특별시 신속통합기획과,2133-1694,광진구 주거사업과,450-9705
쌍문3,정비사업,재개발(주택정비형),도봉구,"12,632.8 ㎡",쌍문동 724,"제2종(7층),제3종일반","제2종(7층),제2종일반,제3종일반",298.63%,60%,25층이하,75,320세대,284,36,11.25%,재개발(주택정비형),동북권,구역지정,2024.02.22,2025.05.31,서울특별시 주거정비과,2133-7857,도봉구 재건축재개발과,2091-3412
쌍문3구역,정비사업,신속통합기획,도봉구,"15,035 ㎡",쌍문동 724 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.03.20,2025.05.31,서울특별시 신속통합기획과,2133-1688,도봉구 재건축재개발과,2091-3412
쌍문동 26 일대,정비사업,신속통합기획,도봉구,"39,500 ㎡",쌍문동 26 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 신속통합기획과,2133-8304,도봉구 재건축재개발과,2091-3412
쌍문동 81 일대,정비사업,신속통합기획,도봉구,"64,316 ㎡",쌍문동 81 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.03.28,2025.05.31,서울특별시 신속통합기획과,2133-8304,도봉구 재건축재개발과,2091-3412
쌍문한양1차,정비사업,신속통합기획,도봉구,"43,499 ㎡",쌍문동 388-33 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.11.11,2025.05.31,서울특별시 공동주택과,2133-7144,도봉구 재건축재개발과,2091-3403
아현1구역,정비사업,재개발(주택정비형),마포구,"105,609 ㎡",아현동 699일대,"제1종, 제2종(7층),제3종일반,준주거","제1종, 제2종(7층),제3종일반,준주거",-,-,-,-,-세대,-,-,-,재개발(주택정비형),서북권,입안제안,2022.08.25,2025.05.31,서울특별시 주거정비과,2133-7208,마포구 주택상생과,3153-9335
압구정2,정비사업,신속통합기획,강남구,"214,345 ㎡",압구정동 434 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.11,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6063
압구정3,정비사업,신속통합기획,강남구,"399,595 ㎡",압구정동 369-1 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.11,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6063
압구정4,정비사업,신속통합기획,강남구,"118,860 ㎡",압구정동 481 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.11,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6063
압구정5,정비사업,신속통합기획,강남구,"78,987 ㎡",압구정동 490 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.11,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6063
양평동신동아아파트,정비사업,재건축(공동),영등포구,"20,169 ㎡",양평동1가 20,준공업,준공업,-,-,-,-,563세대,507,56,9.95%,재건축(공동),서남권,조합설립인가,2020.12.08,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3501
여의도 광장,정비사업,신속통합기획,영등포구,"43,042 ㎡",여의도동 28,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2023.09.21,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3543
여의도 광장 1~2동,정비사업,신속통합기획,영등포구,"10,167 ㎡",여의도동 38 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.04.30,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3558
여의도 대교,정비사업,신속통합기획,영등포구,"33,418 ㎡",여의도동 41,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.04.30,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도 목화,정비사업,신속통합기획,영등포구,"11,570 ㎡",여의도동 30,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2023.08.30,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도 삼부,정비사업,신속통합기획,영등포구,"35,507.9 ㎡",여의도동 30-2,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2023.12.08,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3572
여의도 삼익,정비사업,신속통합기획,영등포구,"18,565 ㎡",여의도동 21 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.19,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도 시범,정비사업,신속통합기획,영등포구,"109,046 ㎡",여의도동 50,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2022.11.07,2025.05.31,서울특별시 신속통합기획과,2133-8303,영등포구 주거사업과,2670-3543
여의도 은하,정비사업,신속통합기획,영등포구,"18,565 ㎡",여의도동 52 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.19,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도 한양,정비사업,신속통합기획,영등포구,"36,363 ㎡",여의도동 42,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.01.19,2025.05.31,서울특별시 신속통합기획과,2133-8303,영등포구 주거사업과,2670-3572
여의도시범아파트,정비사업,재건축(공동),영등포구,"109,307 ㎡",여의도동 50,"제1종,제3종일반",준주거,399.99%,60%,65층이하,200,"2,473세대","2,130",343,13.87%,재건축(공동),서남권,조합설립인가,2017.07.01,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3543
여의도한양아파트,정비사업,재건축(공동),영등포구,"36,363 ㎡",여의도동 42,제3종일반,일반상업,600%,60%,-,200,198세대,118,80,40.4%,재건축(공동),서남권,건축심의,2024.12.23,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3572
