사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
연건동 305일대,정비사업,재개발(주택정비형),종로구,"14,153 ㎡",연건동 305일대,"제2종,제3종일반,일반상업","제2종,제3종일반,일반상업",-,-,-,-,-세대,-,-,-,재개발(주택정비형),도심권,입안제안,2022.08.26,2025.05.31,서울특별시 주거정비과,2133-7208,종로구 도시개발과,2148-2683
연희1,정비사업,재개발(주택정비형),서대문구,"37,722 ㎡",연희동 533,제2종일반,제2종일반,246.72%,21.92%,3/20,57.55,"1,002세대",796,206,20.56%,재개발(주택정비형),서북권,관리처분계획인가,2020.07.22,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 주거정비과,330-1941
연희2,정비사업,재개발(주택정비형),서대문구,"49,745 ㎡",연희동 721-6,"제1종,제2종(7층),제3종일반","제1종,제2종일반",238%,21%,27층이하,75,"1,067세대",844,223,20.9%,재개발(주택정비형),서북권,조합설립인가,2024.03.13,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 도심개발과,330-1318
영천,정비사업,재개발(주택정비형),서대문구,"6,744.9 ㎡",영천동 69-20,"제3종일반,준주거","제3종일반,준주거",399.98%,48.03%,5/23,73.35,199세대,199,-,-,재개발(주택정비형),서북권,착공,2022.12.01,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 주거정비과,330-1940
오금현대,정비사업,재건축(공동),송파구,"110,232.2 ㎡",오금동 43,제3종일반,제3종일반,315.1%,22.02%,4/37,110,"2,436세대","2,029",407,16.71%,재건축(공동),동남권,추진위구성,2025.03.19,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
오류동 4,정비사업,신속통합기획,구로구,"57,166.1 ㎡",오류동 4 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.11,2025.05.31,서울특별시 신속통합기획과,2133-1870,구로구 도시개발과,860-2567
오류동 현대연립,정비사업,재건축(공동),구로구,"23,318.7 ㎡",오류동 156-15,제2종(7층)일반,제2종(7층)일반,220.82%,28.9%,6/15,-,437세대,397,40,9.15%,재건축(공동),서남권,관리처분계획인가,2023.07.26,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2940
올림픽선수기자촌,정비사업,신속통합기획,송파구,"532,597 ㎡",방이동 89 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.01.07,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
올림픽훼미리타운,정비사업,신속통합기획,송파구,"361,212 ㎡",문정동 150 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.03.28,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2903
용답동,정비사업,재개발(주택정비형),성동구,"73,645.4 ㎡",용답동 108-1,제3종일반,제3종일반,288.01%,19.71%,2/35,105,"1,670세대","1,365",305,18.26%,재개발(주택정비형),동북권,착공,2023.10.24,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6565
용두동 39-361일대,정비사업,신속통합기획,동대문구,"23,767 ㎡",용두동 39-361일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2022.12.30,2025.05.31,서울특별시 신속통합기획과,2133-1693,동대문구 주거정비과,2127-4666
우신빌라,정비사업,재건축(공동),구로구,"51,071.1 ㎡",궁동 213-21,"제2종(7층),제2종일반","제2종(7층),제2종일반",-,-,-,-,"1,127세대","1,063",64,5.68%,재건축(공동),서남권,구역지정,2023.12.28,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2399
월계동신아파트,정비사업,재건축(공동),노원구,"39,102 ㎡",월계동 436,제2종일반,제2종일반,249.67%,17.82%,4/25,72.6,"1,070세대","1,004",66,6.17%,재건축(공동),동북권,관리처분계획인가,2023.09.06,2025.05.31,서울특별시 공동주택과,2133-7144,노원구 재건축사업과,2116-3907
유원제일1차아파트,정비사업,재건축(공동),영등포구,"17,693 ㎡",당산동4가 91,준공업,준공업,299.99%,24.4%,3/25,73,550세대,479,71,12.91%,재건축(공동),서남권,착공,2024.08.05,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3885
유원제일2차아파트,정비사업,재건축(공동),영등포구,"28,654 ㎡",당산동5가 7-2,준공업,준공업,-,-,-,-,703세대,628,75,10.67%,재건축(공동),서남권,사업시행인가,2025.03.13,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3501
을지로3가구역 6지구,정비사업,신속통합기획,중구,"4,156.4 ㎡",수표동 35-10 일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2020.06.25,2025.05.31,서울특별시 신속통합기획과,2133-1688,중구 도심정비과,3396-5772
응암동 101번지,정비사업,재개발(주택정비형),은평구,"38,518 ㎡",응암동 101번지 일대,제2종(7층)일반,제2종(7층)일반,-,-,-,-,-세대,-,-,-,재개발(주택정비형),서북권,입안제안,2023.11.23,2025.05.31,서울특별시 주거정비과,2133-7189,은평구 정비사업신속추진과,351-7455
응암동 675,정비사업,신속통합기획,은평구,"40,696 ㎡",응암동 675 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 신속통합기획과,2133-8343,은평구 정비사업신속추진단,351-7463
이문3-1,정비사업,재개발(주택정비형),동대문구,"95,774 ㎡",이문동 149-8,"제1종,제2종(7층),제2종일반,일반상업","제1종,제2종,준주거,일반상업",419.91%,25.15%,6/41,143,"4,169세대","2,859","1,310",31.42%,재개발(주택정비형),동북권,착공,2021.10.26,2025.05.31,서울특별시 재정비촉진과,2133-7213,동대문구 주거정비과,2127-4759
이문4,정비사업,재개발(주택정비형),동대문구,"149,690 ㎡",이문동 86-1,"제2종(7층),제2종,제3종일반","제2종(7층),제3종일반,준주거",316.99%,21.46%,5/40,121,"3,628세대","2,700",928,25.58%,재개발(주택정비형),동북권,관리처분계획인가,2024.04.01,2025.05.31,서울특별시 재정비촉진과,2133-7213,동대문구 주거정비과,2127-4590
이촌1,정비사업,신속통합기획,용산구,"20,653 ㎡","이촌동 199,203,206 일대",-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2024.06.10,2025.05.31,서울특별시 공동주택과,2133-7299,용산구 주택과,2199-7365
이태원동 730 일대,정비사업,신속통합기획,용산구,"44,034 ㎡",이태원동 730 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 주거정비과,2133-7187,용산구 재정비사업과,2199-7465
일원가람,정비사업,신속통합기획,강남구,"41,145 ㎡",일원동 735 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.03.12,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6076
자양4동통합구역,정비사업,신속통합기획,광진구,"139,129.6 ㎡",자양동 57-90 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.02.01,2025.05.31,서울특별시 신속통합기획과,2133-1870,광진구 주거사업과,450-9703
자양동 227-147 일대,정비사업,신속통합기획,광진구,"40,836.7 ㎡",자양동 227-147 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.12.13,2025.05.31,서울특별시 신속통합기획과,2133-1870,광진구 주거사업과,450-9711
자양한양아파트,정비사업,재건축(공동),광진구,"40,179.2 ㎡",자양동 695,제2종일반,"제2종,제3종일반",-,-,-,-,859세대,652,207,24.1%,재건축(공동),동북권,구역지정,2024.05.30,2025.05.31,서울특별시 공동주택과,2133-7144,광진구 주거사업과,450-9711
"잠실우성1,2,3차",정비사업,재건축(공동),송파구,"111,830 ㎡",잠실동 101-1,제3종일반,제3종일반,299.93%,23.7%,3/49,-,"2,680세대","2,338",342,12.76%,재건축(공동),동남권,조합설립인가,2021.06.11,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
잠실우성4차,정비사업,재건축(공동),송파구,"30,235.7 ㎡",잠실동 320,제3종일반,제3종일반,299.69%,25.03%,4/32,97.3,825세대,732,93,11.27%,재건축(공동),동남권,사업시행인가,2023.08.31,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2906
잠실주공5,정비사업,신속통합기획,송파구,"358,077 ㎡",잠실동 27 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2024.02.06,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
잠실진주,정비사업,재건축(공동),송파구,"101,151.3 ㎡",신천동 20-4,"제1종,제3종일반","제1종,제3종일반",299.89%,20.69%,4/35,108.05,"2,678세대","2,326",352,13.14%,재건축(공동),동남권,착공,2021.12.24,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
장미1·2·3차,정비사업,신속통합기획,송파구,"257,305 ㎡",신천동 7 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2024.08.11,2025.05.31,서울특별시 신속통합기획과,2133-1693,송파구 주택사업과,2147-2896
장미아파트,정비사업,재건축(공동),성동구,"11,084 ㎡",성수동1가 656-421,준공업,준공업,279.83%,28.84%,3/20,65.95,287세대,260,27,9.41%,재건축(공동),동북권,착공,2024.10.23,2025.05.31,서울특별시 공동주택과,2133-7286,성동구 주거정비과,2286-6570
장안동 134-15 일대,정비사업,신속통합기획,동대문구,"67,758 ㎡",장안동 134-15 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.03.28,2025.05.31,서울특별시 신속통합기획과,2133-8303,동대문구 주거정비과,2127-4693
장안현대,정비사업,재건축(공동),동대문구,"24,570 ㎡",장안동 95-1,제3종일반,제3종일반,299.7%,28.41%,3/29,86.5,746세대,641,105,14.08%,재건축(공동),동북권,사업시행인가,2024.08.13,2025.05.31,서울특별시 공동주택과,2133-7287,동대문구 주거정비과,2127-4295
장위10,정비사업,재개발(주택정비형),성북구,"91,362 ㎡",장위동 68-37,제2종(7층)일반,제2종일반,264.68%,20.94%,4/29,85.1,"2,004세대","1,663",341,17.02%,재개발(주택정비형),동북권,관리처분계획인가,2017.07.27,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2833
장위13-1,정비사업,신속통합기획,성북구,"131,226 ㎡",장위동 219-90 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 도시정비신속추진단,2241-2782
장위13-2,정비사업,신속통합기획,성북구,"110,641 ㎡",장위동 224-12 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 도시정비신속추진단,2241-2782
장위14,정비사업,재개발(주택정비형),성북구,"145,174.6 ㎡",장위동 233-552,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",212%,30%,16층이하,75,"2,439세대","2,000",439,18%,재개발(주택정비형),동북권,건축심의,2023.11.28,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2833
장위15,정비사업,재개발(주택정비형),성북구,"187,669 ㎡",장위동 233-42,"제1종,제2종(12층)일반","제1종,제2종(7층),제2종(12층)일반",300%,30%,36층이하,109,"2,464세대","2,044",420,17.05%,재개발(주택정비형),동북권,조합설립인가,2022.03.28,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2833
장위3,정비사업,재개발(주택정비형),성북구,"66,011 ㎡",장위동 305,"제2종(7층),제2종일반",제2종일반,-,-,-,-,"1,078세대",894,184,17.07%,재개발(주택정비형),동북권,추진위구성,2004.09.10,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2834
장위6,정비사업,재개발(주택정비형),성북구,"105,164 ㎡",장위동 25-55,"제1종,제2종,제3종일반","제1종,제2종,제3종일반",263.97%,19.52%,3/33,100,"1,637세대","1,352",285,17.41%,재개발(주택정비형),동북권,착공,2024.04.01,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2834
장위8,정비사업,재개발(주택정비형),성북구,"121,634 ㎡",장위동 85,"제1종,제2종(7층),제2종일반","제1종,제2종일반",300%,60%,25층이하,150,"2,846세대","2,062",784,27.55%,재개발(주택정비형),동북권,조합설립인가,2024.01.10,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2837
장위9,정비사업,재개발(주택정비형),성북구,"84,248 ㎡",장위동 238-83,제2종(7층),"제2종(7층),제2종일반",300%,60%,30층이하,150,"2,230세대","1,467",763,34.22%,재개발(주택정비형),동북권,조합설립인가,2024.01.10,2025.05.31,서울특별시 재정비촉진과,2133-7223,성북구 주거정비과,2241-2834
전농12,정비사업,재개발(주택정비형),동대문구,"16,237 ㎡",전농동 643-51,제3종일반,제3종일반,-,-,-,-,297세대,246,51,17.17%,재개발(주택정비형),동북권,조합설립인가,2022.01.14,2025.05.31,서울특별시 재정비촉진과,2133-7217,동대문구 주거정비과,2127-4292
전농8,정비사업,재개발(주택정비형),동대문구,"93,697 ㎡",전농동 204,"제2종(7층),제2종일반",제2종일반,230%,50%,16층이하,70,"1,515세대","1,253",262,17.29%,재개발(주택정비형),동북권,조합설립인가,2023.10.17,2025.05.31,서울특별시 재정비촉진과,2133-7228,동대문구 주거정비과,2127-4579
전농9,정비사업,재개발(주택정비형),동대문구,"36,229 ㎡",전농2동 103-27,"제2종(7층),제3종일반",제3종일반,299.68%,18.18%,35층이하,175,"1,159세대",920,239,20.62%,재개발(주택정비형),동북권,조합설립인가,2023.07.13,2025.05.31,서울특별시 주거정비과,2133-7189,동대문구 주거정비과,2127-4295
전농동 152-65,정비사업,신속통합기획,동대문구,"71,738 ㎡",전농동 152-65 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2023.11.22,2025.05.31,서울특별시 주거정비과,2133-7189,동대문구 주거정비과,2127-4671
정릉2,정비사업,신속통합기획,성북구,"24,137 ㎡",정릉동 710-81 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 도시정비신속추진단,2241-2782
정릉골,정비사업,재개발(주택정비형),성북구,"162,151 ㎡",정릉동 757,"제1종일반,자연녹지","제1종일반,자연녹지",99.89%,35.96%,2/4,12,"1,411세대","1,411",-,-,재개발(주택정비형),동북권,관리처분계획인가,2024.01.22,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 주거정비과,2241-2864
정릉동 898-16 일대,정비사업,신속통합기획,성북구,"53,971 ㎡",정릉동 898-16 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.03.28,2025.05.31,서울특별시 주거정비과,2133-7232,성북구 도시정비신속추진단,2241-2782
제기1,정비사업,재건축(공동),동대문구,"9,632.7 ㎡",제기동 892-68,"제3종일반,준주거","제3종일반,준주거",299.86%,21.3%,3/32,90,351세대,306,45,12.82%,재건축(공동),동북권,착공,2025.03.31,2025.05.31,서울특별시 공동주택과,2133-7287,동대문구 주거정비과,2127-4294
제기4,정비사업,재개발(주택정비형),동대문구,"29,850.3 ㎡",제기동 288,"제2종,제3종일반","제2종,제3종일반",249.97%,30.83%,2/25,75,909세대,753,156,17.16%,재개발(주택정비형),동북권,관리처분계획인가,2022.08.25,2025.05.31,서울특별시 주거정비과,2133-7189,동대문구 주거정비과,2127-4666
제기6,정비사업,재개발(주택정비형),동대문구,"17,780.5 ㎡",제기동 120-104,제2종일반,제2종일반,239.79%,24.84%,3/18,-,423세대,350,73,17.26%,재개발(주택정비형),동북권,관리처분계획인가,2023.11.09,2025.05.31,서울특별시 주거정비과,2133-7189,동대문구 주거정비과,2127-4676
종암동 125-35 일대,정비사업,신속통합기획,성북구,"35,608 ㎡",종암동 125-35 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2023.08.17,2025.05.31,서울특별시 신속통합기획과,2133-1694,성북구 도시정비신속추진단,2241-2784
종암동3-10일대,정비사업,신속통합기획,성북구,"25,326 ㎡",종암동3-10일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.06.11,2025.05.31,서울특별시 신속통합기획과,2133-1870,성북구 도시정비신속추진단,2241-2843
중계본동,정비사업,재개발(주택정비형),노원구,"146,665 ㎡",중계본동 30-3,"제1종,제2종(7층),제2종일반,자연녹지","제1종,제2종일반,자연녹지",196.45%,27.09%,5/20,59.62,"2,437세대","1,953",484,19.86%,재개발(주택정비형),동북권,관리처분계획인가,2024.03.05,2025.05.31,서울특별시 주거정비과,2133-7203,노원구 재건축사업과,2116-3918
중곡동 254-15 일대,정비사업,신속통합기획,광진구,"81,343 ㎡",중곡동 254-15 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-8304,광진구 주거사업과,450-9705
중곡아파트,정비사업,재건축(공동),광진구,"10,262.3 ㎡",중곡동 190-26,"제2종(7층),제2종일반",제2종일반,-,-,-,-,296세대,276,20,6.76%,재건축(공동),동북권,조합설립인가,2022.07.19,2025.05.31,서울특별시 공동주택과,2133-7144,광진구 주거사업과,450-9703
중림동 398,정비사업,재개발(주택정비형),중구,"23,194.1 ㎡",중림동 398,"제2종(7층),제3종일반","제2종(7층),제2종일반",300%,50%,25층이하,100,791세대,600,191,24.15%,재개발(주택정비형),도심권,조합설립인가,2023.09.14,2025.05.31,서울특별시 주거정비과,2133-7188,중구 도심정비과,3396-5722
중산시범아파트,정비사업,재건축(공동),용산구,"6,378 ㎡",이촌동 211-2,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),도심권,추진위구성,2005.07.12,2025.05.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7367
중화1,정비사업,재개발(주택정비형),중랑구,"44,725.5 ㎡",중화동 331-64,"제2종(7층),제2종일반","제2종(7층),제2종,제3종일반",299.94%,21.11%,2/35,100.3,"1,055세대",865,190,18.01%,재개발(주택정비형),동북권,착공,2022.06.07,2025.05.31,서울특별시 재정비촉진과,2133-7228,중랑구 도시계획과,2094-2193
중화5구역,정비사업,재개발(주택정비형),중랑구,"71,465.9 ㎡",중화동 122,"제2종(7층),제2종일반","제2종(7층),제2종일반",290.11%,22.07%,35층이하,105,"1,610세대","1,196",414,25.71%,재개발(주택정비형),동북권,조합설립인가,2024.01.18,2025.05.31,서울특별시 주거정비과,2133-7234,중랑구 주택개발추진단,2094-6892
중화6구역,정비사업,신속통합기획,중랑구,"45,505 ㎡",중화동 309-39 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.08.28,2025.05.31,서울특별시 신속통합기획과,2133-8303,중랑구 주택개발추진단,2094-6893
중화동 우성타운,정비사업,재건축(공동),중랑구,"10,388 ㎡",중화동 195-2,제3종일반,제3종일반,248.89%,15.58%,3/20,-,223세대,208,15,6.73%,재건축(공동),동북권,조합설립인가,2023.05.11,2025.05.31,서울특별시 주거정비과,2133-7234,중랑구 주거개선과,2094-2802
증산5,정비사업,재개발(주택정비형),은평구,"112,804 ㎡",증산동 195,"제2종(7층),제2종(12층),제3종일반","제2종(7층),제2종(12층),제3종일반",263.7%,60%,4/30,-,"1,694세대","1,402",292,17.24%,재개발(주택정비형),서북권,관리처분계획인가,2023.09.26,2025.05.31,서울특별시 재정비촉진과,2133-7222,은평구 정비사업신속추진단,351-7484
창동상아1차,정비사업,신속통합기획,도봉구,"24,145 ㎡",창동 299 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.11.11,2025.05.31,서울특별시 공동주택과,2133-7144,도봉구 재건축재개발과,2091-3403
창신10구역,정비사업,신속통합기획,종로구,"81,370.9 ㎡",창신동 629 일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2024.11.14,2025.05.31,서울특별시 신속통합기획과,2133-1686,종로구 도시개발과,2148-2682
창신9구역,정비사업,신속통합기획,종로구,"133,845.6 ㎡",창신동 23-606 일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2024.11.14,2025.05.31,서울특별시 신속통합기획과,2133-1686,종로구 도시개발과,2148-2682
창신동 23/숭인동56일대,정비사업,신속통합기획,종로구,"107,224.7 ㎡",창신동 23/숭인동56일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2023.07.06,2025.05.31,서울특별시 신속통합기획과,2133-1686,종로구 도시개발과,2148-2683
창신동 23일대,정비사업,재개발(주택정비형),종로구,"64,822 ㎡",창신동 23-2 일대,"제1종,제2종(7층),제2종,제3종일반","제1종,제2종(7층),제2종,제3종일반",224.82%,60%,28층이하,125,"1,038세대",879,159,15.32%,재개발(주택정비형),도심권,구역지정,2024.12.19,2025.05.31,서울특별시 주거정비과,2133-7208,종로구 도시개발과,2148-2692
천호3-1,정비사업,신속통합기획,강동구,"20,659 ㎡",천호동 214-19 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2024.01.10,2025.05.31,서울특별시 신속통합기획과,2133-1870,강동구 재건축재개발과,3425-5993
천호3-2,정비사업,신속통합기획,강동구,"19,291.9 ㎡",천호동 397-419 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2021.04.25,2025.05.31,서울특별시 신속통합기획과,2133-1870,강동구 재건축재개발과,3425-5993
천호3-2,정비사업,재개발(주택정비형),강동구,"19,292 ㎡",천호동 397-419,"제2종(7층),제2종일반",제2종일반,215.4%,60%,23층이하,72,420세대,343,77,18.33%,재개발(주택정비형),동남권,추진위구성,2023.04.07,2025.05.31,서울특별시 주거정비과,2133-7202,강동구 재건축재개발과,3425-5993
천호3-3,정비사업,재개발(주택정비형),강동구,"24,620 ㎡",천호동 532-2,"제2종(7층),제2종일반,준주거",제2종일반,230%,30%,24층이하,107,568세대,461,107,18.84%,재개발(주택정비형),동남권,추진위구성,2024.02.20,2025.05.31,서울특별시 주거정비과,2133-7202,강동구 재건축재개발과,3425-5993
천호3-3,정비사업,신속통합기획,강동구,"24,620 ㎡",천호동 532-2 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2022.08.09,2025.05.31,서울특별시 신속통합기획과,2133-1870,강동구 재건축재개발과,3425-5993
천호A1-1,정비사업,재개발(주택정비형),강동구,"26,548 ㎡",천호동 467-61,"제3종일반,준주거",제3종일반,359.94%,50%,40층이하,125.25,747세대,480,267,35.74%,재개발(주택정비형),동남권,구역지정,2024.11.28,2025.05.31,서울특별시 주거정비과,2133-7202,강동구 재건축재개발과,3425-5992
천호A1-2,정비사업,재개발(주택정비형),강동구,"26,598.79 ㎡",천호동 461-31,"제3종일반,준주거",제3종일반,299.99%,50%,40층이하,125.25,781세대,645,136,17.41%,재개발(주택정비형),동남권,구역지정,2024.03.14,2025.05.31,서울특별시 주거정비과,2133-7202,강동구 재건축재개발과,3425-5992
천호A1-2구역,정비사업,신속통합기획,강동구,"30,154 ㎡",천호동 461-31 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.04.04,2025.05.31,서울특별시 신속통합기획과,2133-1870,강동구 재건축재개발과,3425-5992
청량리 미주아파트,정비사업,재건축(공동),동대문구,"56,785 ㎡",청량리동 235-1,"제3종일반,일반상업","제3종일반,일반상업",299.81%,23.86%,3/35,105,"1,370세대","1,208",162,11.82%,재건축(공동),동북권,추진위구성,2024.10.07,2025.05.31,서울특별시 공동주택과,2133-7287,동대문구 주거정비과,2127-4759
청량리6,정비사업,재개발(주택정비형),동대문구,"62,446.3 ㎡",청량리동 205,제2종일반,제2종일반,242.99%,24.34%,3/22,-,"1,493세대","1,239",254,17.01%,재개발(주택정비형),동북권,사업시행인가,2024.11.07,2025.05.31,서울특별시 재정비촉진과,2133-7217,동대문구 주거정비과,2127-4676
청량리7,정비사업,재개발(주택정비형),동대문구,"25,922.6 ㎡",청량리동 199,제2종일반,제2종일반,242.7%,25.06%,6/18,53,761세대,627,134,17.61%,재개발(주택정비형),동북권,착공,2022.12.29,2025.05.31,서울특별시 재정비촉진과,2133-7217,동대문구 주거정비과,2127-4672
청량리8,정비사업,재개발(주택정비형),동대문구,"29,001 ㎡",청량리동 435,제3종일반,제3종일반,246.98%,15.99%,3/24,69.75,610세대,460,150,24.59%,재개발(주택정비형),동북권,사업시행인가,2024.07.09,2025.05.31,서울특별시 재정비촉진과,2133-7217,동대문구 주거정비과,2127-4671
청량리동 19 일대,정비사업,신속통합기획,동대문구,"27,981 ㎡",청량리동 19 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.03.10,2025.05.31,서울특별시 신속통합기획과,2133-1694,동대문구 주거정비과,2127-4671
청파 2구역,정비사업,신속통합기획,용산구,"82,360 ㎡",청파동1가 89-18 일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2023.07.05,2025.05.31,서울특별시 신속통합기획과,2133-1687,용산구 재정비사업과,2199-7462
청파1구역,정비사업,재개발(주택정비형),용산구,"32,390.4 ㎡",청파동2가 11-1,"제2종(7층),제3종일반","제2종(7층),제2종일반",249.86%,25.72%,25층이하,80,697세대,581,116,16.64%,재개발(주택정비형),도심권,조합설립인가,2023.02.17,2025.05.31,서울특별시 주거정비과,2133-7187,용산구 재정비사업과,2199-7462
청파3,정비사업,신속통합기획,용산구,"49,210 ㎡",청파동1가 97-35 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2025.04.28,2025.05.31,서울특별시 주거정비과,2133-7187,용산구 재정비사업과,2199-7465
청화,정비사업,신속통합기획,용산구,"47,872 ㎡",이태원동 22-2 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2024.11.13,2025.05.31,서울특별시 공동주택과,2133-7299,용산구 재정비사업과,2199-7465
청화아파트,정비사업,재건축(공동),용산구,"47,872 ㎡",이태원동 22-2,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),도심권,추진위구성,2009.12.30,2025.05.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7363
