사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
충정로1,정비사업,재개발(주택정비형),서대문구,"7,523 ㎡",충정로3가 281-11일대,"제3종일반,준주거","제3종일반,준주거",450%,60%,30층이하,100,297세대,196,101,34.01%,재개발(주택정비형),서북권,구역지정,2024.12.19,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 주거정비과,330-1940
편백마을,정비사업,신속통합기획,은평구,"61,947 ㎡",신사동 200 일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2024.08.29,2025.05.31,서울특별시 주거정비과,2133-7189,은평구 정비사업신속추진단,351-7462
풍납극동,정비사업,신속통합기획,송파구,"16,044 ㎡",풍납동 391 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.12.04,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
풍납미성,정비사업,신속통합기획,송파구,"19,505 ㎡",풍납동 216 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.09.24,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
하계장미,정비사업,신속통합기획,노원구,"65,069 ㎡",하계동 273 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.01.22,2025.05.31,서울특별시 공동주택과,2133-7144,노원구 재건축사업과,2116-3920
하월곡동 70-1 일대,정비사업,신속통합기획,성북구,"79,756 ㎡",하월곡동 70-1 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2023.04.14,2025.05.31,서울특별시 신속통합기획과,2133-8343,성북구 도시정비신속추진단,2241-2782
한남2구역,정비사업,재개발(주택정비형),용산구,"114,580.6 ㎡",보광동 272-3,"제1종,제2종,제3종일반",제2종일반,195.42%,32.14%,6/14,40.5,"1,537세대","1,299",238,15.48%,재개발(주택정비형),도심권,사업시행인가,2021.11.26,2025.05.31,서울특별시 재정비촉진과,2133-7218,용산구 재정비사업과,2199-7454
한남3구역,정비사업,재개발(주택정비형),용산구,"386,395.5 ㎡",한남동 686,"제1종,제2종,제3종일반","제1종,제2종,제3종일반,준주거",232.47%,42.09%,6/22,71.15,"5,816세대","4,940",876,15.06%,재개발(주택정비형),도심권,관리처분계획인가,2023.06.23,2025.05.31,서울특별시 재정비촉진과,2133-7218,용산구 재정비사업과,2199-7442
한남4구역,정비사업,재개발(주택정비형),용산구,"160,258 ㎡",보광동 360,"제1종,제2종,제3종일반,준주거","제1종,제2종일반,준주거",228%,60%,22층이하,-,"2,331세대","1,981",350,15.02%,재개발(주택정비형),도심권,건축심의,2024.05.28,2025.05.31,서울특별시 재정비촉진과,2133-7218,용산구 재정비사업과,2199-7444
한남5구역,정비사업,재개발(주택정비형),용산구,"183,707 ㎡",동빙고동 60,"제1종,제2종,제3종일반","제2종,제3종일반,준주거",222.25%,60%,23층이하,-,"2,560세대","2,176",384,15%,재개발(주택정비형),도심권,건축심의,2024.04.09,2025.05.31,서울특별시 재정비촉진과,2133-7218,용산구 재정비사업과,2199-7452
한남하이츠,정비사업,재건축(공동),성동구,"48,837 ㎡",옥수동 220-1,제3종일반,제3종일반,230.55%,21.16%,6/20,59.35,790세대,787,3,0.38%,재건축(공동),동북권,사업시행인가,2020.05.21,2025.05.31,서울특별시 공동주택과,2133-7286,성동구 주거정비과,2286-6569
한양1차,정비사업,신속통합기획,송파구,"46,729 ㎡",송파동 119 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.10.24,2025.05.31,서울특별시 신속통합기획과,2133-1687,송파구 주택사업과,2147-2888
한양2차,정비사업,재건축(공동),송파구,"54,855.2 ㎡",송파동 151,제3종일반,제3종일반,-,-,-,-,744세대,744,-,-,재건축(공동),동남권,조합설립인가,2020.11.02,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
한양3차,정비사업,재건축(공동),송파구,"20,080.7 ㎡",방이동 225,제3종일반,제3종일반,299.81%,25.03%,3/33,124.95,507세대,430,77,15.19%,재건축(공동),동남권,사업시행인가,2024.05.14,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2906
한효아파트,정비사업,재건축(공동),구로구,"17,192 ㎡",고적동 52-332,준공업,준공업,-,-,-,-,440세대,407,33,7.5%,재건축(공동),서남권,구역지정,2023.01.05,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,2627-1613
행당7,정비사업,재개발(주택정비형),성동구,"27,918.4 ㎡",행당동 128,"제2종(7층),제3종일반","제2종(7층),제3종일반",299.57%,20.41%,4/35,101,958세대,768,190,19.83%,재개발(주택정비형),동북권,착공,2021.09.06,2025.05.31,서울특별시 주거정비과,2133-7187,성동구 주거정비과,2286-6564
홍은13,정비사업,재개발(주택정비형),서대문구,"37,301 ㎡",홍은동 11-111,"제2종(7층),제2종(12층)일반","제2종(7층),제2종(12층)일반",200.82%,24.62%,3/15,46.25,827세대,686,141,17.05%,재개발(주택정비형),서북권,착공,2021.07.15,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 주거정비과,330-8073
홍은동 8-400 일대,정비사업,신속통합기획,서대문구,"88,211 ㎡",홍은동 8-400 일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2023.07.05,2025.05.31,서울특별시 신속통합기획과,2133-1687,서대문구 홍제지구활성화추진단,3140-8098
홍제동 267-1,정비사업,신속통합기획,서대문구,"28,984 ㎡",홍제동 267-1 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2023.09.21,2025.05.31,서울특별시 주거정비과,2133-7236,서대문구 홍제지구활성화추진단,330-1694
홍제동 287-118 일대,정비사업,신속통합기획,서대문구,"15,345 ㎡",홍제동 287-118 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2024.12.13,2025.05.31,서울특별시 주거정비과,2133-7235,서대문구 홍제지구활성화추진단,330-3860
홍제동 9-81 일대,정비사업,신속통합기획,서대문구,"119,733.8 ㎡",홍제동 9-81 일대,-,-,,,,,,,,,신속통합기획,서북권,대상지선정(추진중),2024.10.21,2025.05.31,서울특별시 주거정비과,2133-7235,서대문구 도심개발과,330-1318
후암동 264-11 일대,정비사업,신속통합기획,용산구,"82,173 ㎡",후암동 264-11 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2024.08.28,2025.05.31,서울특별시 주거정비과,2133-7187,용산구 재정비사업과,2199-7465
후암동 30-2,정비사업,신속통합기획,용산구,"104,070 ㎡",후암동 30-2 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2024.06.27,2025.05.31,서울특별시 주거정비과,2133-7187,용산구 재정비사업과,2199-7465
휘경3,정비사업,재개발(주택정비형),동대문구,"49,097 ㎡",휘경동 172,"제1종,제2종(7층)","제2종(7층),제2종,제3종일반",299.9%,18.73%,3/35,118,"1,806세대","1,373",433,23.98%,재개발(주택정비형),동북권,착공,2022.04.19,2025.05.31,서울특별시 재정비촉진과,2133-7213,동대문구 주거정비과,2127-4590
휘경5,정비사업,재개발(주택정비형),동대문구,"49,397 ㎡",휘경동 43-8,"제1종,제2종(7층)","제1종,제2종(7층)",-,-,-,-,634세대,594,40,6.31%,재개발(주택정비형),동북권,구역지정,2023.06.22,2025.05.31,서울특별시 주거정비과,2133-7189,동대문구 주거정비과,2127-4676
흑석1,정비사업,재개발(주택정비형),동작구,"18,165 ㎡",흑석동 43-7,"제1종,제2종,제3종일반","제1종,제2종,제3종일반",294%,39%,30층이하,-,474세대,392,82,17.3%,재개발(주택정비형),서남권,조합설립인가,2022.03.31,2025.05.31,서울특별시 재정비촉진과,2133-7199,동작구 도시정비1과,820-9804
흑석11,정비사업,신속통합기획,동작구,"70,238.2 ㎡",흑석동 304 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2019.09.02,2025.05.31,서울특별시 신속통합기획과,2133-1688,동작구 도시정비1과,820-9805
흑석11,정비사업,재개발(주택정비형),동작구,"89,317.5 ㎡",흑석동 304,"제1종,제2종,제3종일반","제1종,제2종일반",201.55%,25.88%,5/16,69,"1,509세대","1,252",257,17.03%,재개발(주택정비형),서남권,관리처분계획인가,2023.06.14,2025.05.31,서울특별시 재정비촉진과,2133-7199,동작구 도시정비1과,820-9805
흑석9,정비사업,재개발(주택정비형),동작구,"94,614.2 ㎡",흑석동 90,"제1종,제2종일반",제2종일반,254.79%,19.49%,7/25,-,"1,540세대","1,278",262,17.01%,재개발(주택정비형),서남권,관리처분계획인가,2019.10.23,2025.05.31,서울특별시 재정비촉진과,2133-7199,동작구 도시정비1과,820-9805
舊 신당10,정비사업,신속통합기획,중구,"64,166.5 ㎡",신당동 236-100 일대,-,-,,,,,,,,,신속통합기획,도심권,기획완료,2022.08.09,2025.05.31,서울특별시 신속통합기획과,2133-1694,중구 도심정비과,3396-5722
개포우성4차,정비사업,재건축(공동),강남구,"46,064.9 ㎡",도곡동 465,제3종일반,제3종일반,299.99%,25.93%,35층이하,110,"1,080세대",952,128,11.85%,재건축(공동),동남권,조합설립인가,2023.09.22,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6076
개포우성6차,정비사업,재건축(공동),강남구,"20,831 ㎡",개포동 658-1,제2종일반,제2종일반,249.99%,60%,25층이하,78,417세대,395,22,5.28%,재건축(공동),동남권,조합설립인가,2024.04.24,2025.03.31,서울특별시 공동주택과,2133-7142,강남구 재건축사업과,3423-6116
개포우성7차,정비사업,재건축(공동),강남구,"48,984 ㎡",일원동 615,제3종일반,제3종일반,299.99%,50%,35층이하,120,"1,234세대","1,055",179,14.51%,재건축(공동),동남권,조합설립인가,2024.02.02,2025.03.31,서울특별시 공동주택과,2133-7142,강남구 재건축사업과,3423-6076
개포주공5단지,정비사업,재건축(공동),강남구,"56,173.4 ㎡",개포동 187,제3종일반,제3종일반,299.89%,22.78%,4/35,112,"1,279세대","1,134",145,11.34%,재건축(공동),동남권,사업시행인가,2023.10.12,2025.03.31,서울특별시 공동주택과,2133-7142,강남구 재건축사업과,3423-6117
"개포주공6,7단지",정비사업,재건축(공동),강남구,"116,684.1 ㎡",개포동 185,제3종일반,제3종일반,299.98%,21%,5/35,115,"2,698세대","2,353",345,12.79%,재건축(공동),동남권,사업시행인가,2024.11.06,2025.03.31,서울특별시 공동주택과,2133-7142,강남구 재건축사업과,3423-6116
논현동현,정비사업,재건축(공동),강남구,"35,534.9 ㎡",논현동 105,제3종일반,제3종일반,299.97%,50%,3/35,112,905세대,779,126,13.92%,재건축(공동),동남권,구역지정,2023.10.19,2025.03.31,서울특별시 공동주택과,2133-7142,강남구 재건축사업과,3423-6073
대치쌍용1차,정비사업,재건축(공동),강남구,"43,569 ㎡",대치동 66,제3종일반,제3종일반,299.99%,16.96%,3/35,110,"1,072세대",940,132,12.31%,재건축(공동),동남권,사업시행인가,2018.10.12,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6092
대치쌍용2차(통합재건축),정비사업,재건축(공동),강남구,"22,351.81 ㎡",대치동 65,제3종일반,제3종일반,299.05%,20.74%,3/35,111,560세대,490,70,12.5%,재건축(공동),동남권,사업시행인가,2017.09.12,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6092
대치우성1차(통합재건축),정비사업,재건축(공동),강남구,"25,456 ㎡",대치동 63,제3종일반,제3종일반,299.99%,17.5%,4/35,110,712세대,626,86,12.08%,재건축(공동),동남권,사업시행인가,2022.09.08,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6092
도곡개포한신,정비사업,재건축(공동),강남구,"36,473 ㎡",도곡동 464,제3종일반,제3종일반,262.43%,18.03%,3/35,99.9,816세대,705,111,13.6%,재건축(공동),동남권,사업시행인가,2022.12.28,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6093
도곡삼익,정비사업,재건축(공동),강남구,"16,377 ㎡",도곡동 869,제3종일반,제3종일반,299.99%,19.83%,3/30,96,369세대,318,51,13.82%,재건축(공동),동남권,추진위구성,2003.12.29,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6116
도곡삼호,정비사업,재건축(공동),강남구,"11,042 ㎡",도곡동 540,제3종일반,제3종일반,299.85%,24.72%,3/18,51.6,308세대,260,48,15.58%,재건축(공동),동남권,착공,2024.02.06,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6116
도곡우성,정비사업,재건축(공동),강남구,"8,368 ㎡",도곡동 934-10,제3종일반,제3종일반,299.59%,50%,5/26,80,548세대,460,88,16.06%,재건축(공동),동남권,조합설립인가,2025.03.31,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6073
목동6단지,정비사업,재건축(공동),양천구,"94,634.5 ㎡",목동 911,"제1종,제2종(7층),제3종일반","제1종,제2종(7층),제3종일반",299.87%,30%,49층이하,150,"2,173세대","1,900",273,12.56%,재건축(공동),서남권,구역지정,2024.08.16,2025.03.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3459
"미성,크로바아파트",정비사업,재건축(공동),송파구,"75,684 ㎡",신천동 17-6,"제1종,제3종일반","제1종,제3종일반",299.87%,22.86%,4/35,120,"1,865세대","1,667",198,10.62%,재건축(공동),동남권,착공,2022.01.27,2025.03.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
반포주공1단지(124주구),정비사업,재건축(공동),서초구,"370,484 ㎡",반포동 810 일원,"제1종,제2종(7층),제3종일반,자연녹지","제1종,제2종(7층),제3종일반,자연녹지",294.29%,23.95%,5/35,109.95,"5,007세대","4,794",213,4.25%,재건축(공동),동남권,착공,2024.03.29,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2133-7305
삼익그린2차,정비사업,재건축(공동),강동구,"126,870 ㎡",명일동 15,제3종일반,제3종일반,-,-,-,-,"2,400세대","2,400",-,-,재건축(공동),동남권,조합설립인가,2021.07.05,2025.03.31,서울특별시 공동주택과,2133-7299,강동구 재건축재개발과,3425-5983
삼익맨션,정비사업,재건축(공동),강동구,"49,502 ㎡",명일동 270,제3종일반,제3종일반,-,-,-,-,"1,169세대","1,014",155,13.26%,재건축(공동),동남권,조합설립인가,2021.07.12,2025.03.31,서울특별시 공동주택과,2133-7299,강동구 재건축재개발과,3425-5983
삼익파크,정비사업,재건축(공동),강동구,"55,945 ㎡",길동 54,제3종일반,제3종일반,296.17%,19.28%,4/35,103,"1,384세대","1,238",146,10.55%,재건축(공동),동남권,사업시행인가,2025.03.24,2025.03.31,서울특별시 공동주택과,2133-7299,강동구 재건축재개발과,3425-5983
상계주공5단지,정비사업,재건축(공동),노원구,"33,854.6 ㎡",상계동 721,"제2종(7층),제3종일반","제2종(7층),제3종일반",-,-,-,-,996세대,844,152,15.26%,재건축(공동),동북권,사업시행인가,2024.08.29,2025.03.31,서울특별시 신속통합기획과,2133-1693,노원구 재건축사업과,2116-3907
신동아아파트,정비사업,재건축(공동),용산구,"113,571 ㎡",서빙고동 241-21,제3종일반,제3종일반,-,-,-,-,"1,326세대","1,326",-,-,재건축(공동),도심권,조합설립인가,2021.01.07,2025.03.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7366
신반포12차,정비사업,재건축(공동),서초구,"17,712.2 ㎡",잠원동 50-5,제3종일반,제3종일반,299.85%,18.73%,3/35,104.15,432세대,387,45,10.42%,재건축(공동),동남권,사업시행인가,2024.06.04,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7395
신반포16차,정비사업,재건축(공동),서초구,"12,977.2 ㎡",잠원동 55-11,제3종일반,제3종일반,289.36%,24.57%,5/34,110.95,468세대,400,68,14.53%,재건축(공동),동남권,사업시행인가,2023.11.02,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7395
신반포18차(337동),정비사업,재건축(공동),서초구,"5,917.7 ㎡",잠원동 49-17,제3종일반,제3종일반,246.23%,16.73%,3/30,93.3,178세대,178,-,-,재건축(공동),동남권,착공,2023.01.09,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7341
신반포19차·25차,정비사업,재건축(공동),서초구,"26,937.2 ㎡",잠원동 61-2,제3종일반,제3종일반,300%,50%,35층이하,112,609세대,543,66,10.84%,재건축(공동),동남권,조합설립인가,2022.03.07,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7395
신반포20차,정비사업,재건축(공동),서초구,"9,593 ㎡",잠원동 60-78,제3종일반,제3종일반,-,-,-,-,195세대,195,-,-,재건축(공동),동남권,조합설립인가,2017.06.27,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7330
신반포21차,정비사업,재건축(공동),서초구,"8,785.9 ㎡",잠원동 59-10,제3종일반,제3종일반,298.75%,28.88%,4/20,60.7,251세대,209,42,16.73%,재건축(공동),동남권,착공,2022.03.29,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7345
신반포22차,정비사업,재건축(공동),서초구,"9,168.8 ㎡",잠원동 65-33,제3종일반,제3종일반,269.81%,17.52%,3/35,105.5,160세대,160,-,-,재건축(공동),동남권,착공,2024.04.24,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7330
신반포27차,정비사업,재건축(공동),서초구,"5,764.9 ㎡",잠원동 56-2,제3종일반,제3종일반,293.62%,19.98%,5/28,83.24,210세대,177,33,15.71%,재건축(공동),동남권,사업시행인가,2023.01.12,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7341
신반포2차,정비사업,재건축(공동),서초구,"116,070 ㎡",잠원동 73,"제1종,제3종일반","제1종,제3종일반",300%,50%,49층이하,170,"2,057세대","1,797",260,12.64%,재건축(공동),동남권,조합설립인가,2020.11.16,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7364
신반포4지구,정비사업,재건축(공동),서초구,"158,555 ㎡",잠원동 60 일원,제3종일반,제3종일반,299.99%,19.04%,4/35,111.3,"3,307세대","3,112",195,5.9%,재건축(공동),동남권,착공,2021.10.28,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7345
신반포4차,정비사업,재건축(공동),서초구,"92,921 ㎡",잠원동 70,"제1종,제3종일반","제1종,제3종일반",299.98%,50%,49층이하,170,"1,828세대","1,543",285,15.59%,재건축(공동),동남권,조합설립인가,2019.12.31,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7345
신반포7차,정비사업,재건축(공동),서초구,"35,010.4 ㎡",잠원동 65-32,제3종일반,제3종일반,-,-,-,-,"1,030세대","1,030",-,-,재건축(공동),동남권,조합설립인가,2015.05.08,2025.03.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7395
신안빌라,정비사업,재건축(공동),강서구,"17,451 ㎡",,,,,,,,,,,,재건축(공동),,조합설립인가,,2025.03.31,,,,
압구정 특별계획구역1,정비사업,재건축(공동),강남구,"66,247.1 ㎡",압구정동414,"제1종,제2종(7층),제2종,제3종일반,자연녹지","제1종,제2종(7층),제2종,제3종일반,자연녹지",-,-,-,-,-세대,-,-,-,재건축(공동),동남권,추진위구성,2020.11.06,2025.03.31,서울특별시 공동주택과,2133-7137,강남구 재건축사업과,3423-6063
압구정 특별계획구역2,정비사업,재건축(공동),강남구,"156,433.7 ㎡",압구정동434,제3종일반,제3종일반,-,-,65층이하,-,"2,571세대","2,250",321,12%,재건축(공동),동남권,조합설립인가,2021.04.12,2025.03.31,서울특별시 공동주택과,2133-7137,강남구 재건축사업과,3423-6063
압구정 특별계획구역3,정비사업,재건축(공동),강남구,"360,187.8 ㎡",압구정동369-1,제3종일반,제3종일반,299.99%,-,65층이하,-,"5,175세대","4,525",650,12%,재건축(공동),동남권,조합설립인가,2021.04.19,2025.03.31,서울특별시 공동주택과,2133-7137,강남구 재건축사업과,3423-6063
압구정 특별계획구역4,정비사업,재건축(공동),강남구,"108,050.3 ㎡",압구정동 481,제3종일반,제3종일반,299.98%,-,65층이하,-,"1,724세대","1,519",205,12%,재건축(공동),동남권,조합설립인가,2021.02.10,2025.03.31,서울특별시 공동주택과,2133-7137,강남구 재건축사업과,3423-6063
압구정 특별계획구역5,정비사업,재건축(공동),강남구,"65,736.1 ㎡",압구정동 490,제3종일반,제3종일반,299.99%,-,69층이하,-,"1,401세대","1,261",140,10%,재건축(공동),동남권,조합설립인가,2021.02.22,2025.03.31,서울특별시 공동주택과,2133-7137,강남구 재건축사업과,3423-6063
여의도공작아파트,정비사업,재건축(공동),영등포구,"16,929 ㎡",여의도동 21-2,일반상업,일반상업,490%,60%,50층이하,200,582세대,497,85,14.6%,재건축(공동),서남권,조합설립인가,2023.02.23,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3558
여의도광장아파트 28번지,정비사업,재건축(공동),영등포구,"43,042 ㎡",여의도동 28,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),서남권,조합설립인가,2019.06.05,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3543
여의도광장아파트 38-1번지,정비사업,재건축(공동),영등포구,"10,167 ㎡",여의도동 38-1,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),서남권,조합설립인가,2024.08.06,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3558
여의도대교아파트,정비사업,재건축(공동),영등포구,"31,699 ㎡",여의도동 41,제3종일반,준주거,469.99%,60%,-,200,912세대,768,144,15.79%,재건축(공동),서남권,조합설립인가,2024.02.06,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도목화아파트,정비사업,재건축(공동),영등포구,"11,334 ㎡",여의도동 30,제3종일반,일반상업,600%,60%,60층이하,200,423세대,347,76,17.97%,재건축(공동),서남권,조합설립인가,2022.09.29,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도미성아파트,정비사업,재건축(공동),영등포구,"40,882 ㎡",여의도동 37,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),서남권,추진위구성,2009.09.16,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3543
여의도삼부아파트,정비사업,재건축(공동),영등포구,"62,634 ㎡",여의도동 30-2,제3종일반,일반상업,-,-,-,-,-세대,-,-,-,재건축(공동),서남권,추진위구성,2020.08.04,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3572
여의도삼익아파트,정비사업,재건축(공동),영등포구,"18,565 ㎡",여의도동 51,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),서남권,조합설립인가,2023.11.02,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
여의도은하아파트,정비사업,재건축(공동),영등포구,"18,565 ㎡",여의도동 52,제3종일반,제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),서남권,조합설립인가,2023.11.30,2025.03.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3583
"역삼동(758,은하수,760)",정비사업,재건축(공동),강남구,"12,263.1 ㎡",역삼동 758,제3종일반,제3종일반,242.98%,26.08%,3/15,43.3,233세대,233,-,-,재건축(공동),동남권,관리처분계획인가,2022.10.31,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6073
왕궁아파트,정비사업,재건축(공동),용산구,"17,621.5 ㎡",이촌동 300-11,제3종일반,제3종일반,249.43%,50%,49층이하,180,318세대,250,68,21.38%,재건축(공동),도심권,조합설립인가,2008.12.09,2025.03.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7363
은마아파트,정비사업,재건축(공동),강남구,"243,552.6 ㎡",대치동 316,제3종일반,제3종일반,299.99%,17.98%,35층이하,118,"5,778세대","5,100",678,12%,재건축(공동),동남권,조합설립인가,2023.09.26,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6092
일원개포한신,정비사업,재건축(공동),강남구,"20,876 ㎡",일원동 615-1,제3종일반,제3종일반,299.78%,21.25%,3/35,104.2,498세대,432,66,13.25%,재건축(공동),동남권,관리처분계획인가,2023.11.10,2025.03.31,서울특별시 공동주택과,2133-7142,강남구 재건축사업과,3423-6076
잠실5단지,정비사업,재건축(공동),송파구,"266,404 ㎡",잠실동 27,"제1종,제2종(7층),제3종일반,준주거,자연녹지","제1종,제2종(7층),제3종일반,준주거,자연녹지",400%,60%,5/50,170,"6,491세대","5,680",811,12.49%,재건축(공동),동남권,조합설립인가,2013.12.19,2025.03.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
장미1~3차,정비사업,재건축(공동),송파구,"343,266 ㎡",신천동 7,"제1종,제3종일반",제3종일반,-,-,-,-,-세대,-,-,-,재건축(공동),동남권,조합설립인가,2020.03.24,2025.03.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
천호우성아파트,정비사업,재건축(공동),강동구,"28,323.5 ㎡",천호동 19-1,"제2종,제3종일반","제2종,제3종일반",232.55%,30.14%,4/15,43.31,629세대,629,-,-,재건축(공동),동남권,사업시행인가,2024.06.04,2025.03.31,서울특별시 공동주택과,2133-7299,강동구 재건축재개발과,3425-5984
청담삼익아파트,정비사업,재건축(공동),강남구,"51,098 ㎡",청담동 134-18,"제1종,제3종일반","제1종,제3종일반",299.31%,17.74%,4/35,111.09,"1,261세대","1,117",144,11.42%,재건축(공동),동남권,착공,2021.06.25,2025.03.31,서울특별시 공동주택과,2133-7139,강남구 재건축사업과,3423-6073
한강맨션,정비사업,재건축(공동),용산구,"84,096 ㎡",이촌동 300-153,제3종일반,"제2종,제3종일반,자연녹지",255.15%,20.45%,3/35,106,"1,441세대","1,303",138,9.58%,재건축(공동),도심권,관리처분계획인가,2022.12.02,2025.03.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7364
한강삼익,정비사업,재건축(공동),용산구,"17,191.1 ㎡",이촌동 300-301,"제2종(7층),제3종일반","제2종(7층),제3종일반",259.76%,18.87%,3/30,94.2,329세대,277,52,15.81%,재건축(공동),도심권,사업시행인가,2020.06.05,2025.03.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7365
