사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고,위치도,조감도,배치도,조합사무실 주소,조합사무실 전화번호,진행단계_구간
11740-900001290,강동구,천호동,재개발(주택정비형),조합,천호 A1-1구역 공공재개발 정비사업 주민대표회의,천호동 467-61,조합설립인가,운영,216,천호 A1-1구역 공공재개발 정비사업,강동구 천호동 467-61,26548.97,,제3종일반주거지역,,26548.97,5389.25,0.0,0.0,0.0,0.0,21159.72,공동주택 및 부대복리시설,50.0,359.94,125.0,40.0,,480,189.0,213.0,78.0,267,40.0,,227.0,,/servlet/image?url=images/assc/2025/03/202503121522181741760538457.png,/servlet/image?url=images/assc/2025/04/202504040949361743727776091.png,/servlet/image?url=images/assc/2025/04/202504040949361743727776481.png,"서울특별시 강동구 구천면로 153, 용강빌딩 401호 (천호동)",02-474-4230,정비구역지정~조합설립
11290-900001296,성북구,하월곡동,재개발(주택정비형),공공지원자,하월곡1구역 주택정비형 재개발사업,하월곡동 70-1,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,정비구역지정~조합설립
11110-100002000,종로구,신영동,재개발(주택정비형),조합,신영제1구역 주택재개발정비사업조합,신영동 158-2,철거신고,운영,56,신영제1구역 주택재개발정비사업,종로구 신영동 158-2번지,15589.3,35566.19,제2종일반주거지역,자연경관지구,13252.6,1601.1,,,,,735.6,공동주택,37.06,151.5,22.0,7.0,3.0,199,41.0,123.0,35.0,0,,,,,/servlet/image/assc/201003101141151268188875576.jpg,/servlet/image/assc/2023/07/202307241353051690174385645.jpg,/servlet/image?url=images/assc/2022/03/202203161001481647392508301.jpg,서울특별시 종로구 자하문로42길 29 (신영동),02-395-0045,관리처분인가~이전고시
11140-100002005,중구,신당동,재개발(주택정비형),조합,신당제8구역 재개발정비사업조합,신당동 321-1,관리처분인가,운영,544,신당제8구역주택재개발 정비사업,중구 신당동 321번지 일대,58651.3,189092.58,2종일반주거지역,,45184.0,7992.0,3699.3,,,470.0,1306.0,공동주택(아파트)/및 부대복리시설,17.68,244.17,84.0,28.0,4.0,1030,513.0,449.0,68.0,183,90.0,80.0,13.0,,/servlet/image?url=images/assc/2018/04/201804121354301523508870409.jpg,/servlet/image/assc/2019/06/201906270026031561562763974.jpg,/servlet/image?url=images/assc/2024/05/202405101504191715321059096.jpg,"서울특별시 중구 다산로22길 26, 3층 (신당동)",02-2231-9559,사업시행인가~관리처분인가
11230-100003002,동대문구,청량리동,재개발(주택정비형),조합,청량리제6구역주택재개발정비사업조합,청량리동 205,사업시행인가,운영,688,청량리제6주택재개발정비구역,동대문구 청량리동 205번지 일대,83883.1,227419.52,제2종일반주거지역(12층이하),,63056.3,14800.8,4200.0,,,,700.0,공동주택 및 부대복리시설,25.0,234.0,72.0,16.0,,1242,543.0,612.0,87.0,255,78.0,,177.0,,/servlet/image?url=images/assc/2021/09/202109081632161631086336722.png,/servlet/image/assc/2024/11/202411221107111732241231953.jpg,/servlet/image/assc/2024/11/202411221109151732241355188.jpg,"서울특별시 동대문구 홍릉로 87, 3층 (스피트메이트 건물) (청량리동)",02-3295-2277,사업시행인가~관리처분인가
11230-100006043,동대문구,이문동,재개발(주택정비형),조합,이문1재정비촉진구역 주택재개발정비사업조합,이문동 257-42,일반분양승인,운영,1759,이문1재정비촉진구역,동대문구 이문동 257-42번지,144856.0,458412.65,제2종 및 제3종 일반주거지역 일반상업지역,재정비촉진지구,115829.0,17621.0,9228.0,0.0,0.0,0.0,2178.0,공동주택,30.0,247.6,75.0,27.0,5.0,2528,1235.0,1185.0,108.0,541,236.0,249.0,56.0,,/servlet/image?url=images/assc/2015/12/201512281459311451282371597.jpg,/servlet/image?url=images/assc/2021/09/202109011300231630468823283.jpg,/servlet/image?url=images/assc/2021/09/202109011301051630468865355.jpg,301호,02-960-2788,관리처분인가~이전고시
11230-100006045,동대문구,휘경동,재개발(주택정비형),조합,휘경3재정비촉진구역 주택재개발정비사업조합,휘경동 172,일반분양승인,운영,603,휘경3재정비촉진구역 주택재개발정비사업조합,동대문구 휘경동 172번지,65338.0,195963.42,제3종일반주거지역,재정비촉진지구,41652.0,9316.0,3195.0,6310.0,1480.0,,3385.0,공동주택 및 부대복리시설,18.45,29.96,118.0,35.0,3.0,1785,397.0,1387.0,1.0,314,87.0,70.0,157.0,,/servlet/image/assc/2011/10/201110131004401318467880981.bmp,/servlet/image?url=images/assc/2016/10/201610041201351475550095821.jpg,/servlet/image?url=images/assc/2016/10/201610041201381475550098194.jpg,거부빌딩 6층,02-2245-7223,관리처분인가~이전고시
11230-100007000,동대문구,전농동,재개발(주택정비형),조합,전농8구역주택재개발정비사업조합,전농동 204,조합설립인가,운영,633,전농8구역주택재개발정비사업조합,동대문구 전농동 204번지,93697.0,289080.73,전농답십리뉴타운 개발구역,,72231.5,10884.0,6830.1,0.0,,0.0,3743.4,주택재개발사업,25.45,249.99,130.0,32.0,4.0,1398,611.0,660.0,127.0,352,77.0,106.0,169.0,,/servlet/image?url=images/assc/2024/08/202408231010461724375446811.jpg,/servlet/image?url=images/assc/2024/08/202408230951401724374300437.jpg,/servlet/image?url=images/assc/2024/08/202408230951421724374302714.jpg,"서울특별시 동대문구 전농로17길 55, 3층 (전농동)",02-2212-0247,정비구역지정~조합설립
11230-900000092,동대문구,전농동,재개발(주택정비형),조합,전농제12구역 재개발정비사업조합,전농동 643,조합설립인가,운영,146,전농12주택재개발정비구역,동대문구 전농동 643번지,16237.0,53075.09,제3종일반주거지역,,13791.7,834.1,815.0,,,,796.2,공동주택,50.0,2.4,,,30.0,246,53.0,143.0,50.0,51,22.0,21.0,8.0,,/servlet/image?url=images/assc/2020/02/202002131707391581581259077.jpg,/servlet/image/assc/2011/03/201103091753311299660811607.jpg,/servlet/image/assc/2011/03/201103091753311299660811919.jpg,"서울특별시 동대문구 답십리로 48-6, 1층 (전농동)",02-2215-2213,정비구역지정~조합설립
11140-900000749,중구,신당동,재개발(주택정비형),조합,신당10구역주택재개발정비사업조합,신당동 236-100,조합설립인가,운영,765,신당제10구역주택재개발정비사업,중구 신당동 236-100,6389.34,230468.45,제2종제3종 일반주거지역 일반상업지역,,47795.1,9989.9,6108.4,,,,,공동주택 및 부대복리시설,28.1,299.8,175.0,35.0,3.0,1107,508.0,429.0,170.0,316,52.0,77.0,187.0,,/servlet/image?url=images/assc/2023/09/202309121439531694497193121.jpg,/servlet/image?url=images/assc/2023/09/202309121538571694500737627.jpg,/servlet/image?url=images/assc/2024/05/202405131117281715566648249.png,"서울특별시 중구 퇴계로76길 66, 2층 (신당동)",02-2256-7435,정비구역지정~조합설립
11620-900000626,관악구,신림동,재개발(주택정비형),조합,신림1재정비촉진구역 재개발정비사업조합,신림동 808-,사업시행인가,운영,1460,신림1재정비촉진구역 주택재개발정비사업,관악구 신림동 808-495,223168.7,739412.15,일반주거지역 준주거 자연녹지 등,,176229.6,22507.6,12560.0,,,,11871.5,공동주택 등,22.21,259.68,,29.0,5.0,3554,821.0,1987.0,746.0,631,413.0,,218.0,,/servlet/image?url=images/assc/2022/04/202204271624001651044240296.png,/servlet/image?url=images/assc/2024/06/202406051143151717555395738.jpg,/servlet/image?url=images/assc/2024/06/202406051143201717555400211.jpg,,02-874-5040,사업시행인가~관리처분인가
11290-100007003,성북구,보문동,재개발(주택정비형),조합,보문제5구역 주택재개발정비사업조합,보문동1가 196-11,착공신고,운영,156,보문제5구역 주택재개발정비사업,성북구 보문동1가 196-11번지,10798.5,65273.1,준주거지역,,,,,,,,,아파트 및 판매시설,55.62,292.67,,26.0,5.0,186,,149.0,37.0,0,,,,,/servlet/image/assc/2010/12/201012081200151291777215752.jpg,/servlet/image/assc/2010/12/201012081151491291776709016.jpg,/servlet/image/assc/2010/12/201012081151531291776713344.jpg,"서울특별시 성북구 보문로 121, 2층 (보문동2가)",02-921-6483,관리처분인가~이전고시
11290-100009002,성북구,삼선동,재개발(주택정비형),조합,삼선제5구역 주택재개발정비사업조합,삼선동2가 296,일반분양승인,운영,419,삼선제5주택재개발정비사업,성북구 삼선동2가 296번지 ,63918.5,174294.29,제2종일반주거지역,,48086.8,9861.1,3670.0,,,2300.6,49139.4,공동주택및복리시설,25.87,230.29,51.0,18.0,4.0,1015,731.0,284.0,,208,119.0,89.0,,,/servlet/image/assc/2011/12/201112201236391324352199327.jpg,/servlet/image/assc/2018/04/201804251539471524638387351.jpg,/servlet/image/assc/2021/02/202102161516181613456178995.jpg,한진스포츠센타 5402호,02-3673-3359,관리처분인가~이전고시
11290-100016004,성북구,장위동,재개발(주택정비형),조합,장위14구역 주택재개발정비사업조합,장위동 233-552,조합설립인가,운영,1427,장위14구역 주택재개발정비사업조합,성북구 장위동 233-552번지,145174.6,392654.68,제1종 제2종 일반주거지역,재정비촉진지구,106512.0,21359.0,7442.3,0.0,1212.0,0.0,10104.6,공동주택 및 부대복리시설,21.58,211.59,71.0,25.0,7.0,2000,767.0,1139.0,94.0,439,189.0,203.0,47.0,,/servlet/image?url=images/assc/2023/05/202305101312341683691954232.png,/servlet/image?url=images/assc/2023/05/202305091128381683599318534.png,/servlet/image?url=images/assc/2023/05/202305091128381683599318720.png,"서울특별시 성북구 돌곶이로 151, 4층 (장위동)",02-915-0647,정비구역지정~조합설립
11170-900000100,용산구,한남동,재개발(주택정비형),조합,한남 제3재정비촉진구역 주택재개발정비사업 조합,한남동 686,관리처분인가,운영,3887,한남 제3재정비촉진구역,용산구 한남동 686-0,393729.0,,"제1종일반주거지역,제2종일반주거지역(7층),제3종일반주거지역,준주거지역",,109455.0,39299.0,46506.0,9946.0,1125.0,8753.0,3826.0,주상복합 및 공동주택,60.0,235.0,95.0,29.0,,4778,2005.0,1834.0,939.0,979,402.0,402.0,175.0,,/servlet/image/assc/2010/08/201008201654501282290890259.jpg,/servlet/image/assc/2019/04/201904181351531555563113241.jpg,/servlet/image/assc/2019/04/201904181353441555563224727.jpg,301호,02-795-7677,사업시행인가~관리처분인가
11170-900000102,용산구,동빙고동,재개발(주택정비형),조합,한남5재정비촉진구역 주택재개발정비사업 조합,동빙고동 60,조합설립인가,운영,1562,한남 제5재정비촉진구역,용산구 동빙고동 60-0,183707.0,,제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역,,54409.0,17632.0,1913.0,20038.0,9860.0,3176.0,1790.0,주상복합 및 공동주택,60.0,223.0,170.0,50.0,,1956,569.0,565.0,822.0,403,170.0,168.0,65.0,,/servlet/image/assc/2012/10/201210161120411350354041715.jpg,/servlet/image?url=images/assc/2022/04/202204261519371650953977110.png,/servlet/image?url=images/assc/2022/04/202204261519401650953980183.jpg,"서울특별시 용산구 장문로 14, 우성빌딩 2층 (동빙고동)",02-749-8189,정비구역지정~조합설립
11545-900001310,금천구,가산동,재개발(주택정비형),조합,서울시 테스트 조합,가산동 123-1233,조합설립인가,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,정비구역지정~조합설립
11260-100003045,중랑구,중화동,재개발(주택정비형),조합,중화1재정비촉진구역 주택재개발정비사업 조합,중화동 331-64,일반분양승인,운영,412,중화1재정비촉진구역,중랑구 중화동 331-1번지,44725.5,146109.23,도시지역 제23종일반주거지역,일반미관지구,32561.3,3268.9,4556.0,3020.7,1199.5,,119.1,공동주택(아파트)및 부대복리시설,20.6,299.95,100.0,35.0,2.0,835,376.0,421.0,38.0,220,87.0,69.0,64.0,부분임대포함,/servlet/image?url=images/assc/2022/10/202210131004121665623052866.png,/servlet/image/assc/2018/05/201805141625571526282757613.jpg,/servlet/image/assc/2018/05/201805141629231526282963716.jpg,"서울특별시 중랑구 동일로 823, 4층,(논밭빌딩) (중화동)",02-433-1573,관리처분인가~이전고시
11290-100016013,성북구,장위동,재개발(주택정비형),추진위원회,장위3구역 주택재개발정비사업 조합,장위동 350,조합설립추진위원회승인,운영,392,장위3구역주택재개발정비사업조합,성북구 장위동 305일대,66011.0,159270.59,서울시 성북구 장위동 305번지 일대,제2종 일반주거지역,52651.0,4009.0,8321.0,0.0,10.0,0.0,0.0,2종일반주거지역,14.44,229.94,88.0,29.0,2.0,473,32.0,432.0,9.0,184,84.0,79.0,21.0,건축면적은 전용면적으로 대치,/servlet/image/assc/2010/08/201008311051101283219470171.bmp,/servlet/image?url=images/assc/2020/02/202002241457281582523848344.png,/servlet/image/assc/2010/04/201004291645491272527149133.png,,02-909-4213,정비구역지정~조합설립
11230-100003008,동대문구,신설동,재개발(주택정비형),조합,신설제1구역 공공재개발정비사업 ,신설동 92-5,사업시행인가,운영,94,신설제1구역 공공재개발 정비사업 주민대표회의,동대문구 신설동 92-5 ,11204.15,45794.47,제2종 일반주거지역,제2종 일반주거지역,10124.8,845.05,0.0,0.0,0.0,0.0,234.3,공동주택/근린생활시설/부대시설,29.64,298.81,72.0,24.0,2.0,189,69.0,96.0,24.0,110,14.0,1.0,95.0,0,/servlet/image?url=images/assc/2023/04/202304121021431681262503612.jpg,/servlet/image/assc/2025/05/202505021123141746152594456.jpg,/servlet/image/assc/2025/05/202505021421001746163260095.jpg,"서울특별시 동대문구 하정로5길 5, 미영빌딩 2층 (신설동)",02-921-6058,사업시행인가~관리처분인가
11230-100009002,동대문구,청량리동,재개발(주택정비형),조합,청량리제8구역 주택재개발정비사업조합,청량리동 435,사업시행인가,운영,279,청량리제8구역 주택재개발정비사업조합,동대문구 청량리동 435번지,29001.0,90086.06,제3종 일반주거지역,,23136.8,2430.9,2119.5,,,,1313.8,공동주택 및 부대복리시설,15.99,246.98,70.0,24.0,3.0,460,148.0,264.0,48.0,150,46.0,51.0,53.0,,/servlet/image/assc/2013/12/201312231439421387777182459.jpg,/servlet/image/assc/2024/07/202407191026541721352414536.jpg,/servlet/image/assc/2024/07/202407191024171721352257739.jpg,"서울특별시 동대문구 약령시로19길 21, 1층 (청량리동)",02-965-0464,사업시행인가~관리처분인가
11290-100007001,성북구,보문동,재개발(주택정비형),조합,보문제2구역 주택재개발정비사업조합,보문동1가 60-28,준공인가,운영,237,보문제2구역 주택재개발정비사업 ,성북구26길 13-9(보문동1가),17837.0,61497.89,도시지역,제2종일반주거지역,15026.0,1790.0,1021.0,,,,,일반주거,24.35,246.57,65.0,18.0,2.0,395,327.0,68.0,,70,70.0,,,,/servlet/image/assc/2011/12/201112191150591324263059674.jpg,/servlet/image/assc/2018/06/201806180944441529282684510.jpg,/servlet/image/assc/2018/06/201806180946391529282799872.jpg,서울특별시 성북구 삼선교로23길 7 (삼선동4가),02-926-3010,관리처분인가~이전고시
11230-100003014,동대문구,청량리동,재개발(주택정비형),조합,청량리제7구역 주택재개발정비사업조합,청량리동 199,착공신고,운영,389,청량리 제7구역 주택재개발 정비사업,동대문구 청량리동 199-0,35273.7,111214.94,제2종 일반주거지역,일반미관지구,26166.3,5896.4,,1742.9,,,1468.1,아파트 및 부대복리시설,24.83,240.44,53.0,18.0,6.0,627,528.0,99.0,,134,50.0,68.0,16.0,,/servlet/image?url=images/assc/2024/08/202408251845061724579106829.bmp,/servlet/image/assc/2018/08/201808211042331534815753441.jpg,/servlet/image/assc/2018/08/201808211043101534815790478.jpg,3층,02-3295-5764,관리처분인가~이전고시
11290-100011002,성북구,동선동,재개발(주택정비형),조합,동선제2구역 주택재개발정비사업조합,동선동4가 304-2,관리처분인가,운영,166,동선2구역주택재개발정비사업,동선동 304-2,15608.2,49120.83,제2종일반주거지역 / 일반상업지역,,,2154.9,,,708.7,,,아파트,24.57,23.33,53.0,19.0,3.0,277,130.0,147.0,,57,25.0,24.0,8.0,,/servlet/image?url=images/assc/2024/08/202408131618131723533493926.png,/servlet/image/assc/2014/12/201412111530481418279448365.jpg,/servlet/image?url=images/assc/2024/09/202409061348371725598117710.jpg,서울특별시 성북구 아리랑로4가길 5 (동선동5가),02-924-6584,사업시행인가~관리처분인가
11590-100002005,동작구,흑석동,재개발(주택정비형),조합,흑석9재정비촉진구역 조합,흑석동 90,착공신고,운영,759,흑석9재정비촉진구역,동작구 흑석동 90번지,94579.2,187957.58,일반주거지역,,743.04,63.73,153.68,,5.27,,,공동주택,19.0,235.0,,,,1255,267.0,748.0,240.0,215,90.0,90.0,35.0,,/servlet/image/assc/2010/05/201005271155381274928938893.jpg,/servlet/image/assc/2018/04/201804201438241524202704399.jpg,/servlet/image/assc/2018/04/201804201442401524202960957.jpg,"서울특별시 동작구 흑석한강로 27, 상가A동 B202호 (흑석동, 흑석한강푸르지오)",02-825-7516,관리처분인가~이전고시
11305-100005001,강북구,미아동,재개발(주택정비형),조합,미아제11구역 재개발정비사업조합,미아동 791-108,조합설립인가,운영,412,미아제11구역 주택재개발정비사업,강북구 미아동 791-108,35891.0,106076.78,제2종 일반주거지역,,,4340.0,1935.0,,,,,공동주택 및 부대복리시설,26.95,242.98,,26.0,3.0,495,,,495.0,103,,,103.0,,/servlet/image?url=images/assc/2022/05/202205240936111653352571317.jpg,/servlet/image?url=images/assc/2022/05/202205240936111653352571955.jpg,/servlet/image?url=images/assc/2022/05/202205240936141653352574091.jpg,3층 302호,02-989-7979,정비구역지정~조합설립
11350-100002014,노원구,상계동,재개발(주택정비형),조합,상계1재정비촉진구역 주택재개발정비사업 조합,상계동 -,사업시행인가,운영,305,상계1재정비촉진구역,자력6구역 8블럭9롯트7블럭57롯트상계동 6-42,86432.5,205097.38,제123종 일반주거지역 자연녹지지역,재정비촉진지구,56945.5,8825.6,18137.0,0.0,531.0,0.0,1993.4,공동주택 및 근린생활시설,17.37,215.54,88.0,25.0,5.0,1098,551.0,547.0,,290,155.0,125.0,10.0,85m2 초과세대 없음.,/servlet/image?url=images/assc/2016/01/201601111022291452475349703.jpg,/servlet/image/assc/2010/11/201011091047121289267232329.bmp,/servlet/image?url=images/assc/2021/06/202106231041011624412461674.png,2층,02-934-2331,사업시행인가~관리처분인가
11350-100002018,노원구,상계동,재개발(주택정비형),조합,상계6재정비촉진구역 주택재개발정비사업 조합,상계동 95-3,준공인가,운영,322,상계6재정비촉진구역,노원구 상계동 95-3번지,65684.9,163563.42,제3종 일반주거지역 준주거지역,재정비촉진지구,35315.0,20396.3,9023.3,0.0,0.0,0.0,950.0,공동주택,20.65,304.99,88.0,29.0,3.0,965,457.0,473.0,35.0,198,93.0,84.0,21.0,,/servlet/image/assc/2011/01/201101041513401294121620941.jpg,/servlet/image/assc/2019/12/201912171604021576566242799.jpg,/servlet/image/assc/2019/12/201912171605101576566310716.jpg,인광빌딩 3층,02-930-1463,관리처분인가~이전고시
11410-100005002,서대문구,영천동,재개발(주택정비형),조합,영천구역주택재개발정비사업조합,영천동 69-20,착공신고,운영,115,영천 주택재개발 정비사업,영천동 69-20번지,11154.2,55400.68,,,6744.9,3077.1,,,1322.2,,,공공주택 및 판매시설,40.56,399.31,76.0,23.0,5.0,199,71.0,126.0,2.0,0,,,,,/servlet/image?url=images/assc/2017/07/201707061404291499317469455.jpg,/servlet/image?url=images/assc/2023/09/202309201416211695186981161.jpg,/servlet/image?url=images/assc/2023/07/202307131012061689210726608.jpg,4층,02-364-4169,관리처분인가~이전고시
11410-100008007,서대문구,북아현동,재개발(주택정비형),조합,북아현 3 재정비촉진구역 주택재개발 정비사업조합,북아현동 3-66,사업시행인가,운영,2536,북아현3 재정비촉진구역 주택재개발 정비사업조합,서대문구 북아현동 3-66번지,263100.0,619750.57,제2종일반주거지역,도시재정비촉진지구,180952.6,33481.6,36611.1,10.0,7476.0,139.0,4444.0,공공주택 및 부대복리시설,16.28,233.15,103.0,35.0,6.0,3015,534.0,1831.0,650.0,618,273.0,265.0,80.0,,/servlet/image/assc/2010/08/201008111105381281492338675.jpg,/servlet/image/assc/2019/09/201909051325211567657521258.jpg,/servlet/image/assc/2019/09/201909051327451567657665102.jpg,2층,02-363-9205,사업시행인가~관리처분인가
11410-100008003,서대문구,북아현동,재개발(주택정비형),조합,북아현 2 재정비촉진구역 주택재개발 정비사업조합,북아현동 520,사업시행인가,운영,1261,북아현2재정비촉진구역,서대문구 북아현동 520번지,120055.8,301044.27,2종일반주거지역준주거,재개발지구,83709.4,12209.2,3919.1,5361.3,241.1,8930.0,2983.0,공동주택(아파트)및부대복리시설,18.28,241.64,103.0,35.0,3.0,1422,150.0,688.0,584.0,292,132.0,124.0,36.0,,/servlet/image/assc/2011/04/201104211327341303360054299.jpg,/servlet/image?url=images/assc/2021/02/202102151520111613370011480.jpg,/servlet/image?url=images/assc/2024/08/202408280952341724806354063.jpg,백상빌딩 305호,02-362-1049,사업시행인가~관리처분인가
11440-900001094,마포구,공덕동,재개발(주택정비형),조합,공덕7구역 주택정비형 재개발사업,공덕동 115-97,조합설립인가,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,정비구역지정~조합설립
11170-900000973,용산구,청파동,재개발(주택정비형),공공지원자,청파제2구역주택재개발정비사업 (신속통합기획),청파동1가 89-18,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,정비구역지정~조합설립
11500-900001004,강서구,방화동,재개발(주택정비형),조합,방화2재정비촉진구역 재개발정비사업,방화동 589-13,조합설립인가,운영,348,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,정비구역지정~조합설립
11200-100002007,성동구,금호동,재개발(주택정비형),조합,금호제16구역주택재개발정비사업조합,금호동2가 501-31,관리처분인가,운영,365,금호제16재개발정비구역,성동구 금호동2가 501-31,27485.0,88619.35,제2종일반주거지역,행정기관 위탁고도 120m지역,22703.0,2077.0,2407.0,180.0,118.0,,,아파트,23.96,236.89,4692.0,16.0,8.0,475,171.0,304.0,,120,120.0,,,,/servlet/image/assc/2011/11/201111241153481322103228405.jpg,/servlet/image?url=images/assc/2021/12/202112301122161640830936089.jpg,/servlet/image?url=images/assc/2021/12/202112301122171640830937886.jpg,2층,02-2254-1131,사업시행인가~관리처분인가
11590-100002004,동작구,흑석동,재개발(주택정비형),조합,흑석1재정비촉진구역 재개발정비사업조합,흑석동 43-7,조합설립인가,운영,210,흑석1재정비촉진구역,동작구 흑석동 43-7번지 ,26675.0,82260.2,제1종일반 제2종일반(7층) 제2종 일반 제3종 일반,,18165.0,6122.0,2388.0,,,,,공동주택및주민공동시설,39.1,294.17,,30.0,2.0,392,202.0,102.0,88.0,82,36.0,36.0,10.0,,/servlet/image?url=images/assc/2020/01/202001021657291577951849730.jpg,/servlet/image?url=images/assc/2020/12/202012151048351607996915679.jpg,/servlet/image?url=images/assc/2020/12/202012151045231607996723900.jpg,"서울특별시 동작구 서달로14길 44, 2층 (흑석동)",02-817-0080,정비구역지정~조합설립
11620-100001000,관악구,봉천동,재개발(주택정비형),추진위원회,봉천 제13구역 주택재개발정비사업 조합설립추진위원회,봉천동 913-1,조합설립추진위원회승인,운영,197,봉천제13구역 공공재개발정비사업,관악구 봉천동 913번지,12272.5,40138.16,제3종일반주거지역,중심미관지구,,,,,,,,아파트 판매시설 근린생활시설,46.04,283.1,67.0,2.0,2.0,192,,34.0,158.0,0,,,,,/servlet/image/assc/2012/09/201209031030181346635818600.jpg,/servlet/image/assc/2012/09/201209031023191346635399598.jpg,/servlet/image/assc/2012/09/201209031024021346635442401.jpg,208호,02-882-4342,정비구역지정~조합설립
11620-100003009,관악구,봉천동,재개발(주택정비형),조합,봉천제4-1-2구역 주택재개발정비사업 조합,봉천동 101,착공신고,운영,715,봉천 제4-1-2구역 주택재개발정비사업조합,관악구 봉천5-9동 산101번지,55512.8,132512.3,제3종 일반주거지역,해당사항없음,33512.6,7547.3,10042.9,,,,6725.7,아파트부대복리시설,23.15,288.08,83.0,28.0,3.0,833,388.0,445.0,,164,67.0,65.0,32.0,,/servlet/image/assc/2010/08/201008161643331281944613588.jpg,/servlet/image/assc/2017/11/201711141019101510622350494.jpg,/servlet/image/assc/2017/11/201711141020431510622443448.jpg,2층,02-888-9141,관리처분인가~이전고시
11620-100004000,관악구,신림동,재개발(주택정비형),조합,신림3재정비촉진구역 주택재개발정비사업조합,신림동 316-55,준공인가,운영,274,신림3재정비촉진구역,관악구 신림동 316-55,35136.4,79157.74,제1종제2종(7층)일반주거지역자연녹지지역,,22463.3,4078.5,7295.3,,,,1299.3,공동주택 및 부대복리시설,23.25,233.7,,17.0,4.0,473,225.0,248.0,,98,42.0,42.0,14.0,,/servlet/image?url=images/assc/2024/06/202406120904351718150675487.jpg,/servlet/image/assc/2019/12/201912181036351576632995283.jpg,/servlet/image/assc/2019/12/201912181100311576634431871.jpg,2층,02-873-8242,관리처분인가~이전고시
