사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고,위치도,조감도,배치도,조합사무실 주소,조합사무실 전화번호,진행단계_구간
11470-900001214,양천구,신월동,재개발(주택정비형),조합,신월7동 2구역 주택정비형 공공재개발사업,신월동 941,조합설립인가,운영,1606,신월7동 2구역 주택정비형 공공재개발사업,양천구 신월동 941-0,98295.17,286767.0, 제1종 일반주거지역 제2종 일반주거지역(7층이하),,73539.55,7814.22,12706.35,,1600.0,2635.05,,공동주택 및 부대복리시설,,249.71,66.0,12.0,2.0,1684,1281.0,403.0,,544,348.0,30.0,166.0,권리자분양 포함,/servlet/image?url=images/assc/2024/07/202407080956431720400203889.jpg,/servlet/image?url=images/assc/2024/07/202407080956441720400204412.jpg,/servlet/image?url=images/assc/2024/07/202407080956441720400204597.jpg,"서울특별시 양천구 지양로7길 2, 2층 (신월동)",02-6085-9595,정비구역지정~조합설립
11305-900000028,강북구,미아동,재개발(주택정비형),조합,미아2재정비촉진구역 주택재개발정비사업 조합,미아동 403,조합설립인가,운영,1582,미아2재정비촉진구역,강북구 미아동 403번지,179566.0,392076.19,제1종 및 제2종 일반주거지역,,152479.0,14806.0,10137.0,,2144.0,23780.0,,아파트,15.95,229.59,99.0,,,2366,1024.0,1082.0,260.0,504,204.0,204.0,96.0,,/servlet/image?url=images/assc/2017/02/201702241657441487923064170.png,/servlet/image/assc/2010/05/201005041802471272963767768.jpg,/servlet/image/assc/2010/05/201005041802481272963768127.jpg,5층 501호,02-981-0431,정비구역지정~조합설립
11410-100003003,서대문구,홍은동,재개발(주택정비형),조합,홍은제13구역 주택재개발정비사업조합,홍은동 11-111,착공신고,운영,385,홍은제13구역 주택재개발정비사업조합,홍은동 11-111번지 일대,36220.0,110158.0,제2종일반주거지역(7층)제3종일반주거지역,주택재개발지역,36220.0,6988.0,2394.0,0.0,367.0,0.0,1253.0,아파트및근린생활시설,29.0,196.0,45.0,15.0,3.0,827,590.0,56.0,181.0,131,64.0,53.0,14.0,,/servlet/image/assc/2011/04/201104261500141303797614068.jpg,/servlet/image?url=images/assc/2024/08/202408131434131723527253850.jpg,/servlet/image?url=images/assc/2024/08/202408131435291723527329409.jpg,"서울특별시 서대문구 포방터길 20, 2층 (홍제동)",02-395-1316,관리처분인가~이전고시
11350-100002015,노원구,상계동,재개발(주택정비형),조합,상계2재정비촉진구역 주택재개발정비사업 조합,상계동 -,사업시행인가,운영,1442,상계2재정비촉진구역 주택재개발 정비사업,노원구 상계동 자력2구역 17블럭 1롯트,100819.4,330946838.67,제123종일반주거지역 자연녹지지역,,74231.8,18027.0,1219.2,5719.5,,,1621.9,공동주택 및 부대복리시설,28.18,246.37,72.0,25.0,8.0,1685,413.0,874.0,398.0,515,264.0,231.0,20.0,,/servlet/image/assc/2010/05/201005181624411274167481866.jpg,/servlet/image/assc/2022/03/202203251118361648174716742.jpg,/servlet/image/assc/2022/04/202204081618281649402308967.jpg,장윤빌딩 201호,02-932-3800,사업시행인가~관리처분인가
11200-900000045,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역 제4지구 주택재개발정비사업조합,성수동2가 219-4,조합설립인가,운영,753,성수전략정비구역 제4지구,성동구 성수동2가 219-4번지,89828.0,217309.08,"제2종(7층이하), 제3종일반주거지역, 자연녹지지역","역사문화미관지구, 일반미관지구",56270.0,18678.0,10584.0,3496.0,,,,공동주택,20.96,314.98,150.0,50.0,,1310,415.0,580.0,315.0,269,98.0,,171.0,,/servlet/image/assc/2011/11/201111181021451321579305564.bmp,/servlet/image/assc/2011/11/201111291740161322556016108.bmp,/servlet/image/assc/2011/11/201111181020341321579234192.bmp,3층,02-462-0804,정비구역지정~조합설립
11380-100001068,은평구,수색동,재개발(주택정비형),조합,수색13재정비촉진구역 주택재개발정비사업 조합,수색동 341-6,일반분양승인,운영,792,수색13재정비촉진구역(주택재개발사업),수색동 341-6번지,69727.0,211065.62,2종(7층 12층)일반주거지역,항공기지구역(비행안전구역),55397.0,6534.0,2256.0,2594.0,,,2946.0,공동주택 및 부대복리시설,21.88,231.86,65.0,20.0,4.0,1402,801.0,353.0,248.0,278,108.0,89.0,81.0,임대 포함,/servlet/image/assc/2011/12/201112071402131323234133382.jpg,/servlet/image?url=images/assc/2016/07/201607191835501468920950006.jpg,/servlet/image?url=images/assc/2016/07/201607191835501468920950587.jpg,3층 (수색13재정비촉진구역 주택재개발정비사업조합 사무실),02-307-0412,관리처분인가~이전고시
11470-100001016,양천구,신정동,재개발(주택정비형),조합,신정2재정비촉진구역2지구 주택재개발정비사업조합,신정동 1150-41,이전고시,운영,195,신정2-2지구 재정비촉진구역,양천구 신정동 1150-41,19599.5,60683.22,제2종 일반주거지역,재정비촉진지구,16249.4,6.3,2690.8,,,,653.0,공동주택,21.31,234.41,,19.0,3.0,336,109.0,227.0,,71,25.0,41.0,5.0,,/servlet/image/assc/2010/07/201007161646181279266378957.jpg,/servlet/image/assc/2017/06/201706130932191497313939131.jpg,/servlet/image/assc/2017/06/201706130933171497313997839.jpg,"서울특별시 양천구 중앙로 251, 코아상가 304호 (신정동)",02-2065-1990,관리처분인가~이전고시
11380-100001045,은평구,대조동,재개발(주택정비형),조합,대조제1구역주택재개발정비사업조합,대조동 88,착공신고,운영,1573,대조제1구역 주택재개발정비사업조합,은평구 대조동 88번지 등 ,111665.3,363149.67,일반주거지역,제2종,92088.1,12220.3,7356.9,,,,,,24.83,243.48,75.0,25.0,4.0,2083,985.0,561.0,537.0,368,171.0,165.0,32.0,,/servlet/image/assc/2010/03/201003291331431269837103126.jpg,/servlet/image?url=images/assc/2023/10/202310111541591697006519952.jpg,/servlet/image?url=images/assc/2023/10/202310121651551697097115117.jpg,9층,02-385-0050,관리처분인가~이전고시
11590-100001000,동작구,노량진동,재개발(주택정비형),조합,노량진3재정비촉진구역 조합,노량진동 232-19,사업시행인가,운영,586,노량진 제3재정비촉진구역,동작구 노량진동 232-19번지,73300.0,108105.29,제3종일반주거지역,재정비촉진구역,44300.0,3242.0,13697.0,,,12061.0,,아파트,24.34,244.03,,,,838,198.0,443.0,197.0,174,80.0,74.0,20.0,,/servlet/image/assc/2011/11/201111221548541321944534662.gif,/servlet/image/assc/2011/11/201111280953011322441581857.jpg,/servlet/image/assc/2012/01/201201251515201327472120278.jpg,"서울특별시 동작구 장승배기로 166, 2층 (노량진동)",02-815-5510,사업시행인가~관리처분인가
11200-100002010,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역 제2지구 주택재개발정비사업조합,성수동2가 506,조합설립인가,운영,1092,성수전략정비구역 제2지구 주택재개발정비구역,성동구 성수동2가 506번지,131980.0,273966.9,제2종일반주거지역(7층)제3종일반주거지역,,68176.0,22207.0,30200.0,,1342.0,,10055.0,공동주택,17.63,317.01,150.0,50.0,,1582,376.0,825.0,381.0,325,118.0,,207.0,,/servlet/image/assc/2013/08/201308060916331375748193631.jpg,/servlet/image/assc/2011/06/201106201639201308555560327.bmp,/servlet/image/assc/2011/06/201106201639201308555560492.bmp,2층(202호),02-499-0385,정비구역지정~조합설립
11380-100001036,은평구,불광동,재개발(주택정비형),조합,불광제5 주택재개발정비사업 조합,불광동 238,관리처분인가,운영,1486,불광5주택재개발정비구역,은평구 불광동 238 244 272번지,117939.0,386176.26,제2종 일반주거지역,중심지미관지구,99420.0,6833.0,8881.0,,2805.0,,,공동주택 및 부대복리시설,19.6,235.01,68.0,24.0,3.0,2013,937.0,975.0,101.0,374,180.0,111.0,83.0,,/servlet/image/assc/2010/11/201011121622111289546531407.jpg,/servlet/image?url=images/assc/2020/01/202001101708491578643729771.png,/servlet/image?url=images/assc/2020/01/202001101708501578643730052.png,"서울특별시 은평구 불광로 102, 3층 (불광동)",02-358-5860,사업시행인가~관리처분인가
11380-900000142,은평구,증산동,재개발(주택정비형),조합,증산5재정비촉진구역 주택재개발정비사업 조합,증산동 195-,관리처분인가,운영,975,증산5 재정비 촉진구역 주택 재개발 정비 사업,은평구 증산동 195번지,112573.0,265583.95,"제 2종(7,2)일반주거지역, 제3종 일반주거지역",일반미관지구,71157.0,16244.0,1996.0,9988.0,583.0,12605.0,,공동주택,24.96,263.7,92.0,30.0,3.0,1412,274.0,774.0,364.0,292,117.0,117.0,58.0,,/servlet/image/assc/2011/12/201112161610251324019425717.jpg,/servlet/image/assc/2013/06/201306261316571372220217631.jpg,/servlet/image/assc/2014/10/201410101235481412912148592.jpg,"1층,(증산동 평안빌딩)",02-304-7798,사업시행인가~관리처분인가
11290-900000159,성북구,성북동,재개발(주택정비형),조합,성북제2구역 주택재개발정비사업 조합,성북동 226-,사업시행인가,운영,361,성북제2구역주택재개발정비사업,성북동 226-103번지,75072.8,37918.07,제1종 전용주거지역 자연녹지지역,자연경관지구,62469.9,7847.7,4458.9,,296.3,,,공동주택 및 부대복리시설,35.9,89.13,14.0,4.0,3.0,195,61.0,134.0,,0,,,,단독주택 별도,/servlet/image?url=images/assc/2020/03/202003131528271584080907876.jpg,/servlet/image/assc/2024/09/202409191807101726736830263.jpg,/servlet/image/assc/2024/09/202409191857241726739844191.jpg,2층,02-741-3361,사업시행인가~관리처분인가
11170-100003006,용산구,청파동,재개발(주택정비형),조합,청파제1구역 재개발정비사업조합,청파동2가 11-1,조합설립인가,운영,460,청파제1구역 재개발정비사업조합,용산구 청파동2가 11-1번지,32390.4,112533.03,제2종 일반주거지역(7층이하) 제3종 일반주거지역,,26549.6,3060.3,,,,,2667.3,공동주택 및 부대복리시설,25.72,249.86,80.0,25.0,3.0,581,310.0,183.0,88.0,116,93.0,19.0,4.0,,/servlet/image?url=images/assc/2022/05/202205301413081653887588729.jpg,/servlet/image?url=images/assc/2024/08/202408121527361723444056345.jpg,/servlet/image?url=images/assc/2024/08/202408121733171723451597449.jpg,"서울특별시 용산구 청파로55길 7, 201호 청파제1구역 재개발정비사업조합 (청파동2가)",02-711-7811,정비구역지정~조합설립
11380-100001065,은평구,수색동,재개발(주택정비형),조합,수색8재정비촉진구역 주택재개발 정비사업조합,수색동 16-2,관리처분인가,운영,329,수색 8구역 주택재개발 정비사업조합,수색동 16-2번지,29884000.0,833.35,제2종 일반주거지역,,29884.0,9512.0,,,,,,주택 및 근생,24.0,263.89,64.0,,,479,170.0,309.0,,99,40.0,40.0,19.0,,/servlet/image?url=images/assc/2016/03/201603151033011458005581196.jpg,/servlet/image/assc/2018/08/201808011134111533090851572.jpg,/servlet/image/assc/2018/08/201808011134571533090897062.jpg,"서울특별시 은평구 수색로 256, 수색마트 3층 (수색동)",02-307-6040,사업시행인가~관리처분인가
11200-900000044,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역제3지구주택재개발정비사업조합,성수동2가 572-7,조합설립인가,운영,960,성수전략정비구역 제3지구,성동구 성수동2가 572-7번지,114193.0,,일반주거지역,"미관지구,방화지구",65005.0,28171.0,16768.0,,4199.0,,,공동주택,18.35,316.78,150.0,,,1537,367.0,800.0,370.0,315,34.0,78.0,203.0,,/servlet/image/assc/2012/03/201203281423171332912197547.jpg,/servlet/image/assc/2011/11/201111171507331321510053819.jpg,/servlet/image/assc/2011/11/201111171507331321510053974.jpg,2층,02-462-4560,정비구역지정~조합설립
11590-100005006,동작구,노량진동,재개발(주택정비형),조합,노량진4재정비촉진구역 조합,노량진동 227-5,관리처분인가,운영,417,노량진촉진4구역,노량진227-5,40512.5,137273.18,제1종 일반주거지역 제2종 일반주거지역(혼재),,31540.8,5554.7,1508.0,,,,1909.0,공동주택 및 부대복리시설,22.82,247.48,90.0,30.0,5.0,699,338.0,361.0,,145,58.0,64.0,23.0,,/servlet/image/assc/2010/07/201007151804371279184677144.jpg,/servlet/image?url=images/assc/2020/07/202007221436431595396203338.png,/servlet/image?url=images/assc/2020/07/202007221445381595396738559.jpg,301호,02-812-0890,사업시행인가~관리처분인가
11200-100001001,성동구,행당동,재개발(주택정비형),조합,행당제7구역 주택재개발정비사업조합,행당동 128,일반분양승인,운영,536,행당제7구역주택재개발사업,성동구행당1동128번지,48345.3,121304.0,제1.2종주거지역,,33316.2,4131.0,10374.0,,,,,공동주택및 부대복리시설,20.87,249.64,,35.0,3.0,805,343.0,396.0,66.0,141,58.0,68.0,15.0,임대포함,/servlet/image?url=images/assc/2022/09/202209161438181663306698120.png,/servlet/image?url=images/assc/2022/09/202209161428461663306126045.jpg,/servlet/image?url=images/assc/2022/09/202209161428461663306126228.jpg,행당빌딩 305호,02-2292-0177,관리처분인가~이전고시
11380-100001052,은평구,갈현동,재개발(주택정비형),조합,갈현제1구역 주택재개발정비사업조합,갈현동 300,관리처분인가,운영,2649,갈현 제1주택재개발 정비사업,은평구 갈현동 300번지 일대,238850.9,652769.93,일반주거지역 자연녹지지역,1종2종3종,175794.9,30137.0,4478.0,11586.0,2264.4,7752.0,1489.0,공동주택(아파트) 및 부대복리시설,32.59,230.43,62.0,22.0,6.0,3484,1246.0,1566.0,672.0,640,300.0,262.0,78.0,,/servlet/image/assc/2011/10/201110141017301318555050373.jpg,/servlet/image/assc/2019/02/201902141246081550115968191.jpg,/servlet/image/assc/2019/02/201902141248441550116124815.jpg,갈현동 3층,02-388-0066,사업시행인가~관리처분인가
11440-100006006,마포구,아현동,재개발(주택정비형),조합,아현제4 주택재개발정비사업 조합,아현동 380,준공인가,운영,863,아현제4구역주택재개발정비사업조합,마포구 아현동 380번지,64357.7,,제2종일반주거지역,,53686.7,6568.4,3247.0,,179.6,676.0,,,22.53,227.81,,,,949,271.0,477.0,201.0,201,201.0,,,,/servlet/image/assc/2011/12/201112291014421325121282383.jpg,/servlet/image/assc/2010/01/201001151001491263517309779.jpg,/servlet/image/assc/2011/12/201112291014421325121282553.jpg,"2동 3층 302호(아현동,공덕자이상가)",02-701-5133,관리처분인가~이전고시
11470-100001012,양천구,신월동,재개발(주택정비형),조합,신정1재정비촉진구역3지구 주택재개발정비사업 조합,신월동 606,사업시행인가,운영,138,신정재정비촉진지구 제1구역 3지구 주택재개발 정비사업,양천구 신월동 606-0,11363.8,29411.9,23종일반주거지역,고도지구(공항고도지구원추표면),25678.62,2906.6,821.4,,276.8,,260.2,공동주택(아파트),20.9,253.88,56.0,20.0,2.0,175,38.0,137.0,,36,18.0,18.0,,,/servlet/image?url=images/assc/2020/01/202001031329311578025771486.jpg,/servlet/image/assc/2020/01/202001031438511578029931779.jpg,/servlet/image/assc/2020/01/202001031439551578029995314.jpg,동방아파트 상가 105호,02-2602-1510,사업시행인가~관리처분인가
11200-100002009,성동구,성수동,재개발(주택정비형),조합,성수전략정비구역 제1 주택정비형 재개발정비사업조합,성수동1가 72-10,조합설립인가,운영,1332,성수전략정비구역 제1지구,성동구 성수동1가 72-10번지,194398.0,422268.26,제2종제3종 일반주거지역자연녹지지역,역사문화미관지구,105595.0,39800.0,33612.0,,4115.0,10528.0,748.0,,21.47,309.22,50.0,,,2414,129.0,1704.0,581.0,495,52.0,130.0,313.0,,/servlet/image/assc/2011/08/201108100917481312935468743.jpg,/servlet/image/assc/2010/08/201008121018231281575903524.jpg,/servlet/image/assc/2011/08/201108100917481312935468916.jpg,3층,02-469-1400,정비구역지정~조합설립
11230-900000765,동대문구,답십리동,재개발(주택정비형),조합,답십리자동차부품상가 도시정비형 재개발정비사업조합,답십리동 952,사업시행인가,운영,553,답십리자동차부품상가 도시정비형 재개발정비사업,동대문구 답십리동 952-0,17882.0,179241.6,주거지역상업지역,,14094.0,2093.0,1695.0,,,,,공동주택 및 판매시설,59.26,799.87,1021.0,29.0,9.0,478,101.0,353.0,24.0,140,19.0,12.0,109.0,,/servlet/image?url=images/assc/2020/12/202012111038191607650699192.jpg,/servlet/image?url=images/assc/2024/11/202411191326181731990378960.jpg,/servlet/image?url=images/assc/2024/11/202411191326191731990379377.jpg,A동 301호,02-2249-7949,사업시행인가~관리처분인가
11560-100004036,영등포구,신길동,재개발(주택정비형),조합,신길제2구역 주택재개발정비사업조합,신길동 190,조합설립인가,운영,889,신길제2구역,영등포구 신길동 190-0,116913.0,471478.06,3종일반 주거지역,,95120.0,12025.0,8437.0,,1331.0,,,공동주택,17.0,300.0,150.0,49.0,4.0,2550,906.0,1321.0,323.0,649,131.0,131.0,387.0,,/servlet/image?url=images/assc/2020/04/202004281741571588063317342.jpg,/servlet/image?url=images/assc/2024/07/202407300917541722298674096.jpg,/servlet/image?url=images/assc/2024/07/202407300917551722298675486.jpg,서울특별시 영등포구 도신로51길 5 (신길동),02-832-4113,정비구역지정~조합설립
11590-100010000,동작구,대방동,재개발(주택정비형),조합,노량진7재정비촉진구역 조합,대방동 13-31,관리처분인가,운영,376,노량진7재정비촉진구역,동작구 대방동 13-31번지,33613.0,,,,22478.0,2533.5,6887.6,,890.4,365.0,,공동주택,20.96,228.97,,,,420,82.0,268.0,70.0,90,44.0,36.0,10.0,,/servlet/image/assc/2011/01/201101131758401294909120730.jpg,/servlet/image/assc/2022/05/202205301328021653884882945.jpg,/servlet/image/assc/2022/05/202205301329401653884980756.jpg,202호,02-3280-8508,사업시행인가~관리처분인가
11230-900000737,동대문구,용두동,재개발(주택정비형),추진위원회,용두1도시환경정비구역 제5지구 조합설립추진위원회,용두동 23-1,조합설립추진위원회승인,운영,89,용두1도시환경정비구역 제5지구,동대문구 용두동 23-1,15457.1,36948.0,,,,,,,,,,준주거지역,50.0,549.0,60.0,18.0,5.0,693,,211.0,482.0,0,,,,,/servlet/image?url=images/assc/2021/01/202101221649391611301779419.jpg,,,"서울특별시 동대문구 고산자로32길 39, 지하 3호 (용두동)",02-960-7515,정비구역지정~조합설립
11410-100006001,서대문구,연희동,재개발(주택정비형),조합,연희제1구역 주택재개발정비사업조합,연희동 533,철거신고,운영,521,연희제1구역 주택재개발정비사업,서대문구 연희동 533번지,55173.0,146775.0,도시지역 제2종일반주거지역,해당없음,37722.0,9850.0,3258.0,1036.0,0.0,0.0,3307.0,공동주택(아파트) 및 부대복리시설,21.92,246.72,5755.0,20.0,3.0,1002,530.0,468.0,4.0,206,80.0,90.0,36.0,임대포함,/servlet/image/assc/201001271702001264579320879.jpg,/servlet/image/assc/2015/04/201504291300181430280018729.jpg,/servlet/image/assc/2015/04/201504291303231430280203598.jpg,"서울특별시 서대문구 홍제천로 86-1, 3층 (연희동)",02-322-2050,관리처분인가~이전고시
11140-100002006,중구,신당동,재개발(주택정비형),조합,신당제9구역 주택재개발정비사업조합,신당동 432-1008,조합설립인가,운영,178,신당제9 주택재개발정비구역,중구 신당2동 432-1008번지,18651.0,54028.85,제2종일반주거지역(7층이하)   제3종일반주거지역,최고고도지구(7층28m이하)   일반미관지구,17672.0,375.0,,,,,604.0,공동주택 및 부대복리시설,34.47,161.53,28.0,7.0,6.0,315,167.0,148.0,,0,,,,,/servlet/image?url=images/assc/2024/05/202405131252021715572322549.jpg,/servlet/image?url=images/assc/2020/12/202012101006011607562361565.jpg,/servlet/image?url=images/assc/2020/12/202012101006031607562363822.jpg,"서울특별시 중구 다산로 41, 대명빌딩3층 (신당동)",02-2234-6660,정비구역지정~조합설립
11290-900000097,성북구,돈암동,재개발(주택정비형),조합,돈암6구역 주택재개발정비사업조합,돈암동 48-29,조합설립인가,운영,527,돈암제6 주택재개발정비구역,성북구 돈암동 48-29,43438.8,1649855329.78,도시지역 제3종일반주거지역,중심경관관리구역,35445.8,5375.0,2298.0,,,,320.0,공동주택,22.65,268.34,71.0,25.0,7.0,735,253.0,350.0,132.0,165,46.0,44.0,75.0,,/servlet/image/assc/2011/05/201105300958171306717097685.jpg,/servlet/image?url=images/assc/2025/07/202507231401401753246900710.jpg,/servlet/image?url=images/assc/2025/07/202507231401401753246900819.jpg,"서울특별시 성북구 동소문로20나길 47, 123호 (동선동1가)",02-924-2277,정비구역지정~조합설립
11170-900000101,용산구,보광동,재개발(주택정비형),조합,한남4재정비촉진구역 주택재개발정비사업 조합,보광동 360,조합설립인가,운영,1207,한남4재정비촉진구역주택재개발정비사업조합설립추진위원회,용산구 보광동 360-0,160258.0,535877.18,제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역,미관지구,115341.0,29763.0,8128.0,0.0,6540.0,0.0,486.0,아파트/부대복리시설,30.89,226.98,73.0,22.0,7.0,1981,664.0,616.0,701.0,350,117.0,172.0,61.0,,/servlet/image?url=images/assc/2024/08/202408281151501724813510244.jpg,/servlet/image?url=images/assc/2024/08/202408281150281724813428410.jpg,/servlet/image?url=images/assc/2024/08/202408281303051724817785918.jpg,"서울특별시 용산구 녹사평대로32길 69, 2층, 4층 (이태원동)",02-797-3504,정비구역지정~조합설립
11230-100003013,동대문구,제기동,재개발(주택정비형),조합,제기제6구역주택재개발정비사업조합,제기동 120-104,관리처분인가,운영,198,제기제6주택재개발 정비구역,동대문구 제기동 120-104번지,24320.6,56302.97,제2종 일반주거지역,,17497.0,4006.1,2457.7,,359.8,,,아파트,24.97,239.81,49.0,19.0,2.0,312,98.0,162.0,52.0,65,28.0,28.0,9.0,,/servlet/image/assc/2011/07/201107080939531310085593033.jpg,/servlet/image?url=images/assc/2024/08/202408281037421724809062189.png,/servlet/image/assc/2022/05/202205201403221653023002454.jpg,"서울특별시 동대문구 왕산로 228, 5층 (전농동)",02-966-2006,사업시행인가~관리처분인가
11230-100006044,동대문구,이문동,재개발(주택정비형),조합,이문4재정비촉진구역 주택재개발정비사업조합,이문동 86-1,관리처분인가,운영,1470,이문4재정비촉진구역,동대문구 이문동 86-1,148977.2,505257.98,일반주거지역,재정비촉진지구,44544.0,20861.6,11311.8,0.0,0.0,9781.6,2589.0,공동주택 및 부대복리시설,35.0,317.0,122.0,40.0,5.0,2700,1652.0,679.0,369.0,928,657.0,219.0,52.0,,/servlet/image/assc/2011/03/201103211832291300699949329.jpg,/servlet/image/assc/2023/02/202302231720491677140449407.jpg,/servlet/image/assc/2023/02/202302231723331677140613062.jpg,"서울특별시 동대문구 망우로 34, 3층 (엘레베이터 4층) (휘경동)",02-2246-2595,사업시행인가~관리처분인가
11590-100001001,동작구,노량진동,재개발(주택정비형),조합,노량진1재정비촉진구역 조합,노량진동 278-2,사업시행인가,운영,1081,노량진1재정비촉진구역,동작구 노량진동278-4번지,132132.0,471972.52,제3종 일반 주거지역,재정비촉진지구,106125.0,10237.0,9000.0,,,,6770.0,공동주택 및 부대시설,25.88,265.67,110.0,33.0,4.0,2461,1322.0,1041.0,98.0,531,214.0,180.0,137.0,,/servlet/image/assc/2011/08/201108241232451314156765203.jpg,/servlet/image/assc/2023/04/202304181126291681784789680.jpg,/servlet/image/assc/2023/04/202304181128591681784939770.jpg,201호,02-823-5566,사업시행인가~관리처분인가
11290-100004001,성북구,성북동,재개발(주택정비형),조합,성북1구역 공공재개발 정비사업 주민대표회의,성북동 179-68,조합설립인가,운영,1192,성북제1구역주택재개발정비사업조합설립추지위원회,성북1동 179-68번지,127899.0,338500.8,"1종,2종일반주거지역",자연경관지구,106566.0,7516.0,4875.0,4659.0,4283.0,0.0,0.0,공동주택,27.0,221.04,,13.0,2.0,2044,551.0,1164.0,329.0,348,348.0,,,,/servlet/image/assc/2010/08/201008091418051281331085735.jpg,,/servlet/image/assc/2011/04/201104041353141301892794625.jpg,"서울특별시 성북구 성북로2길 31, 삼우빌딩 406호 (동소문동1가)",02-3673-4550,정비구역지정~조합설립
11230-900000913,동대문구,답십리동,재개발(주택정비형),조합,답십리제17구역 주택재개발정비사업,답십리동 12,준공인가,운영,155,답십리제17구역 주택재개발정비사업,동대문구 답십리동 12번지,13850.9,44577.97,제 2종 일반주거지역,,12307.6,869.3,674.0,,,,,아파트,27.18,243.11,62.0,21.0,2.0,268,150.0,118.0,,58,28.0,30.0,,,/servlet/image?url=images/assc/2022/05/202205021015321651454132877.png,/servlet/image/assc/2024/04/202404171443361713332616735.jpg,/servlet/image/assc/2024/04/202404171449181713332958556.jpg,"서울특별시 동대문구 한천로11길 6, 미주빌딩 402호 (답십리동)",02-2248-4739,관리처분인가~이전고시
11410-900001218,서대문구,연희동,재개발(주택정비형),추진위원회,연희2구역 공공재개발사업,연희동 721-6,조합설립추진위원회승인,운영,655,연희2구역 주택정비형 공공재개발사업,서대문구 연희동 721-6,49745.0,104476.84,제1종 제2종 일반주거지역,,44263.4,1054.2,4427.4,,,,,공동주택,21.19,238.34,75.0,27.0,2.0,844,311.0,445.0,88.0,223,34.0,,189.0,,/servlet/image?url=images/assc/2024/08/202408071650221723017022775.jpg,/servlet/image?url=images/assc/2024/08/202408071650221723017022878.jpg,/servlet/image?url=images/assc/2024/08/202408071650231723017023130.jpg,"서울특별시 서대문구 증가로 80, 301호 (연희동)",02-323-7216,정비구역지정~조합설립
