field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,_GC_TYPE,_CLEANADDR,_X,_Y
11110-100002000,,종로구,신영동,조합,신영동 158-2,철거신고,운영,56,신영제1구역 주택재개발정비사업,종로구 신영동 158-2번지,15589.3,35566.19,제2종일반주거지역,자연경관지구,13252.6,1601.1,,,,,735.6,공동주택,37.06,151.5,22,7,3,199,41,123,35,0,,,,,시행단계,정,서울특별시 종로구 신영동 158-2,126.96251652713325,37.599989813868014
11740-900001027,1차선정구역,강동구,천호동,공공지원자,천호동 461-31,정비구역지정,운영,248,천호 A1-2구역,강동구 천호동 461-31,30699.6,122951.92,제3종일반주거지역,,26598.79,4100.85,,,,,,공동주택 및 부대복리시설,36.21,299.99,125,40,2,645,241,320,84,136,110,,26,,계획단계,정,서울특별시 강동구 천호동 461-31,127.1220418264144,37.541539151036076
11170-100003006,,용산구,청파동,조합,청파동2가 11-1,조합설립인가,운영,460,청파제1구역 재개발정비사업조합,용산구 청파동2가 11-1번지,32390.4,112533.03,제2종 일반주거지역(7층이하) 제3종 일반주거지역,,26549.6,3060.3,,,,,2667.3,공동주택 및 부대복리시설,25.72,249.86,80,25,3,581,310,183,88,116,93,19,4,,시행준비단계,정,서울특별시 용산구 청파동2가 11-1,126.96875528071405,37.54685170245066
11140-900000981,,중구,중림동,조합,중림동 398,조합설립인가,운영,420,중림동 398 정비계획 수립(추정분담금),중구 중림동 398-0,28315.5,125468.85,제2종일반주거지역(7층 이하) 제3종일반주거지역,,23650.5,4665,,,,,719.3,주거,25.85,299.73,75,25,5,600,349,251,,191,39,,152,,시행준비단계,정,서울특별시 중구 중림동 398,126.96781532502219,37.560464047103665
11140-100002006,,중구,신당동,조합,신당동 432-1008,조합설립인가,운영,178,신당제9 주택재개발정비구역,중구 신당2동 432-1008번지,18651,54028.85,제2종일반주거지역(7층이하)   제3종일반주거지역,최고고도지구(7층28m이하)   일반미관지구,17672,375,,,,,604,공동주택 및 부대복리시설,34.47,161.53,28,7,6,315,167,148,,0,,,,,시행준비단계,정,서울특별시 중구 신당동 432-1008,127.00652216205842,37.55012826824014
11170-900000099,,용산구,보광동,조합,보광동 272-3,관리처분인가,운영,929,한남 제2재정비촉진구역,용산구 보광동 272-3,114580.6,161889.03,도시지역 제2종일반주거지역(7층이하),재정비촉진지구,83758.9,19008.8,3192.6,2801,5819.3,0,0,공동주택 및 부대복리시설 근리생활시설,32.14,195.42,45,14,6,1299,424,629,246,238,97,137,4,,시행단계,정,서울특별시 용산구 보광동 272-3,126.99711245282697,37.53129010323138
11740-900001152,기존구역(신통추진),강동구,천호동,조합,천호동 532-2,조합설립인가,운영,189,천호동532-2번지 주택정비형 재개발사업,강동구 천호동 532-2,24620,55101.31,제2종일반주거지역,,24000,20,,,,,600,아마트 및 부대복리시설,26.02,229.59,,2,24,431,260,171,,77,24,33,20,,시행준비단계,정,서울특별시 강동구 천호동 532-2,127.13082421979585,37.54104642635476
11170-900000101,,용산구,보광동,조합,보광동 360,조합설립인가,운영,1207,한남4재정비촉진구역주택재개발정비사업조합설립추진위원회,용산구 보광동 360-0,160258,535877.18,제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역,미관지구,115341,29763,8128,0,6540,0,486,아파트/부대복리시설,30.89,226.98,73,22,7,1981,664,616,701,350,117,172,61,,시행준비단계,정,서울특별시 용산구 보광동 360,126.99821788509627,37.52680690035208
11500-900001004,1차선정구역,강서구,방화동,조합,방화동 589-13,조합설립인가,운영,348,방화2구역,방화동 589-13,34900,,,,,,,,,"27,478",,,,,,,,"5,230",,,,0,,,,,시행준비단계,정,서울특별시 강서구 방화동 589-13,126.8094163387192,37.56723507916876
11200-100002007,,성동구,금호동,조합,금호동2가 501-31,관리처분인가,운영,365,금호제16재개발정비구역,성동구 금호동2가 501-31,27485,88619.35,제2종일반주거지역,행정기관 위탁고도 120m지역,22703,2077,2407,180,118,,,아파트,23.96,236.89,4692,16,8,475,171,304,,120,120,,,,시행단계,정,서울특별시 성동구 금호동2가 501-31,127.01811954620315,37.551422856401516
11200-100002000,,성동구,용답동,조합,용답동 108-1,일반분양승인,운영,627,용답동 주택재개발정비사업조합,성동구 용답동 108-1번지,73341,231651.08,제3종 일반주거지역,제3종 일반주거지역,53959,9173,17796,,,,,공동주택(아파트),11.6,249.86,,35,2,1033,,783,250,218,102,87,29,,완료단계,정,서울특별시 성동구 용답동 108-1,127.05026380373488,37.56724630227461
11620-900000626,기존구역(신통추진),관악구,신림동,조합,신림동 808-495,사업시행인가,운영,1460,신림1재정비촉진구역 주택재개발정비사업,관악구 신림동 808-495,223168.7,739412.15,일반주거지역 준주거 자연녹지 등,,176229.6,22507.6,12560,,,,11871.5,공동주택 등,22.21,259.68,,29,5,3554,821,1987,746,631,413,,218,,시행단계,정,서울특별시 관악구 신림동 808-495,126.93250198468411,37.47048775489171
11200-900001086,,성동구,금호동,조합,금호동3가 1,조합설립인가,운영,860,금호 제21 주택정비 재개발구역,성동구 금호동3가 1번지,75447,17913.9,제2종일반주거지역(7층이하) 제2종일반주거지역 제3종일반주거지역,,51487.2,15875.8,6737,1347,,,737.1,공동주택,28.42,255.06,59,20,4,1219,601,494,124,220,65,103,52,,시행준비단계,정,서울특별시 성동구 금호동3가 1,127.02439150925005,37.55035248014883
11590-900000557,기존구역(신통추진),동작구,흑석동,조합,흑석동 304,철거신고,운영,695,흑석11 재정비촉진구역 주택재개발정비사업,동작구 흑석동 304번지,89332.5,144439.98,제1종일반주거지역 제2종일반주거지역(7층) 제3종일반주거지역,중심지 미관지구,70771.7,390.39,5336.1,1557.6,3048.5,,2933.9,공동주택,23.59,204.09,51,16,6,1249,530,659,60,266,141,92,33,,시행단계,정,서울특별시 동작구 흑석동 304,126.96914677929333,37.50554496543019
11230-100003002,,동대문구,청량리동,조합,청량리동 205,사업시행인가,운영,688,청량리제6주택재개발정비구역,동대문구 청량리동 205번지 일대,83883.1,227419.52,제2종일반주거지역(12층이하),,63056.3,14800.8,4200,,,,700,공동주택 및 부대복리시설,25,234,72,16,,1242,543,612,87,255,78,,177,,시행단계,정,서울특별시 동대문구 청량리동 205,127.04298896509074,37.589655024357555
11230-100006042,,동대문구,이문동,조합,이문동 149-8,일반분양승인,운영,1571,이문3재정비촉진구역,동대문구 이문동 149-8,137372,669722.26,준주거지역,중심지미관지구,120457,19649,12967,0,0,0,1710,공동주택판매및오피스텔,26.21,357.18,143,41,6,4140,2106,1312,722,1308,349,222,737,,완료단계,정,서울특별시 동대문구 이문동 149-8,127.06352557264643,37.598497983051836
11545-900001313,2차선정구역,금천구,시흥동,조합,시흥동 871,조합설립인가,운영,902,독산시흥구역 주택정비형 재개발사업,금천구 시흥동 871-0,88326.3,302331.3,제1종일반주거지역 제2종일반주거지역(7층이하) 제3종일반주거지역,,63928.7,15278.8,6220,0,598.8,0,2300,공동주택 및 부대복리시설,20.3,300,45,3,45,1730,927,725,78,342,100,160,82,,시행준비단계,정,서울특별시 금천구 시흥동 871,126.90123866768074,37.4580001300106
11230-100003011,,동대문구,제기동,조합,제기동 288,철거신고,운영,380,제기제4구역 주택재개발정비사업,동대문구 제기동 288번지,33485.7,117027.93,제2종일반주거지역 특별건축구역,,3348.57,356.97,,,,,,공동주택,29.88,249.96,,25,2,753,625,128,,156,59,81,16,,시행단계,정,서울특별시 동대문구 제기동 288,127.04204868222104,37.58508308383265
11230-100003008,,동대문구,신설동,조합,신설동 92-5,사업시행인가,운영,94,신설제1구역 공공재개발 정비사업 주민대표회의,동대문구 신설동 92-5,11204.2,45794.47,제2종 일반주거지역,제2종 일반주거지역,10124.8,845.05,0,0,0,0,234.3,공동주택/근린생활시설/부대시설,29.64,298.81,72,24,2,189,69,96,24,110,14,1,95,0,시행단계,정,서울특별시 동대문구 신설동 92-5,127.02706817710327,37.57614135464208
11230-100003013,,동대문구,제기동,조합,제기동 120-104,관리처분인가,운영,198,제기제6주택재개발 정비구역,동대문구 제기동 120-104번지,24320.6,56302.97,제2종 일반주거지역,,17497,4006.1,2457.7,,359.8,,,아파트,24.97,239.81,49,19,2,312,98,162,52,65,28,28,9,,시행단계,정,서울특별시 동대문구 제기동 120-104,127.03932185232405,37.58733917137475
11230-100006045,,동대문구,휘경동,조합,휘경동 172,일반분양승인,운영,603,휘경3재정비촉진구역 주택재개발정비사업조합,동대문구 휘경동 172번지,65338,195963.42,제3종일반주거지역,재정비촉진지구,41652,9316,3195,6310,1480,,3385,공동주택 및 부대복리시설,18.45,29.96,118,35,3,1785,397,1387,1,314,87,70,157,,완료단계,정,서울특별시 동대문구 휘경동 172,127.06263591982054,37.59294496557999
11230-100006044,,동대문구,이문동,조합,이문동 86-1,관리처분인가,운영,1470,이문4재정비촉진구역,동대문구 이문동 86-1,148977.2,505257.98,일반주거지역,재정비촉진지구,44544,20861.6,11311.8,0,0,9781.6,2589,공동주택 및 부대복리시설,35,317,122,40,5,2700,1652,679,369,928,657,219,52,,시행단계,정,서울특별시 동대문구 이문동 86-1,127.06649538865601,37.59676630013428
11230-100006043,,동대문구,이문동,조합,이문동 257-42,일반분양승인,운영,1759,이문1재정비촉진구역,동대문구 이문동 257-42번지,144856,458412.65,제2종 및 제3종 일반주거지역 일반상업지역,재정비촉진지구,115829,17621,9228,0,0,0,2178,공동주택,30,247.6,75,27,5,2528,1235,1185,108,541,236,249,56,,완료단계,정,서울특별시 동대문구 이문동 257-42,127.06023693947749,37.600094303013705
11620-900001081,1차선정구역,관악구,신림동,공공지원자,신림동 675,정비구역지정,운영,780,신림7재정비촉진구역,신림동 675,76880,,,,,,,,,,,,,,,25,,0,,,,0,,,,,계획단계,정,강원특별자치도 원주시 신림면 신림리 675,128.07884680196153,37.22419794125065
11230-100009003,,동대문구,전농동,조합,전농동 103-236,조합설립인가,운영,717,전농제9구역 공공재개발정비사업 주민대표회의,전농동 103-236번지 외,49061,170220.15,제3종일반주거지역,정비구역기타(주택재개발 정비예정구역)<도시 및 주거환경정비법> 과밀억제권역<수도권정비계획법>,36229,7732,3600,,,,1500,공동주택 세대 및 (1159 )  부대복리시설 공공청사,18.18,299.68,175,35,3,920,503,355,62,239,96,29,114,향후 건축심의 및 사업시행인가에 따라 확정예정,시행준비단계,정,서울특별시 동대문구 전농동 103-236,127.05140794832118,37.5835592524179
11230-100009002,,동대문구,청량리동,조합,청량리동 435,사업시행인가,운영,279,청량리제8구역 주택재개발정비사업조합,동대문구 청량리동 435번지,29001,90086.06,제3종 일반주거지역,,23136.8,2430.9,2119.5,,,,1313.8,공동주택 및 부대복리시설,15.99,246.98,70,24,3,460,148,264,48,150,46,51,53,,시행단계,정,서울특별시 동대문구 청량리동 435,127.04454697359758,37.585440485823916
11230-900000737,,동대문구,용두동,추진위원회,용두동 23-1,조합설립추진위원회승인,운영,89,용두1도시환경정비구역 제5지구,동대문구 용두동 23-1,15457.1,36948,,,,,,,,,,준주거지역,50,549,60,18,5,693,,211,482,0,,,,,시행준비단계,정,서울특별시 동대문구 용두동 23-1,127.04024551962982,37.578327513369054
11260-900000170,,중랑구,중화동,공공지원자,중화동 329-38,정비구역지정,일시중단,981,중화2재정비촉진구역 주택재개발정비사업,중랑구 중화동 329-38,,303713,"제2종 일반주거지역, 제3종일반주거지역",,103151,10754,14310,9350,,,3290,공동주택및부대복리시설,30,295.3,125,34,2,2317,985,680,652,550,221,228,101,부분임대326,계획단계,정,서울특별시 중랑구 중화동 329-38,127.07578927516865,37.60027370683249
11230-900001190,,동대문구,휘경동,추진위원회,휘경동 43-188,조합설립추진위원회승인,운영,472,휘경제5 주택정비형 재개발구역,동대문구 휘경동 43-188,49397,107428.48,제1종일반주거지역 제2종일반주거지(7층 이하),최고고도지구 고도지구,49397,1635,1200,0,0,2200,4914,공동주택,29.64,152.62,,7,2,589,358,217,14,45,12,33,,,시행준비단계,정,서울특별시 동대문구 휘경동 43-188,127.06696407419848,37.58533645067576
11260-100003045,,중랑구,중화동,조합,중화동 331-64,일반분양승인,운영,412,중화1재정비촉진구역,중랑구 중화동 331-1번지,44725.5,146109.23,도시지역 제23종일반주거지역,일반미관지구,32561.3,3268.9,4556,3020.7,1199.5,,119.1,공동주택(아파트)및 부대복리시설,20.6,299.95,100,35,2,835,376,421,38,220,87,69,64,부분임대포함,완료단계,정,서울특별시 중랑구 중화동 331-1,127.07566565813642,37.60298284334281
11260-900001173,,중랑구,중화동,조합,중화동 122,조합설립인가,운영,833,중화5구역 주택정비형 공공재개발사업,중랑구 중화동 122-0,71465.9,2508917.68,제2종일반주거지역,제2종일반주거지역(7층이하),55322,10309.9,4830,,,,1004,공동주택 및 부대복리시설,22.07,290.11,105,35,2,1196,527,627,42,414,81,35,298,,시행준비단계,정,서울특별시 중랑구 중화동 122,127.08499230316953,37.60160567245489
11290-100001003,,성북구,정릉동,추진위원회,정릉동 894,조합설립추진위원회승인,일시중단,419,정릉3구역주택재개발정비사업조합추진위원회,성북구 정릉동 640-17번지 일대,49700,,,,,,,,,,,,,,,,,0,,,,0,,,,,시행준비단계,정,서울특별시 성북구 정릉동 640-17,127.00180006003153,37.605594575148345
11590-900001319,2차선정구역,동작구,상도동,조합,상도동 279,조합설립인가,운영,2108,상도15구역 주택정비형 재개발사업,동작구 상도동 279-0,141286.8,473303.17,제2종일반주거지역,,,8205.7,10351.3,,,,2848.8,공동주택,20.21,249.98,,35,4,2704,1123,1361,220,500,192,,308,,시행준비단계,정,서울특별시 동작구 상도동 279,126.93589872388675,37.49631022972663
11290-100009003,,성북구,동소문동,조합,동소문동2가  33,조합설립인가,운영,239,동소문제2구역 주택재개발정비사업,동소문동2가 33번지 외 248필지,20657.3,80797.63,준주거지역 일반상업지역,,15319.8,4247.3,860,,230.2,,,공동주택및 부대복리시설 판매시설,37,337,100,29,3,421,195,184,42,73,30,35,8,,시행준비단계,정,서울특별시 성북구 동소문동2가 33,127.00711386791525,37.5883678470468
11290-100007003,,성북구,보문동,조합,보문동1가 196-11,착공신고,운영,156,보문제5구역 주택재개발정비사업,성북구 보문동1가 196-11번지,10798.5,65273.1,준주거지역,,,,,,,,,아파트 및 판매시설,55.62,292.67,,26,5,186,,149,37,0,,,,,시행단계,정,서울특별시 성북구 보문동1가 196-11,127.02054200870914,37.58484227191192
11290-100009002,,성북구,삼선동,조합,삼선동2가 296,일반분양승인,운영,419,삼선제5주택재개발정비사업,성북구 삼선동2가 296번지,63918.5,174294.29,제2종일반주거지역,,48086.8,9861.1,3670,,,2300.6,49139.4,공동주택및복리시설,25.87,230.29,51,18,4,1015,731,284,,208,119,89,,,완료단계,정,서울특별시 성북구 삼선동2가 296,127.01027470483794,37.584136464632564
11440-900001094,기존구역(신통추진),마포구,공덕동,조합,공덕동 115-97,조합설립인가,운영,402,공덕7구역 주택정비형 재개발사업,공덕동 115-97,29972,,제2종일반주거지역,,,,,,,,,공동주택 및 부대복리시설,60,234.94%,85,26,,0,,,,0,,,,,시행준비단계,정,서울특별시 마포구 공덕동 115-97,126.95838803943865,37.54817267854871
11230-900000765,,동대문구,답십리동,조합,답십리동 952,사업시행인가,운영,553,답십리자동차부품상가 도시정비형 재개발정비사업,동대문구 답십리동 952-0,17882,179241.6,주거지역상업지역,,14094,2093,1695,,,,,공동주택 및 판매시설,59.26,799.87,1021,29,9,478,101,353,24,140,19,12,109,,시행단계,정,서울특별시 동대문구 답십리동 952,127.05980471029913,37.56599954170589
11290-900000097,,성북구,돈암동,조합,돈암동 48-29,조합설립인가,운영,527,돈암제6 주택재개발정비구역,성북구 돈암동 48-29,43438.8,1649855330,도시지역 제3종일반주거지역,중심경관관리구역,35445.8,5375,2298,,,,320,공동주택,22.65,268.34,71,25,7,735,253,350,132,165,46,44,75,,시행준비단계,정,서울특별시 성북구 돈암동 48-29,127.02089347941754,37.59925142741365
11290-100016009,,성북구,장위동,조합,장위동 289,착공신고,운영,1172,장위4구역 주택재개발정비사업조합,성북구 장위동 62-1번지,153501,428982,제2종일반주거지역,일반미관지구,105997,29254,5021,5500,2251,0,2399,공동주택,23.15,263.36,,32,3,2356,825,1438,93,484,194,200,90,,시행단계,정,서울특별시 성북구 장위동 62-1,127.0565592894435,37.61354932661835
11290-100016005,,성북구,장위동,조합,장위동 233-42,조합설립인가,운영,1593,장위15구역 주택재개발정비사업,장위동 233-42,189450,401598.28,제12종 일반주거지역(712층),,63237,21509,27802,4324,1950,7652,,공동주택 및 복리시설,60,236,100,33,,2464,572,963,929,420,179,193,48,,시행준비단계,정,서울특별시 성북구 장위동 233-42,127.048283745397,37.61212995645881
11290-100016014,,성북구,장위동,조합,장위동 25-55,착공신고,운영,786,장위제6구역주택재개발정비사업조합설립추진위원회,성북구 장위동 25-55,105163.9,250368.9,도시. 주거지역,제1.2.3종 일반주거지역,61422.6,16629.3,22782,2565.3,1764.7,,,공동주택(아파트) 및 복리시설,19.28,264.48,93,33,3,1352,473,818,61,285,129,126,30,,시행단계,정,서울특별시 성북구 장위동 25-55,127.0588515630498,37.61580726440066
11290-100023000,,성북구,정릉동,조합,정릉동 175,조합설립인가,운영,290,길음5재정비촉진구역,성북구 정릉동 175번지,36333.9,118000.19,제3종 일반주거지역,재정비촉진지구,26782.1,5970.1,2046.7,900,364,,1535,공동주택(아파트),16.54,279.78,,30,6,660,261,348,51,158,42,49,67,,시행준비단계,정,서울특별시 성북구 정릉동 175,127.01586730889169,37.60431826366338
11290-100016004,,성북구,장위동,조합,장위동 233-552,조합설립인가,운영,1427,장위14구역 주택재개발정비사업조합,성북구 장위동 233-552번지,145174.6,392654.68,제1종 제2종 일반주거지역,재정비촉진지구,106512,21359,7442.3,0,1212,0,10104.6,공동주택 및 부대복리시설,21.58,211.59,71,25,7,2000,767,1139,94,439,189,203,47,,시행준비단계,정,서울특별시 성북구 장위동 233-552,127.04363248993188,37.61262531137391
11290-900000106,,성북구,정릉동,조합,정릉동 757,관리처분인가,운영,636,정릉3동 주택재개발,성북구 정릉동 757번지,203965,252884,제1종일반주거지역 제1종지구단위계획구역,자연경관지구,162151,19285,1810,13056,0,0,7663,공동주택,41.12,109.13,20,4,2,1417,,1156,261,0,,,,,시행단계,정,서울특별시 성북구 정릉동 757,127.00271497928101,37.614149863654305
11290-100004001,,성북구,성북동,조합,성북동 179-68,조합설립인가,운영,1192,성북제1구역주택재개발정비사업조합설립추지위원회,성북1동 179-68번지,127899,338500.8,"1종,2종일반주거지역",자연경관지구,106566,7516,4875,4659,4283,0,0,공동주택,27,221.04,,13,2,2044,551,1164,329,348,348,,,,시행준비단계,정,서울특별시 성북구 성북동 179-68,127.0052173132824,37.59103279988949
11410-900001120,1차선정구역,서대문구,홍은동,공공지원자,홍은동 8-400,정비구역지정,운영,557,홍은동 8-400 일대,홍은동 8-400,88211,,,,,,,,,,,,,,,,,0,,,,0,,,,,계획단계,정,서울특별시 서대문구 홍은동 8-400,126.95033483038084,37.599155991646654
11290-900001228,,성북구,장위동,조합,장위동 238-83,조합설립인가,운영,707,장위9구역 공공재개발사업,성북구 장위동 238-83,84248,,제2종일반주거지역 제2종일반주거지역(7층),,72355.7,3102.3,6690,,,,2100,공동주택(아파트) 및 부대복리시설,21.38,299.99,150,3,38,1467,641,766,60,763,112,450,201,,시행준비단계,정,서울특별시 성북구 장위동 238-83,127.05041834162547,37.61412635690783
11290-900001226,,성북구,장위동,조합,장위동 85,조합설립인가,운영,1277,장위8구역 공공재개발정비사업,성북구 장위동 85-0,121634,431333.8,제1종 제2종(7층이하) 제2종일반주거지역,,96859,13787,9148,,,,1840,공동주택 및 부대복리시설,26.24,299.83,120,38,3,2062,1052,940,70,784,144,,640,,시행준비단계,정,서울특별시 성북구 장위동 85,127.05484921955458,37.61652481596304
11305-900000027,,강북구,미아동,조합,미아동 791-364,일반분양승인,운영,549,미아 제3구역 주택재개발,강북구 미아동 791-364번지,59465,149658.84,제2종 일반주거지역,미관지구,4760.74,6604.1,3000.7,0,891,0,,공공주택 및 부대복리시설,60,227.7,73,21,3,843,355,425,63,174,72,72,30,세대수,완료단계,정,서울특별시 강북구 미아동 791-364,127.01860557556192,37.62744931019916
11290-100016010,,성북구,장위동,조합,장위동 68-37,관리처분인가,운영,650,장위10구역주택재개발정비사업,성북구 장위동 68-37,94245,286514.82,제2종일반주거지역,일반미관지구,733.69,7766,,10227,1109,874,900,공동주택 및 부대복리시설,19.04,264.22,94,23,3,1506,346,916,244,320,,,320,,시행단계,정,서울특별시 성북구 장위동 68-37,127.05301973020232,37.612292641561055
11350-100002014,,노원구,상계동,조합,상계동 111-548,사업시행인가,운영,305,상계1재정비촉진구역,노원구 상계동 111-548,86432.5,205097.38,제123종 일반주거지역 자연녹지지역,재정비촉진지구,56945.5,8825.6,18137,0,531,0,1993.4,공동주택 및 근린생활시설,17.37,215.54,88,25,5,1098,551,547,,290,155,125,10,85m2 초과세대 없음.,시행단계,정,서울특별시 노원구 상계동 111-548,127.08190018729837,37.67075207724374
11380-100001045,,은평구,대조동,조합,대조동 88,착공신고,운영,1573,대조제1구역 주택재개발정비사업조합,은평구 대조동 88번지 등,111665.3,363149.67,일반주거지역,제2종,92088.1,12220.3,7356.9,,,,,,24.83,243.48,75,25,4,2083,985,561,537,368,171,165,32,,시행단계,정,서울특별시 은평구 대조동 88,126.92335427387589,37.612043109901094
